key,variant,label,deterministic,vented_t_mean,vented_t_sd,stored_t_mean,stored_t_sd,operating_cost_mean,operating_cost_sd,total_cost_mean,total_cost_sd,cost_per_stored_t_mean,cost_per_stored_t_sd,total_cost_per_stored_t_mean,total_cost_per_stored_t_sd
small_original,tcn_mode_destination,Small MLP + Original TCN,True,2940.8905526051863,479.5920641340134,107051.87703497999,954.0465028048034,1597280.9637102243,10424.704911352535,1832552.207918639,28620.782776373813,14.937302289871393,0.1628746425614994,17.191084371101724,0.40483000941263
small_original,tcn_mode_destination,Small MLP + Original TCN,False,12671.515264998385,2616.9043960032927,93751.15300136006,3380.476871627837,1564604.0886294676,10470.59158574013,2578325.3098293385,202918.60734680123,16.759029231352127,0.5529228821140496,28.002696516862184,3.19078614115787
small_fixed,fixed_scale_tcn_mode_destination,Small MLP + FixedScale TCN,True,3867.230085262631,1217.57010089539,105394.87024446591,1646.9758794911675,1597415.1002720813,26229.093219919196,1906793.507093092,74946.31010771064,15.175987497609905,0.1825691328204046,18.236750221146675,1.0774470373135763
small_fixed,fixed_scale_tcn_mode_destination,Small MLP + FixedScale TCN,False,8690.691208988412,3417.115780694065,98768.49158622498,5097.878250276116,1584073.2138769694,13278.741461287313,2279328.5105960425,263067.43109629414,16.113164836747917,0.7564186334409809,23.511503299740777,4.025432069084781
large_original,larger_mlp_mode_destination,Large MLP + Original TCN,True,5270.376465434736,1251.2442094151008,103130.4803909373,1842.6229198155659,1579647.1568332468,19805.050842183045,2001277.2740680254,89903.84305894359,15.344227306589868,0.21632824632250908,19.59753677679229,1.2845096043467696
large_original,larger_mlp_mode_destination,Large MLP + Original TCN,False,7940.530599003315,1649.098152078452,99805.56472560094,2415.5500254845397,1581604.3384392725,18865.87507138058,2216846.7863595374,118999.88308549194,15.883777716206255,0.31131368088901207,22.57633138452376,1.7248822546006586
large_fixed,fixed_scale_larger_mlp_mode_destination,Large MLP + FixedScale TCN,True,6027.600696585021,2047.4824791639123,101952.00465781397,2724.1265511277143,1576084.1850394136,29458.532710942876,2058292.2407662151,137616.7413565052,15.486836987473591,0.19099470456669734,20.379203766367073,1.9969395179726566
large_fixed,fixed_scale_larger_mlp_mode_destination,Large MLP + FixedScale TCN,False,8890.117183343777,1494.3424946665907,98643.29350369146,1654.2423802140022,1576331.468527194,20237.5110622425,2287540.843194696,115571.73483360303,16.01691360290288,0.22684774818151549,23.415756779580974,1.5056149903366076
edge_original,edge_gnn_mode_destination,Edge-GNN + Original TCN,True,9060.016377836011,4193.617499690413,96500.4604396314,5338.569159387117,1552074.5119512863,41203.216683368104,2276875.8221781673,299566.42328583746,16.16802332083308,0.5615574081329897,24.220951980294036,4.8693284661423695
edge_original,edge_gnn_mode_destination,Edge-GNN + Original TCN,False,19036.695301383617,4195.492750733977,85166.16340643706,4866.82870345502,1520664.1237915931,29430.30181379033,3043599.747902282,307056.9747276064,17.983524533642086,0.7864462975024653,36.82662168965505,6.6274779304459175
edge_fixed,fixed_scale_edge_gnn_mode_destination,Edge-GNN + FixedScale TCN,True,6889.765728653311,2250.3672820552274,99592.00699239984,2000.2073862895115,1579898.2591735346,16088.924773409863,2131079.5174657996,168963.03242461957,15.911947977255274,0.2031045055259159,21.664772691210494,2.2663111885324785
edge_fixed,fixed_scale_edge_gnn_mode_destination,Edge-GNN + FixedScale TCN,False,20673.94278732944,5071.31640240775,83084.16901660219,5651.37138019417,1510156.5396866451,36438.408914408355,3164071.962673,370021.84873386764,18.322660574258954,0.8266121945869505,39.357726486235414,7.219877931323364
