contrast,left,right,deterministic,metric,mean_difference,ci95_lower,ci95_upper
future_effect_small,small_fixed,small_original,True,vented_t,926.3395326574449,-429.8750111098399,2282.55407642473
future_effect_large,large_fixed,large_original,True,vented_t,757.2242311502853,-1895.9616786157428,3410.410140916313
future_effect_edge,edge_fixed,edge_original,True,vented_t,-2170.2506491827,-9348.02387920986,5007.522580844461
capacity_effect_original,large_original,small_original,True,vented_t,2329.4859128295498,377.9511367529176,4281.020688906182
capacity_effect_fixed,large_fixed,small_fixed,True,vented_t,2160.37061132239,194.65226313409607,4126.088959510684
graph_effect_original,edge_original,large_original,True,vented_t,3789.639912401276,-2508.586675970383,10087.866500772936
graph_effect_fixed,edge_fixed,large_fixed,True,vented_t,862.1650320682905,-2842.094448783593,4566.4245129201745
graph_by_future_interaction,(edge_fixed-edge_original),(large_fixed-large_original),True,vented_t,-2927.4748803329853,-11446.435405899814,5591.485645233843
future_effect_small,small_fixed,small_original,True,stored_t,-1657.006790514078,-3862.189060124011,548.1754790958555
future_effect_large,large_fixed,large_original,True,stored_t,-1178.4757331233209,-4907.813936553295,2550.862470306653
future_effect_edge,edge_fixed,edge_original,True,stored_t,3091.5465527684455,-4882.90171174293,11065.994817279821
capacity_effect_original,large_original,small_original,True,stored_t,-3921.3966440426943,-6472.60258004499,-1370.1907080403985
capacity_effect_fixed,large_fixed,small_fixed,True,stored_t,-3442.8655866519375,-6581.14284983579,-304.58832346808504
graph_effect_original,edge_original,large_original,True,stored_t,-6630.0199513059,-14556.774626229078,1296.7347236172782
graph_effect_fixed,edge_fixed,large_fixed,True,stored_t,-2359.997665414133,-7214.930474565794,2494.935143737528
graph_by_future_interaction,(edge_fixed-edge_original),(large_fixed-large_original),True,stored_t,4270.022285891767,-5421.127532400183,13961.172104183715
future_effect_small,small_fixed,small_original,True,operating_cost,134.13656185725705,-26623.366461982787,26891.6395856973
future_effect_large,large_fixed,large_original,True,operating_cost,-3562.9717938331423,-60166.19638184457,53040.25279417828
future_effect_edge,edge_fixed,edge_original,True,operating_cost,27823.747222248185,-23157.08648808672,78804.58093258309
capacity_effect_original,large_original,small_original,True,operating_cost,-17633.80687697744,-54017.84913640592,18750.235382451043
capacity_effect_fixed,large_fixed,small_fixed,True,operating_cost,-21330.915232667838,-42107.4935241739,-554.336941161775
graph_effect_original,edge_original,large_original,True,operating_cost,-27572.644881960285,-89140.03178248991,33994.74201856935
graph_effect_fixed,edge_fixed,large_fixed,True,operating_cost,3814.0741341210437,-45093.883702198626,52722.031970440716
graph_by_future_interaction,(edge_fixed-edge_original),(large_fixed-large_original),True,operating_cost,31386.719016081326,-42485.73224279985,105259.1702749625
future_effect_small,small_fixed,small_original,True,total_cost,74241.29917445286,-14423.190583239426,162905.78893214514
future_effect_large,large_fixed,large_original,True,total_cost,57014.96669818964,-105107.81907484474,219137.75247122403
future_effect_edge,edge_fixed,edge_original,True,total_cost,-145796.30471236756,-673113.5472585511,381520.93783381593
capacity_effect_original,large_original,small_original,True,total_cost,168725.06614938643,39644.88337865833,297805.24892011454
capacity_effect_fixed,large_fixed,small_fixed,True,total_cost,151498.73367312324,10400.63059923891,292596.83674700756
graph_effect_original,edge_original,large_original,True,total_cost,275598.54811014177,-172821.37693458755,724018.473154871
graph_effect_fixed,edge_fixed,large_fixed,True,total_cost,72787.27669958459,-185398.76358537434,330973.3169845435
graph_by_future_interaction,(edge_fixed-edge_original),(large_fixed-large_original),True,total_cost,-202811.2714105572,-824449.067826852,418826.52500573755
