case_id,time_h,captured_t,stored_t,vented_t,emitter_inventory_t,vessel_inventory_t,terminal_inventory_t,reservoir_inventory_t,system_mass_balance_error_t,mean_capture_multiplier,minimum_speed_factor,available_well_fraction
formal_medium_720h,1.0,146.58302925726042,285.3881278538813,0.0,7513.904211814564,2154.4770284650835,2278.535455528395,4433410.222655567,-1.2681766747846268e-10,1.052743223950747,1.0,1.0
formal_medium_720h,2.0,327.71017860482146,570.7762557077626,0.0,6037.746797812931,3811.7615918142783,1993.1473276745135,4433695.610783421,4.5935166781418957e-10,1.2366603153044398,1.0,1.0
formal_medium_720h,3.0,554.5942346674292,856.164383561644,0.0,4634.419517021399,5441.972928668418,1707.7591998206321,4433980.9989112755,2.892193151637912e-10,1.106393711980941,1.0,1.0
formal_medium_720h,4.0,731.8728825245001,1141.5525114155253,0.0,3229.5769709361502,7024.094122610737,1422.3710719667508,4434266.38703913,5.115907697472721e-12,0.7670758971845041,1.0,1.0
formal_medium_720h,5.0,860.0039120192682,1426.9406392694066,0.0,2496.396305896816,7885.40581714484,1136.9829441128695,4434551.775166984,2.751221472863108e-10,1.2218856222193655,1.0,1.0
formal_medium_720h,6.0,1073.5805771874614,1712.328767123288,0.0,1817.1447427121348,8778.234045497715,851.5948162589882,4434837.163294838,7.100879884092137e-10,1.0588346082912994,1.0,1.0
formal_medium_720h,7.0,1255.0089992650085,1997.7168949771692,0.0,1114.192821160933,9662.614389126462,566.2066884051069,4435122.551422692,7.219114195322618e-10,0.9922919354744925,1.0,1.0
formal_medium_720h,8.0,1447.9165367395303,2283.1050228310505,0.0,447.7555424754746,10521.959205286443,280.8185605512256,4435407.939550546,1.4283614291343838e-09,0.9616057490384566,1.0,1.0
formal_medium_720h,9.0,1637.784688260699,2563.923583382276,0.0,0.0,11159.582899283087,0.0,4435688.758111097,6.384652806445956e-10,0.8432257651119425,1.0,1.0
formal_medium_720h,10.0,1771.5944518474703,2563.923583382276,0.0,0.0,11293.392662869857,0.0,4435688.758111097,9.472387318965048e-10,1.4338510370313415,1.0,1.0
formal_medium_720h,11.0,2016.2543361578341,2563.923583382276,0.0,0.0,11538.052547180221,0.0,4435688.758111097,9.108589438255876e-10,0.8978846649935454,1.0,1.0
formal_medium_720h,12.0,2179.319275338868,2563.923583382276,0.0,0.0,11701.117486361256,0.0,4435688.758111097,1.19734977488406e-09,1.2782033533755373,1.0,1.0
formal_medium_720h,13.0,2393.3044322798605,2563.923583382276,0.0,0.0,11915.102643302247,0.0,4435688.758111097,1.432454155292362e-09,0.9536971598622074,1.0,1.0
formal_medium_720h,14.0,2546.3089015771075,2563.923583382276,0.0,0.0,12068.107112599493,0.0,4435688.758111097,1.0804797057062387e-09,1.1102903877028023,1.0,1.0
formal_medium_720h,15.0,2737.688128872229,2563.923583382276,0.0,59.29776333601106,12200.188576558605,0.0,4435688.758111097,1.4770193956792355e-09,0.9203448873716037,1.0,1.0
formal_medium_720h,16.0,2904.198677056864,2563.923583382276,0.0,161.27382132078873,12264.723066758463,0.0,4435688.758111097,5.361471266951412e-10,1.1542613039735565,1.0,1.0
formal_medium_720h,17.0,3092.6797026236773,2563.923583382276,0.0,252.9729595677384,12361.504954078326,0.0,4435688.758111097,1.001353666651994e-09,1.0771092901099613,1.0,1.0
formal_medium_720h,18.0,3286.594073079012,2563.923583382276,0.0,367.49038826345515,12440.901895837944,0.0,4435688.758111097,5.143192538525909e-10,0.9411540152749872,1.0,1.0
formal_medium_720h,19.0,3457.4221125561257,2563.923583382276,0.0,469.28797770518446,12509.932345873327,0.0,4435688.758111097,4.865796654485166e-11,1.0894216178209897,1.0,1.0
formal_medium_720h,20.0,3630.553219624089,2563.923583382276,0.0,548.4529012907977,12603.898529355678,0.0,4435688.758111097,1.6375452105421573e-09,1.1102525939589798,1.0,1.0
formal_medium_720h,21.0,3829.8022831060484,2563.923583382276,0.0,668.0738879428811,12683.526606185555,0.0,4435688.758111097,2.185970515711233e-09,0.7264070160349125,1.0,1.0
formal_medium_720h,22.0,3954.056179073452,2563.923583382276,0.0,735.6783337954886,12740.17605630035,0.0,4435688.758111097,1.1186784831807017e-09,1.0522000076306754,1.0,1.0
formal_medium_720h,23.0,4120.05449335679,2563.923583382276,0.0,809.197090134166,12832.655614245012,0.0,4435688.758111097,6.375557859428227e-10,1.017578648386708,1.0,1.0
formal_medium_720h,24.0,4304.2684589850205,2563.923583382276,0.0,916.3506769557783,12909.71599305163,0.0,4435688.758111097,7.030394044704735e-10,0.9548541727231982,1.0,1.0
formal_medium_720h,25.0,4475.736645615087,2563.923583382276,0.0,1018.0105846832932,12979.524271954182,0.0,4435688.758111097,1.5043042367324233e-09,1.2596764982454691,1.0,1.0
formal_medium_720h,26.0,4687.0412244022,2563.923583382276,0.0,1127.6339966971702,13081.205438727417,0.0,4435688.758111097,1.1068550520576537e-09,0.8405171292437593,1.0,1.0
formal_medium_720h,27.0,4826.253051122518,2563.923583382276,0.0,1193.2006947261298,13154.850567418776,0.0,4435688.758111097,1.064108801074326e-09,1.1688686998776527,1.0,1.0
formal_medium_720h,28.0,5046.954927337634,2563.923583382276,0.0,1338.5789648100204,13230.174173550002,0.0,4435688.758111097,1.584339770488441e-09,1.1029415324705691,1.0,1.0
formal_medium_720h,29.0,5250.926508103152,2563.923583382276,0.0,1461.9070617185967,13310.817657406944,0.0,4435688.758111097,1.2769305612891912e-09,1.0027755730403307,1.0,1.0
formal_medium_720h,30.0,5438.436904104903,2563.923583382276,0.0,1581.5057057800398,13378.729409347252,0.0,4435688.758111097,1.3860699255019426e-09,1.006362688344477,1.0,1.0
formal_medium_720h,31.0,5619.451595569129,2563.923583382276,0.0,1691.6182877609099,13449.631518830607,0.0,4435688.758111097,8.321876521222293e-10,0.8329843504742539,1.0,1.0
formal_medium_720h,32.0,5767.732078671379,2563.923583382276,0.0,1778.432952082571,13511.097337611196,0.0,4435688.758111097,1.0077201295644045e-09,0.6784798353216076,1.0,1.0
formal_medium_720h,33.0,5877.460433356866,2563.923583382276,0.0,1827.251502384252,13572.007141995,0.0,4435688.758111097,1.4606484910473228e-09,1.0463581712622931,1.0,1.0
formal_medium_720h,34.0,6040.700322255824,2563.923583382276,0.0,1896.038044558527,13666.460488719686,0.0,4435688.758111097,1.5306795830838382e-09,1.2033326933269426,1.0,1.0
formal_medium_720h,35.0,6234.630034460006,2563.923583382276,0.0,1983.6828425676185,13772.745402914776,0.0,4435688.758111097,6.803020369261503e-10,1.2194216136954834,1.0,1.0
formal_medium_720h,36.0,6449.036115520376,2563.923583382276,0.0,2103.692185991608,13867.142140551157,0.0,4435688.758111097,1.1887095752172172e-09,1.073063362126267,1.0,1.0
formal_medium_720h,37.0,6651.660583094515,2563.923583382276,0.0,2235.1657180190446,13938.29307609786,0.0,4435688.758111097,1.1104930308647454e-09,0.8218684724072213,1.0,1.0
formal_medium_720h,38.0,6794.622365452424,2563.923583382276,0.0,2312.139323850769,14004.281252624043,0.0,4435688.758111097,1.788066583685577e-09,0.9050745233205525,1.0,1.0
formal_medium_720h,39.0,6942.350468195775,2563.923583382276,0.0,2381.308426710775,14082.840252507387,0.0,4435688.758111097,1.1314114090055227e-09,0.9368443762373078,1.0,1.0
formal_medium_720h,40.0,7132.239866060148,2563.923583382276,0.0,2520.448141652813,14133.589935429722,0.0,4435688.758111097,9.877112461254e-10,0.7992713084316566,1.0,1.0
formal_medium_720h,41.0,7272.526566861696,2563.923583382276,0.0,2601.3483078432228,14192.97647004086,0.0,4435688.758111097,4.3291947804391384e-10,0.912586468693057,1.0,1.0
formal_medium_720h,42.0,7426.452315442243,2563.923583382276,0.0,2684.1134158219793,14264.13711064265,0.0,4435688.758111097,1.8835635273717344e-09,0.8298895778529154,1.0,1.0
formal_medium_720h,43.0,7592.812205413291,2563.923583382276,0.0,2799.5872860360396,14315.023130399639,0.0,4435688.758111097,9.968061931431293e-10,1.313445495389854,1.0,1.0
formal_medium_720h,44.0,7841.324611291751,2563.923583382276,0.0,2956.690871971059,14406.43195034308,0.0,4435688.758111097,4.69299266114831e-10,0.984196841511877,1.0,1.0
formal_medium_720h,45.0,8033.353319345903,2563.923583382276,0.0,3086.7116126986825,14468.439917669606,0.0,4435688.758111097,1.001353666651994e-09,1.2407606735956078,1.0,1.0
formal_medium_720h,46.0,8273.213213057812,2563.923583382276,0.0,3251.2997067200818,14543.711717360118,0.0,4435688.758111097,3.765308065339923e-10,1.3409257051996584,1.0,1.0
formal_medium_720h,47.0,8525.548899541458,2563.923583382276,0.0,3412.7210757308685,14634.626034832976,0.0,4435688.758111097,2.013621269725263e-09,1.1338141430465647,1.0,1.0
formal_medium_720h,48.0,8730.099267449299,2563.923583382276,0.0,3533.8534572053773,14718.044021266309,0.0,4435688.758111097,8.62200977280736e-10,1.1642510265281472,1.0,1.0
formal_medium_720h,49.0,8921.539757429458,2563.923583382276,0.0,3624.8315724445956,14818.506396007251,0.0,4435688.758111097,1.0950316209346056e-09,1.0847082368993173,1.0,1.0
formal_medium_720h,50.0,9111.012452078794,2563.923583382276,0.0,3724.5132470302556,14908.297416070925,0.0,4435688.758111097,1.8917489796876907e-10,0.9662371439119819,1.0,1.0
formal_medium_720h,51.0,9268.91606431465,2563.923583382276,0.0,3804.437923920297,14986.27635141674,0.0,4435688.758111097,8.258211892098188e-10,1.2542026295732542,1.0,1.0
formal_medium_720h,52.0,9521.283727469083,2563.923583382276,0.0,3984.9956707908204,15058.086267700648,0.0,4435688.758111097,1.7025740817189217e-09,1.8487159493436132,1.0,1.0
formal_medium_720h,53.0,9831.79758730661,2563.923583382276,0.0,4136.592211422303,15217.003586906694,0.0,4435688.758111097,1.4915713109076023e-09,1.5583333604692007,1.0,1.0
formal_medium_720h,54.0,10100.946964627003,2563.923583382276,0.0,4276.868307503093,15345.876868146297,0.0,4435688.758111097,1.0604708222672343e-09,1.3019966186756422,1.0,1.0
formal_medium_720h,55.0,10351.199122813914,2563.923583382276,0.0,4447.262019673106,15425.735314163194,0.0,4435688.758111097,5.475158104673028e-10,1.1883863393593062,1.0,1.0
formal_medium_720h,56.0,10555.873290134079,2563.923583382276,0.0,4556.347454484238,15521.324046672229,0.0,4435688.758111097,1.446096575818956e-09,1.275337722631154,1.0,1.0
formal_medium_720h,57.0,10787.389473881141,2563.923583382276,0.0,4694.057548597949,15615.130136305583,0.0,4435688.758111097,1.3624230632558465e-09,1.3303015776425666,1.0,1.0
formal_medium_720h,58.0,11028.775766715358,2563.923583382276,0.0,4836.99167619541,15713.582301542338,0.0,4435688.758111097,9.804352885112166e-10,0.9148086632086896,1.0,1.0
formal_medium_720h,59.0,11158.556654674861,2563.923583382276,0.0,4868.439568603921,15811.915297093332,0.0,4435688.758111097,1.002263161353767e-09,1.5620540507192262,1.0,1.0
formal_medium_720h,60.0,11433.646379554135,2849.311711236157,0.0,5023.305445035028,15132.139145541496,514.6118721461187,4435974.146238951,5.093170329928398e-10,1.3243166467857828,1.0,1.0
formal_medium_720h,61.0,11652.087325003024,3134.699839090038,0.0,5126.537026324381,14447.348509701033,1029.2237442922374,4436259.534366805,1.837179297581315e-09,1.44841977529768,1.0,1.0
formal_medium_720h,62.0,11901.363478407106,3420.087966943919,0.0,5259.17207648626,13763.989612943235,1543.835616438356,4436544.922494659,1.089574652723968e-09,1.0960465392163592,1.0,1.0
formal_medium_720h,63.0,12078.487636470658,3705.4760947978,0.0,5336.7967334042705,13063.489114088778,2058.4474885844747,4436830.310622513,2.371962182223797e-09,1.4355576234492553,1.0,1.0
