gate,seed,wall_clock_seconds,event_count,override_events,proposed_override_events,mean_head_agreement,early_departures,emitter_to_emitter_legs,episode_vessel_fuel_eur,greedy_episode_vessel_fuel_eur,delta_episode_vessel_fuel_eur,episode_conditioning_eur,greedy_episode_conditioning_eur,delta_episode_conditioning_eur,episode_reconditioning_eur,greedy_episode_reconditioning_eur,delta_episode_reconditioning_eur,episode_loading_eur,greedy_episode_loading_eur,delta_episode_loading_eur,episode_unloading_eur,greedy_episode_unloading_eur,delta_episode_unloading_eur,episode_operating_cost_eur,greedy_episode_operating_cost_eur,delta_episode_operating_cost_eur,episode_vent_penalty_eur,greedy_episode_vent_penalty_eur,delta_episode_vent_penalty_eur,episode_storage_shortfall_penalty_eur,greedy_episode_storage_shortfall_penalty_eur,delta_episode_storage_shortfall_penalty_eur,episode_total_cost_eur,greedy_episode_total_cost_eur,delta_episode_total_cost_eur,terminal_cleanup_operating_cost_eur,greedy_terminal_cleanup_operating_cost_eur,delta_terminal_cleanup_operating_cost_eur,total_cost_eur,greedy_total_cost_eur,delta_total_cost_eur,operating_cost_eur,greedy_operating_cost_eur,delta_operating_cost_eur,vent_penalty_eur,greedy_vent_penalty_eur,delta_vent_penalty_eur,vented_t,greedy_vented_t,delta_vented_t,stored_t,greedy_stored_t,delta_stored_t,unit_cost_eur_per_t,greedy_unit_cost_eur_per_t,delta_unit_cost_eur_per_t
formal_iterative_action_q_no_hour_s2,9000031,4.582912326324731,422,11,386,4.819905213270142,2,1,596971.3200000046,509791.9200000052,87179.39999999938,1005872.205050636,991296.1028016104,14576.1022490256,48589.410724886344,46932.58187229298,1656.8288525933604,3926.3745599962513,3869.4774345292985,56.89712546695273,3828.6945599962532,3507.322500000005,321.372059996248,1659188.0048955192,1555397.4046084378,103790.60028708144,6626.934096516558,499268.9184761926,-492641.984379676,0.0,0.0,0.0,1665814.9389920358,2054666.3230846303,-388851.3840925945,271135.7591918329,238351.0279126895,32784.73127914342,1936950.6981838688,2293017.35099732,-356066.65281345113,1930323.7640873522,1793748.4325211272,136575.33156622504,6626.934096516558,499268.9184761926,-492641.984379676,82.83667620645699,6240.861480952415,-6158.024804745958,118510.75786557644,114469.71188364139,4041.045981935051,16.344091735375617,20.03165128368782,-3.687559548312205
formal_iterative_action_q_no_hour_s2,9000032,2.4282256509177387,444,12,358,4.792792792792793,3,3,545078.8200000037,523906.68000000407,21172.139999999607,926086.5734377225,872609.8901637925,53476.683273929986,42406.24671820618,41249.47812830116,1156.7685899050193,3614.935122018735,3406.191419085648,208.7437029330872,3216.0353408207297,3205.125000000004,10.91034082072565,1520402.6106187718,1444377.3647111836,76025.24590758816,0.0,147597.08007642228,-147597.08007642228,0.0,0.0,0.0,1520402.6106187718,1591974.444787606,-71571.83416883415,171627.84924295725,174236.81051761188,-2608.9612746546336,1692030.459861729,1766211.2553052178,-74180.79544348875,1692030.459861729,1618614.1752287955,73416.28463293356,0.0,147597.08007642228,-147597.08007642228,0.0,1844.963500955279,-1844.963500955279,103429.87004440532,100608.4832397591,2821.3868046462303,16.359205122613933,17.555291546302083,-1.1960864236881505
formal_iterative_action_q_no_hour_s2,9000033,3.291260657366365,417,12,369,4.84652278177458,1,2,575384.0400000064,533870.0400000046,41514.00000000186,1006413.4387390466,932749.1859035201,73664.25283552648,45641.544116924284,43105.35594725522,2536.1881696690616,3928.487240090718,3640.942314540279,287.5449255504391,3393.9473021442723,3205.125000000006,188.82230214426636,1634761.4573982123,1516570.64916532,118190.8082328923,0.0,383151.50941582996,-383151.50941582996,0.0,0.0,0.0,1634761.4573982123,1899722.15858115,-264960.7011829377,194156.67164617538,207876.53585432417,-13719.864208148792,1828918.1290443877,2107598.694435474,-278680.5653910863,1828918.1290443877,1724447.1850196442,104470.94402474351,0.0,383151.50941582996,-383151.50941582996,0.0,4789.393867697877,-4789.393867697877,111320.83930957163,105135.0145055005,6185.824804071133,16.42925206446169,20.04659155989566,-3.6173394954339706
formal_iterative_action_q_no_hour_s2,9000034,3.399837632663548,449,12,378,4.77728285077951,0,3,518925.00000000524,508546.50000000285,10378.500000002387,966874.662333959,916455.4202540746,50419.242079884396,45431.32246776878,42937.94541789649,2493.377049872295,3774.1494971539805,3577.340371260317,196.80912589366335,3434.0625000000055,3205.125000000005,228.93750000000045,1538439.196798887,1474722.3310432343,63716.865755652776,0.0,262004.67944717887,-262004.67944717887,0.0,0.0,0.0,1538439.196798887,1736727.0104904133,-198287.8136915262,168059.60356354475,199225.9755994933,-31166.37203594856,1706498.800362432,1935952.9860899067,-229454.18572747475,1706498.800362432,1673948.3066427277,32550.493719704216,0.0,262004.67944717887,-262004.67944717887,0.0,3275.0584930897367,-3275.0584930897367,110808.10357992382,104726.69614121088,6081.407438712937,15.400487376192357,18.485763968716398,-3.085276592524041
formal_iterative_action_q_no_hour_s2,9000035,3.518037904985249,453,10,375,4.805739514348786,1,2,535530.6000000051,484053.24000000494,51477.36000000016,948583.7797770012,884710.3299529921,63873.44982400909,45516.92516250959,44725.083455352586,791.8417071570075,3702.7519025182833,3453.4249132755917,249.32698924269152,3369.6474585748874,3205.125000000004,164.52245857488333,1536703.7043006092,1420147.2033216252,116556.50097898394,0.0,282922.74237956875,-282922.74237956875,0.0,0.0,0.0,1536703.7043006092,1703069.945701194,-166366.2414005848,151163.6083101692,181939.4867516455,-30775.87844147632,1687867.3126107785,1885009.4324528396,-197142.11984206107,1687867.3126107785,1602086.6900732708,85780.62253750768,0.0,282922.74237956875,-282922.74237956875,0.0,3536.5342797446087,-3536.5342797446087,111016.89064026737,109085.56940329901,1931.3212369683606,15.20369831001703,17.280098942178068,-2.0764006321610378
formal_iterative_action_q_no_hour_s2,9000036,3.3355995933525264,311,10,260,4.70096463022508,1,3,642221.5800000041,508131.36000000505,134090.2199999991,923541.9999999999,717852.1628473271,205689.83715267282,43133.28758957184,33266.2698997174,9867.017689854438,3605.002500000006,2802.1019528023844,802.9005471976216,3073.8675000000044,2435.8950000000013,637.972500000003,1615575.7375895758,1264487.7896998518,351087.94788972405,37212.730318281145,2055838.1571652698,-2018625.4268469887,0.0,0.0,0.0,1652788.467907857,3320325.946865122,-1667537.478957265,211456.36912341017,213435.5826975821,-1979.2135741719394,1864244.8370312671,3533761.529562704,-1669516.6925314367,1827032.106712986,1477923.372397434,349108.73431555205,37212.730318281145,2055838.1571652698,-2018625.4268469887,465.15912897851433,25697.976964565867,-25232.817835587353,105203.14046237043,81137.24365784733,24065.8968045231,17.720429531265555,43.552891006064264,-25.83246147479871
formal_iterative_action_q_no_hour_s2,9000037,2.0604523071087897,420,12,353,4.780952380952381,0,1,563760.1200000051,495677.16000000644,68082.95999999868,1026325.8018714518,985460.3769294086,40865.424942043144,47071.774702386974,46558.290197615104,513.48450477187,4006.2142074330045,3846.6979547020733,159.51625273093123,3434.062500000005,3434.0625000000045,4.547473508864641e-13,1644597.9732812766,1534976.587581732,109621.38569954457,0.0,341708.7052254426,-341708.7052254426,0.0,0.0,0.0,1644597.9732812766,1876685.2928071746,-232087.31952589797,130130.444192171,123800.62038750286,6329.823804668136,1774728.4174734477,2000485.9131946776,-225757.49572122982,1774728.4174734477,1658777.207969235,115951.20950421272,0.0,341708.7052254426,-341708.7052254426,0.0,4271.358815318033,-4271.358815318033,114809.20659118767,113556.80536003655,1252.4012311511178,15.458067085097941,17.6166096505802,-2.1585425654822608
formal_iterative_action_q_no_hour_s2,9000038,3.8954806150868535,440,12,368,4.85,2,3,595310.760000005,532209.4800000057,63101.27999999933,988466.6213141165,934722.6242499,53743.99706421653,48107.91364529362,47193.94968274025,913.9639625533746,3858.4326874186,3648.6455377529687,209.7871496656312,3615.5453284224463,3434.062500000004,181.48282842244225,1639359.2729752562,1521208.761970399,118150.51100485725,0.0,192712.67507384662,-192712.67507384662,0.0,0.0,0.0,1639359.2729752562,1713921.4370442457,-74562.16406898946,173788.52298746843,206374.53368219113,-32586.010694722703,1813147.7959627246,1920295.9707264367,-107148.1747637121,1813147.7959627246,1727583.29565259,85564.50031013461,0.0,192712.67507384662,-192712.67507384662,0.0,2408.9084384230837,-2408.9084384230837,117336.37474461859,115107.19434814701,2229.18039647158,15.452563622397761,16.68267549740126,-1.230111875003498
formal_iterative_action_q_no_hour_s2,9000039,3.8369197729043663,442,11,384,4.861990950226244,0,4,559193.580000006,500658.8400000053,58534.74000000069,927821.2002833001,812662.8487139633,115158.35156933684,43921.95783522531,36832.2939580883,7089.663877137005,3621.70615583731,3172.190979155211,449.5151766820986,3392.768655837313,2747.2500000000027,645.5186558373102,1537951.2129302062,1356073.4236512124,181877.78927899385,0.0,751527.0306649255,-751527.0306649255,0.0,0.0,0.0,1537951.2129302062,2107600.454316138,-569649.2413859316,282431.3768003357,329963.2737352864,-47531.896934950666,1820382.589730542,2437563.728051424,-617181.1383208821,1820382.589730542,1686036.6973864988,134345.89234404312,0.0,751527.0306649255,-751527.0306649255,0.0,9394.08788331157,-9394.08788331157,107126.72642737888,89834.86331241042,17291.86311496845,16.99279582639518,27.13382798362517,-10.14103215722999
formal_iterative_action_q_no_hour_s2,9000040,3.481167607009411,488,10,373,4.776639344262295,1,3,524321.8200000054,419291.40000000526,105030.42000000016,986576.2312022697,869010.670625592,117565.56057667767,44311.07407743609,40082.84435868473,4228.229718751361,3851.053639060014,3392.142035913834,458.9116031461799,3232.4010939826144,2976.1875000000036,256.21359398261075,1562292.5800127538,1334753.2445201958,227539.33549255808,0.0,1093209.2613003359,-1093209.2613003359,0.0,0.0,0.0,1562292.5800127538,2427962.5058205314,-865669.9258077776,199122.65594920944,189236.97336836957,9885.682580839872,1761415.2359619632,2617199.479188901,-855784.2432269377,1761415.2359619632,1523990.2178885653,237425.01807339792,0.0,1093209.2613003359,-1093209.2613003359,0.0,13665.115766254208,-13665.115766254208,108075.79043277101,97763.03502118237,10312.755411588645,16.297963021215732,26.770849315611272,-10.47288629439554
