seed,decisions,mean_decision_interval_h,selected_interventions,selected_intervention_rate,feasible_intervention_decisions,changed_decisions,effective_intervention_rate,changed_native_steps,local_avoided_vent_t,local_incremental_stored_t,local_total_cost_saving_eur,episode_reward,captured_t,stored_t,vented_t,storage_rate,episode_vessel_fuel_eur,episode_conditioning_eur,episode_reconditioning_eur,episode_loading_eur,episode_unloading_eur,episode_operating_cost_eur,episode_vent_penalty_eur,episode_storage_shortfall_penalty_eur,terminal_cleanup_operating_cost_eur,operating_cost_eur,episode_total_cost_eur,total_cost_eur,unit_total_cost_eur_per_t,hard_violations,wall_clock_seconds
9000031,133,5.413533834586466,11,0.08270676691729323,11,11,0.08270676691729323,31,8750.394732843135,9642.630458246858,467237.57837685023,0.4672375783768502,134043.80710806392,109721.18512150914,9411.99861144346,0.8185472159340694,616067.7600000068,939114.8171013702,44985.68589981874,3665.7902547339318,3477.556777066626,1607311.6100329962,752959.8889154772,0.0,260608.6459899324,1867920.2560229285,2360271.4989484735,2620880.144938406,23.886728365501614,0,2.971496695186943
9000032,106,6.7924528301886795,12,0.11320754716981132,12,12,0.11320754716981132,33,5978.077485021682,7550.693149363797,321990.67945968034,0.3219906794596802,118765.80374023803,95250.98854906714,2570.5238223668675,0.8020068533986267,585762.5400000062,848629.9986080591,39052.90530511742,3312.587046996293,2867.9397609659068,1479625.970721145,205641.90578934943,0.0,239663.52760253244,1719289.4983236773,1685267.8765104944,1924931.4041130268,20.20904384757568,0,1.0703719579614699
9000033,110,6.545454545454546,12,0.10909090909090909,12,12,0.10909090909090909,38,12828.557070330637,13200.8738978115,792889.5175151262,0.792889517515126,127077.96740974122,102191.00737459814,2534.3960364491445,0.8041599142446202,567496.3800000069,914732.4623702185,41898.31302358523,3570.614886681708,3115.259182329205,1530813.0294628215,202751.68291593154,0.0,282489.11532890203,1813302.1447917237,1733564.712378753,2016053.8277076553,19.728289988545416,0,2.110860989894718
9000034,118,6.101694915254237,9,0.07627118644067797,9,9,0.07627118644067797,23,5976.775233974607,10587.28059945286,350957.096415536,0.3509570964155361,123422.09958543938,101181.91404727027,1311.570872305562,0.8198038632232693,549645.3600000055,915425.6578666627,41484.584759380836,3573.320742503819,3171.1592296992985,1513300.0825982522,104925.66978444497,0.0,235047.19808307127,1748347.2806813235,1618225.752382697,1853272.9504657683,18.316247205997254,0,2.1526726968586445
9000035,95,7.578947368421052,9,0.09473684210526316,9,9,0.09473684210526316,24,2342.9201028304915,3757.4685889249668,98264.82050804817,0.09826482050804813,116933.45658342756,106348.17824385338,0.0,0.9094760503207909,569987.2200000061,891694.0587389459,43602.75307997985,3480.685568159381,3121.566134857925,1511886.2835219493,0.0,0.0,224967.5490891797,1736853.832611129,1511886.2835219493,1736853.832611129,16.331768548292118,0,2.347954693250358
9000036,108,6.666666666666667,9,0.08333333333333333,9,9,0.08333333333333333,30,8087.055876984234,6212.21673458282,487338.0655363536,0.4873380655363536,124518.99931170137,92700.5650439661,7794.949101569888,0.7444692420946463,610670.9400000053,859713.44788757,38007.23166802606,3355.8507668501406,2692.2263853532095,1514439.6967078045,623595.9281255909,0.0,231063.75485391723,1745503.4515617217,2138035.6248333952,2369099.3796873125,25.5564718355675,0,2.5359553969465196
9000037,111,6.486486486486487,10,0.09009009009009009,10,10,0.09009009009009009,41,10218.338572528362,14933.866656979968,655115.1497802255,0.6551151497802257,121647.55872136065,115106.60750576475,1307.1746944611755,0.9462303125163551,578290.0200000054,968140.4087829292,47193.70907736363,3779.0902785292783,3566.032080395043,1600969.2602192226,104573.97555689405,0.0,168318.1265050247,1769287.3867242474,1705543.2357761166,1873861.3622811413,16.27935531144287,0,1.055459959898144
9000038,121,5.950413223140496,16,0.1322314049586777,16,16,0.1322314049586777,48,10053.943992898716,12463.107666158248,563204.5670819802,0.5632045670819801,128369.72617542402,107404.80968266347,6511.013135049195,0.8366833277800182,643467.0000000071,878167.3519159199,44035.97196989208,3427.884708086119,3198.947208086123,1572297.1558019912,520881.05080393545,0.0,286916.244714326,1859213.4005163172,2093178.2066059266,2380094.4513202524,22.160036020290352,0,2.5434333961457014
9000039,97,7.422680412371134,9,0.09278350515463918,9,9,0.09278350515463918,27,4041.2126597080187,3197.9712040869344,200120.87655418232,0.20012087655418245,125712.08383662622,98369.01918954044,8465.603788372653,0.7824945398039821,564590.4000000057,847461.0620242084,40331.2978677116,3308.024158348974,3210.3441583489744,1458901.1282086237,677248.3030698124,0.0,307483.1772333821,1766384.3054420059,2136149.431278436,2443632.608511818,24.841485954061937,0,2.4977830117568374
9000040,107,6.728971962616822,10,0.09345794392523364,10,10,0.09345794392523364,35,9894.949025959642,8776.198099124536,589165.804955805,0.589165804955805,128417.59580770151,103381.02942182832,3743.407138712696,0.8050378826328122,559193.580000003,911802.2979683067,42386.222062949564,3559.1771285783348,3357.470581660551,1520298.747741498,299472.57109701575,0.0,245781.7524628389,1766080.5002043368,1819771.318838514,2065553.0713013527,19.980001000698323,0,2.340527876280248
9000041,107,6.728971962616822,12,0.11214953271028037,12,12,0.11214953271028037,32,7503.076978064776,1706.2319696806517,426780.2518533962,0.4267802518533961,125444.62651394652,92225.0666364824,9253.991140155247,0.7351854694726929,604028.7000000064,867694.2174614745,37812.277320957844,3387.0033232751334,2887.5057954265435,1515809.7039011403,740319.291212419,0.0,268355.9521658943,1784165.6560670347,2256128.995113559,2524484.9472794533,27.373088893825937,0,2.5657207830809057
9000042,99,7.2727272727272725,5,0.050505050505050504,5,5,0.050505050505050504,14,3745.1346731908216,6563.303515133317,193419.33502366545,0.1934193350236654,122590.33961068436,100925.64469869348,1605.9086318898082,0.8232756758746862,543833.4000000044,885588.0473889725,41379.514326464334,3456.851041758112,3017.1380431501757,1477274.9508003495,128472.69055118464,0.0,261067.88758534082,1738342.8383856902,1605747.641351534,1866815.5289368748,18.496939350847086,0,2.110330304130912
9000043,120,6.0,17,0.14166666666666666,17,17,0.14166666666666666,61,2458.1637404198063,12014.727432169137,-8464.959233331407,-0.00846495923333139,122999.51700733569,94672.82672808242,10143.431482363567,0.7697008007148202,684565.8600000083,878589.6818166525,38815.858958513796,3429.533252871273,2889.240752871273,1608290.1747809171,811474.5185890858,0.0,201348.14716814415,1809638.3219490612,2419764.693370003,2621112.840538147,27.686010137486015,0,1.3732035011053085
9000044,103,6.990291262135922,9,0.08737864077669903,9,9,0.08737864077669903,33,8865.28533865277,7499.999999999927,556428.5630868664,0.5564285630868664,129859.10158151455,108067.8151321722,6704.4144273421,0.8321928445218479,525567.2400000038,876125.6779537175,44307.80420419068,3419.9151303756057,3200.135130375609,1452620.7724186631,536353.154187368,0.0,300319.0245713619,1752939.796990025,1988973.9266060311,2289292.951177393,21.183855233655613,0,1.1250348431058228
9000045,98,7.346938775510204,7,0.07142857142857142,7,7,0.07142857142857142,20,7500.000000000009,9026.575586891166,477206.6850003372,0.47720668500033725,125440.6630420947,105075.72737772821,2130.0464508349282,0.8376528378398914,503564.8200000052,907279.9676630422,43081.04822486859,3541.524426203885,3205.125000000004,1460672.4853141198,170403.71606679427,0.0,262736.2193704684,1723408.7046845881,1631076.201380914,1893812.4207513826,18.02331012131346,0,2.2237938418984413
9000046,112,6.428571428571429,9,0.08035714285714286,9,9,0.08035714285714286,28,5722.79076729284,4690.8339838212705,316138.5369789281,0.316138536978928,132406.07380064274,113370.47080095152,6142.247252366754,0.856233158696691,562099.560000007,932269.252289626,46481.89302839011,3639.068916386304,3410.1314163863062,1547899.9056507957,491379.7801893402,0.0,283649.91121153365,1831549.8168623294,2039279.685840136,2322929.5970516694,20.48972347596684,0,1.7016993346624076
