seed,decisions,mean_decision_interval_h,selected_interventions,selected_intervention_rate,feasible_intervention_decisions,changed_decisions,effective_intervention_rate,changed_native_steps,local_avoided_vent_t,local_incremental_stored_t,local_total_cost_saving_eur,episode_reward,captured_t,stored_t,vented_t,storage_rate,episode_vessel_fuel_eur,episode_conditioning_eur,episode_reconditioning_eur,episode_loading_eur,episode_unloading_eur,episode_operating_cost_eur,episode_vent_penalty_eur,episode_storage_shortfall_penalty_eur,terminal_cleanup_operating_cost_eur,operating_cost_eur,episode_total_cost_eur,total_cost_eur,unit_total_cost_eur_per_t,hard_violations,wall_clock_seconds
9000031,125,5.76,11,0.088,11,11,0.088,38,9198.948823082315,7470.43872407022,525556.7412087088,0.5255567412087088,134043.80710806392,107548.9933873325,8963.444521204277,0.8023421276048082,568326.6600000049,972220.5142231282,44095.08728880631,3795.0167770666235,3477.5567770666244,1591914.8350660724,717075.5616963427,0.0,253570.58534413247,1845485.420410205,2308990.396762415,2562560.9821065473,23.826917401984485,0,3.030171051155776
9000032,102,7.0588235294117645,10,0.09803921568627451,10,10,0.09803921568627451,29,5978.077485021682,7550.693149363797,306215.3594583673,0.3062153594583672,118765.80374023803,95250.98854906714,2570.5238223668675,0.8020068533986267,584517.1200000067,852018.7200902003,39052.90530511742,3325.8147609659013,2867.9397609659068,1481782.4999172564,205641.90578934943,0.0,253282.31840773404,1735064.8183249906,1687424.4057066059,1940706.7241143398,20.37466228620413,0,1.086555396206677
9000033,114,6.315789473684211,7,0.06140350877192982,7,7,0.06140350877192982,21,11443.654480502844,10010.395179064682,700636.986951725,0.7006369869517248,127077.96740974124,99000.52865585132,3919.2986262769377,0.7790534478462423,557533.0200000056,879878.5724787746,40590.21674889905,3434.5643765875443,3205.6268765875466,1484642.0004808542,313543.89010215516,0.0,310120.46768804686,1794762.468168901,1798185.8905830095,2108306.3582710563,21.295910101652243,0,2.1776166642084718
9000034,117,6.153846153846154,10,0.08547008547008547,10,10,0.08547008547008547,24,3096.663453692979,9981.768027562182,134463.94477088604,0.1344639447708861,123422.09958543938,100576.4014753796,4191.682652587189,0.8148978328290002,551305.920000005,872044.812782972,41236.32460490562,3403.9856662660163,3067.8347641966184,1471058.8778183453,335334.61220697523,0.0,263372.61208509776,1734431.489903443,1806393.4900253206,2069766.1021104183,20.579043112981953,0,2.1581655531190336
9000035,95,7.578947368421052,9,0.09473684210526316,9,9,0.09473684210526316,24,2342.9201028304915,3757.4685889249668,98264.82050804817,0.09826482050804813,116933.45658342756,106348.17824385338,0.0,0.9094760503207909,569987.2200000061,891694.0587389459,43602.75307997985,3480.685568159381,3121.566134857925,1511886.2835219493,0.0,0.0,224967.5490891797,1736853.832611129,1511886.2835219493,1736853.832611129,16.331768548292118,0,2.3984494660981
9000036,112,6.428571428571429,9,0.08035714285714286,9,9,0.08035714285714286,28,8659.61118709631,9461.39170606248,491447.9456406429,0.49144794564064304,124518.99931170137,95949.74001544576,7222.393791457813,0.7705630509867831,615652.620000005,869783.9130231321,39339.39340633275,3395.160351027,2791.4074513576275,1530962.4942318546,577791.5033166244,0.0,256235.50203454413,1787197.9962663986,2108753.997548479,2364989.499583023,24.648211649164583,0,2.6542392652481794
9000037,115,6.260869565217392,9,0.0782608695652174,9,9,0.0782608695652174,38,11525.51326698954,6338.572100955251,708582.6945850549,0.7085826945850546,121647.55872136065,106511.31294974004,0.0,0.8755729590407081,570402.3600000051,930352.4268412718,43669.63830939351,3631.5866789424363,3315.7343993345453,1551371.7462289475,0.0,0.0,269022.07124736445,1820393.817476312,1551371.7462289475,1820393.817476312,17.091084196242225,0,1.0501977279782295
9000038,118,6.101694915254237,13,0.11016949152542373,13,13,0.11016949152542373,48,11244.342560520381,12715.880809223338,682608.2784544893,0.6826082784544891,128369.72617542402,107657.58282572856,5320.614567427531,0.8386524302358391,622294.860000007,958202.6624603573,44139.608958548735,3740.298755959392,3222.371635675442,1631599.8018105477,425649.1653942024,0.0,203441.77274299352,1835041.5745535411,2057248.96720475,2260690.7399477437,20.9988992935802,0,2.5061589586548507
9000039,104,6.923076923076923,6,0.057692307692307696,6,6,0.057692307692307696,24,7499.999999999993,8007.722103529348,460185.9449999988,0.4601859449999987,125712.08383662622,103178.77008898286,5006.816448080679,0.8207545920810019,574553.760000007,871759.828609626,42303.29573648293,3402.8732440292642,3210.3441583489753,1495230.101748494,400545.3158464543,0.0,287792.1224710533,1783022.2242195474,1895775.4175949483,2183567.5400660015,21.16295375669686,0,2.5607638750225306
9000040,105,6.857142857142857,6,0.05714285714285714,6,6,0.05714285714285714,21,8836.860299584689,7373.390282595545,533218.0933806066,0.5332180933806066,128417.59580770151,101978.22160529933,4801.49586508765,0.7941140850978574,501489.1200000065,882846.695796821,41811.070858172745,3446.1503055240432,3046.272805524044,1432639.3097660483,384119.6692070121,0.0,304741.8039034907,1737381.113669539,1816758.9789730604,2121500.782876551,20.80346910821503,0,2.3345429450273514
9000041,102,7.0588235294117645,10,0.09803921568627451,10,10,0.09803921568627451,31,6812.24108819924,8522.988585481478,355653.8555702317,0.35565385557023166,125444.62651394652,99041.82325228323,9944.827030020784,0.7895262316498832,618143.4600000045,899140.206846173,40607.14753343603,3509.7512549845846,3065.9409453599533,1564466.5065799581,795586.1624016621,0.0,235558.67458099782,1800025.181160956,2360052.66898162,2595611.343562618,26.207224971525157,0,2.589754152111709
9000042,96,7.5,2,0.020833333333333332,2,2,0.020833333333333332,11,3745.1346731908216,7187.241341604007,219988.29502237018,0.21998829502237022,122590.33961068436,101549.58252516417,1605.9086318898082,0.8283652924664352,511452.48000000423,868349.053220737,41635.32883531731,3389.559443678137,3160.6219436781416,1427987.043443415,128472.69055118464,0.0,283786.8349435705,1711773.8783869855,1556459.7339945997,1840246.56893817,18.12165567969867,0,2.1768013830296695
9000043,109,6.605504587155964,10,0.09174311926605505,10,10,0.09174311926605505,31,6760.914805274466,9797.369577388541,373975.7217416022,0.3739757217416021,122999.51700733569,92455.46887330183,5840.6804175089055,0.7516734302931269,598631.8800000091,815990.3543511726,37906.74223805374,3185.1797399705342,2727.3047399705333,1458441.4610691764,467254.43340071256,0.0,312976.2650933245,1771417.726162501,1925695.8944698889,2238672.1595632136,24.213517997848477,0,1.5282438839785755
9000044,116,6.206896551724138,7,0.0603448275862069,7,7,0.0603448275862069,25,14012.36204790304,9155.085846923583,898120.7894746633,0.8981207894746635,129859.10158151455,109722.90097909585,1557.3377180918296,0.844938087841468,568326.6600000043,932629.2676150725,44986.38940142931,3640.474219175208,3250.6566258529483,1552833.4478615343,124587.01744734636,0.0,270180.2594807155,1823013.7073422498,1677420.4653088807,1947600.7247895962,17.75017528164561,0,1.1838039821013808
9000045,100,7.2,5,0.05,5,5,0.05,14,6962.3733297424715,2525.675485955886,427860.4009860855,0.4278604009860855,125440.6630420947,98574.82727679293,2667.6731210924668,0.7858283341799119,498168.0000000048,879749.9999999995,40415.679183485125,3434.062500000001,3285.9887744189564,1425053.7304579085,213413.84968739745,0.0,304691.12462032825,1729744.8550782367,1638467.580145306,1943158.7047656341,19.712524570896246,0,2.2395762209780514
9000046,101,7.128712871287129,5,0.04950495049504951,5,5,0.04950495049504951,21,3710.4103997417596,5365.57056879146,254030.5738224237,0.2540305738224237,132406.07380064274,114045.2073859217,8154.627619917835,0.8613291226929205,502734.5400000061,937842.4437753245,46758.53502822797,3660.8236056575215,3410.131416386305,1494406.4738256026,652370.2095934268,0.0,238260.87678914474,1732667.3506147473,2146776.683419029,2385037.560208174,20.913088895856525,0,1.6151943015865982
9000047,89,8.089887640449438,2,0.02247191011235955,2,2,0.02247191011235955,11,5405.249792784128,7187.848895274248,351902.74712804693,0.351902747128047,128277.74695956499,107442.91433135512,6020.878250883049,0.8375803042847539,490280.34000000695,909574.6514995435,44051.59487585562,3550.4816159876705,3321.544115987674,1450778.6121073812,481670.26007064397,0.0,279129.82829725766,1729908.4404046389,1932448.872178025,2211578.700475283,20.583755701699882,0,2.750681472942233
