seed,decisions,mean_decision_interval_h,episode_reward,captured_t,stored_t,vented_t,storage_rate,episode_vessel_fuel_eur,episode_conditioning_eur,episode_reconditioning_eur,episode_loading_eur,episode_unloading_eur,episode_operating_cost_eur,episode_vent_penalty_eur,episode_storage_shortfall_penalty_eur,terminal_cleanup_operating_cost_eur,operating_cost_eur,episode_total_cost_eur,total_cost_eur,unit_total_cost_eur_per_t,hard_violations,wall_clock_seconds
9000031,208,3.4615384615384617,-2.2060381291189386,134043.80710806392,113653.68072168586,2393.811400071094,0.8478846070826691,684981.0000000075,1023683.0488592385,46598.00909589118,3995.8983460905747,3434.062500000005,1762692.018801228,191504.91200568754,0.0,251841.19831202264,2014533.2171132506,1954196.9308069155,2206038.129118938,19.41017761247051,0,1.9005266036838293
9000032,181,3.977900552486188,-1.8385748798610395,118765.80374023803,99529.19377536101,0.0,0.8380290507952027,699926.0400000078,879750.0000000005,40806.969447898024,3434.0625000000045,3147.1275000000046,1627064.1994479063,0.0,0.0,211510.6804131337,1838574.87986104,1627064.1994479063,1838574.87986104,18.47271951193268,0,0.8026458397507668
9000033,162,4.444444444444445,-1.9335334090440137,127077.96740974124,112635.01450550064,0.0,0.8863457356248723,693283.8000000087,1002584.7743065645,46180.35594725525,3913.5422296301685,3434.0625000000036,1749396.5349834585,0.0,0.0,184136.87406055565,1933533.409044014,1749396.5349834585,1933533.409044014,17.16636178840806,0,1.3686279701068997
9000034,161,4.472049689440993,-1.8812727403627145,123422.09958543938,106215.58660934669,0.0,0.8605880710676015,681659.8800000086,967665.6773015099,43548.39050983214,3777.2371866532794,3302.8050000000044,1699953.989998004,0.0,0.0,181318.75036471026,1881272.7403627143,1699953.989998004,1881272.7403627143,17.7118330785283,0,1.220788572449237
9000035,199,3.6180904522613067,-1.9328896811738345,116933.45658342756,102156.34565900681,1031.7357674337866,0.8736280329327488,691208.1000000063,880323.1033975347,41884.101720192775,3436.2995819961357,3025.0275000000042,1619876.6321997298,82538.86139470292,0.0,230474.1875794017,1850350.8197791316,1702415.4935944327,1932889.6811738345,18.920896873364395,0,1.3599961106665432
9000036,148,4.864864864864865,-1.8998020043099346,124518.99931170137,113040.42685728424,0.0,0.9078166985129437,701171.4600000066,958436.0537389576,46346.575011486544,3741.2097877725982,3434.0625000000045,1713129.3610382234,0.0,0.0,186672.64327171163,1899802.004309935,1713129.3610382234,1899802.004309935,16.80639446548156,0,1.6028530430048704
9000037,155,4.645161290322581,-3.519531819462394,121647.55872136065,80574.04677383623,23880.17788558827,0.6623564633828354,557117.8800000022,645150.0000000007,33035.35917727283,2518.3125000000036,2518.3125000000055,1240339.8641772757,1910414.2308470614,0.0,368777.7244380574,1609117.5886153332,3150754.095024337,3519531.8194623943,43.680713087942436,0,0.47808957705274224
9000038,176,4.090909090909091,-2.7721527521914293,128369.72617542402,101793.53238192074,11208.400014657118,0.7929714849030253,687056.7000000068,895745.2219419931,41735.34827658752,3496.499092043396,3122.7075000000045,1631156.4768106306,896672.0011725696,0.0,244324.2742082293,1875480.75101886,2527828.4779832,2772152.7521914295,27.233093177182873,0,1.4202611120417714
9000039,153,4.705882352941177,-2.014090842649774,125712.08383662622,109075.95303428562,1879.2406376007893,0.8676648235028805,654260.640000007,938400.0000000002,44721.14074405715,3663.000000000005,3434.062500000004,1644478.8432440644,150339.25100806315,0.0,219272.74839764595,1863751.5916417104,1794818.0942521275,2014090.8426497735,18.465030894726066,0,1.5929754050448537
9000040,193,3.7305699481865284,-2.3745401751732773,128417.59580770151,99682.22470033483,5759.775581860223,0.7762349394050613,687471.8400000083,911029.9999999999,40869.71212713732,3556.162500000003,2976.187500000004,1645903.9021271456,460782.04654881795,0.0,267854.2264973146,1913758.1286244602,2106685.9486759636,2374540.175173278,23.821099321485168,0,1.2603479488752782
9000041,142,5.070422535211268,-2.2274393866305147,125444.62651394652,105253.4270692301,4602.160641354115,0.8390429306872572,664224.0000000058,931397.4039889793,43153.905098384275,3635.6656977958596,3434.0625000000045,1645845.0372851652,368172.8513083289,0.0,213421.49803702117,1859266.5353221863,2014017.888593494,2227439.386630515,21.162630506704772,0,1.4513323539867997
9000042,209,3.444976076555024,-2.174895272548774,122590.33961068436,102928.98719036025,4171.179544540938,0.8396174406338742,672111.6600000057,891160.191298133,42200.884748047625,3478.6016418638746,3205.1250000000045,1612156.4626880502,333694.36356327496,0.0,229044.44629744938,1841200.9089854995,1945850.8262513252,2174895.2725487747,21.130056089315755,0,1.197204845957458
9000043,189,3.8095238095238093,-2.1211713745672,122999.51700733569,108108.87624527465,3107.9358298633424,0.8789374045983208,706568.2800000076,947437.7001352789,44324.63926056262,3698.2782348630985,3205.1250000000045,1705234.0226307123,248634.86638906732,0.0,167302.48554741958,1872536.508178132,1953868.8890197796,2121171.374567199,19.620695804429044,0,0.9586319257505238
9000044,192,3.75,-2.2573381619892454,129859.10158151455,108231.28342453578,4562.550556949024,0.8334516572686848,683320.4400000086,938399.9999999999,44374.82620405977,3663.0000000000036,3205.125000000005,1672963.3912040682,365004.044555922,0.0,219370.72622925448,1892334.1174333226,2037967.4357599902,2257338.1619892446,20.856614562490822,0,0.7803196487948298
9000045,199,3.6180904522613067,-1.9237306263115879,125440.6630420947,108916.15629962356,0.0,0.86826834025163,679999.3200000081,950912.0000000002,44655.62408284572,3711.8400000000047,3531.742500000005,1682810.5265828539,0.0,0.0,240920.0997287341,1923730.6263115879,1682810.5265828539,1923730.6263115879,17.66249096249311,0,1.3824403821490705
9000046,183,3.9344262295081966,-1.9812788159431567,132406.07380064274,124033.73545424963,0.0,0.9367677168722719,674602.5000000072,1053943.7864288976,50853.83153624232,4114.019703419709,3663.0000000000055,1787177.1376685668,0.0,0.0,194101.67827459137,1981278.8159431582,1787177.1376685668,1981278.8159431582,15.973709158134332,0,1.0179817504249513
