seed,decisions,simulated_hours,episode_vessel_fuel_eur,episode_conditioning_eur,episode_reconditioning_eur,episode_loading_eur,episode_unloading_eur,episode_operating_cost_eur,episode_vent_penalty_eur,episode_storage_shortfall_penalty_eur,episode_total_cost_eur,terminal_cleanup_operating_cost_eur,total_cost_eur,operating_cost_eur,vented_t,stored_t,captured_t,storage_rate,loss_rate,cost_per_stored_t_eur,unit_total_cost_eur_per_t
9000031,720,720.0,758045.6400000082,520945.80183091084,21800.06567197315,2033.4872891161851,1609.1897891161846,1304434.1845811247,4372383.642033841,0.0,5676817.826614967,380170.4600755187,6056988.286690486,1684604.6446566433,54654.79552542309,53170.89188286137,134043.80710806395,0.39666802241744636,0.40773831111318165,113.91549158201805,113.91549158201805
9000032,720,720.0,813674.4000000089,411302.5401548072,17053.302520781006,1605.5000048881707,1230.0425048881698,1244865.7851853736,3577950.7868033536,0.0,4822816.571988727,369441.4038010408,5192257.975789768,1614307.1889864143,44724.38483504191,41593.42078239283,118765.80374023803,0.35021377764061656,0.37657628228460527,124.83363662138929,124.83363662138929
9000033,720,720.0,791256.8400000096,547162.6943350633,22592.914090142178,2135.823688564939,1677.948688564938,1364826.220802345,3438074.2979090856,0.0,4802900.518711431,301231.574396305,5104132.093107736,1666057.79519865,42975.92872386363,55104.66851254193,127077.96740974122,0.43362881572433665,0.33818552184813505,92.62612825528612,92.62612825528612
9000034,720,720.0,771330.1200000091,549619.0398630741,22293.35398015178,2145.4119171125767,1657.5075000000013,1347045.4332603475,3320219.3049049373,0.0,4667264.7381652845,321725.38375085115,4988990.121916136,1668770.8170111985,41502.74131131169,54374.0340979313,123422.09958543938,0.44055346879179186,0.33626669332894693,91.7531723493355,91.7531723493355
9000035,720,720.0,809938.1400000086,412114.0,17911.083455352597,1608.667500000001,1208.79,1242780.680955361,3820673.2541721216,0.0,5063453.935127483,395345.9793580705,5458799.914485553,1638126.6603134316,47758.41567715158,43685.56940329905,116933.45658342756,0.3735934152611923,0.40842387690025883,124.95659296759253,124.95659296759253
9000036,720,720.0,779632.9200000082,479026.4929146783,19950.487345968035,1869.8572501560825,1347.8797501560814,1281827.6372609667,4032030.751267786,0.0,5313858.388528753,357855.46004563075,5671713.848574384,1639683.0973065975,50400.38439084733,48659.72523406843,124518.99931170137,0.39078153135700433,0.4047605961294541,116.55869040138789,116.55869040138789
9000037,720,720.0,784614.6000000102,483276.0,19265.91168868837,1886.445000000002,1584.247500000001,1290627.204188699,3985998.4264061847,0.0,5276625.630594883,351634.4501206189,5628260.080715502,1642261.654309318,49824.98033007731,46990.02850899623,121647.55872136065,0.3862800783090852,0.40958471221114867,119.77562600622753,119.77562600622753
9000038,720,720.0,809523.0000000107,365705.750124661,14092.78057162914,1427.5150923983733,969.6400923983723,1191718.6858810973,4750108.081177284,0.0,5941826.767058382,425131.6350000001,6366958.402058382,1616850.3208810976,59376.35101471606,34372.635540558935,128369.72617542402,0.2677627861695904,0.4625416972033978,185.23334920144586,185.23334920144586
9000039,720,720.0,799559.6400000085,495788.0,18176.06370076852,1935.285000000002,1452.9900000000005,1316911.978700777,4079482.8890265957,0.0,5396394.867727373,345124.83344331145,5741519.701170684,1662036.8121440886,50993.53611283254,44331.86268480135,125712.08383662622,0.35264599338289915,0.40563750561245226,129.51225943274193,129.51225943274193
9000040,720,720.0,796238.5200000097,472328.0,20940.695791484606,1843.7100000000016,1541.5125000000007,1292892.4382914943,3487341.2103941203,0.0,4780233.648685615,437967.8733916342,5218201.522077248,1730860.3116831286,43591.76512992655,51074.86778410884,128417.59580770151,0.39772484029829314,0.3394532100974923,102.16769515947355,102.16769515947355
9000041,720,720.0,790011.4200000083,397256.0,13685.188631158424,1550.6700000000008,995.1149999999999,1203498.3936311665,4371971.792203056,0.0,5575470.1858342225,427634.9265826637,6003105.112416886,1631133.3202138303,54649.64740253819,33378.50885648397,125444.62651394652,0.2660816153234994,0.4356475755178116,179.84940963744543,179.84940963744543
9000042,720,720.0,812428.9800000091,416024.0,16263.555520417358,1623.930000000001,1272.8925,1247613.3580204265,3717734.239222245,0.0,4965347.597242671,392737.5433256065,5358085.140568278,1640350.901346033,46471.677990278025,39667.20858638387,122590.33961068436,0.3235753217778563,0.3790810771701932,135.07593126700345,135.07593126700345
9000043,720,720.0,778387.5000000083,514015.01901934796,21090.275807612805,2006.4333063383135,1475.2983063383135,1316974.5264396456,3373166.693001912,0.0,4690141.219441557,363340.74172398937,5053481.961165546,1680315.268163635,42164.583662523866,51439.69709173874,122999.51700733569,0.4182105616615623,0.3428028392990289,98.24089656191114,98.24089656191114
9000044,720,720.0,801635.3400000089,403512.0,13378.826204059738,1575.090000000001,897.4349999999995,1220998.6912040687,4859338.442750928,0.0,6080337.133954996,419763.27608273656,6500100.410037733,1640761.9672868052,60741.73053438672,32631.283424536054,129859.10158151455,0.25128222070790235,0.46775104551495916,199.19842947857177,199.19842947857177
9000045,720,720.0,791256.8400000093,497352.0,21852.334765236057,1941.390000000002,1843.7100000000016,1314246.2747652452,3524908.5465227826,0.0,4839154.821288028,367466.0189736423,5206620.84026167,1681712.2937388874,44061.35683153476,53298.377476185604,125440.6630420947,0.42488915622440565,0.35125258240024515,97.688167760605,97.688167760605
9000046,720,720.0,780463.20000001,519377.0906325736,25538.971059529096,2027.363899176384,1920.5263991763843,1329327.1519904656,3936493.279982671,0.0,5265820.431973137,380146.8013412246,5645967.233314361,1709473.9533316903,49206.16599978339,62290.17331592486,132406.07380064274,0.4704480053514168,0.371630731033311,90.63977402469251,90.63977402469251
9000047,720,720.0,787520.5800000096,482494.0,20868.492060004475,1883.3925000000013,1492.6725000000006,1294259.1370600143,4395721.687114059,0.0,5689980.8241740735,294448.5322915843,5984429.356465658,1588707.6693515987,54946.52108892577,50898.76112196217,128277.74695956499,0.3967855869654945,0.4283402413221813,117.57514769614801,117.57514769614801
9000048,720,720.0,817410.66000001,409768.0,18370.985136586165,1599.5100000000007,1248.4724999999999,1248397.627636596,4896884.323454838,0.0,6145281.951091435,381555.7496022513,6526837.7006936865,1629953.3772388473,61211.05404318554,44807.280820941916,131010.22127700872,0.34201362599183127,0.46722349940742836,145.6646683554872,145.6646683554872
9000049,720,720.0,804126.1800000097,449650.0,19182.42198016875,1755.187500000001,1297.3125,1276011.1019801784,3289471.7875219514,0.0,4565482.8895021295,410818.3790083037,4976301.268510433,1686829.480988482,41118.39734402443,46786.39507358237,124881.7699196395,0.3746455155439346,0.32925860492275066,106.36214353946387,106.36214353946387
9000050,720,720.0,771745.2600000093,558156.6884796909,22041.573187463488,2178.7382245323,1625.1141927907533,1355747.3740844869,3687758.796247522,0.0,5043506.170332009,383737.229532566,5427243.399864575,1739484.6036170528,46096.98495309402,53759.934603569454,132171.66508378548,0.40674326505223546,0.34876601519601413,100.95331104633127,100.95331104633127
9000051,720,720.0,780048.0600000094,581416.488761748,24242.472889086654,2269.531754405674,1689.5567544056735,1389666.1101596553,3130514.175289072,0.0,4520180.285448727,421383.87664966687,4941564.162098394,1811049.9868093221,39131.427191113406,59127.98265630891,128981.17360926495,0.4584233574694473,0.3033886736808427,83.5740361855747,83.5740361855747
9000052,720,720.0,791256.8400000097,483276.0,20425.076161927314,1886.4450000000018,1501.8300000000006,1298346.191161937,4057207.0461939634,0.0,5355553.237355901,373324.503987764,5728877.741343665,1671670.695149701,50715.08807742459,49817.2589315302,130292.35070980628,0.3823498360428366,0.38924071751825096,114.99785143172058,114.99785143172058
9000053,720,720.0,814089.5400000097,431630.0498893058,18449.18054811388,1684.847477349241,1284.9699773492403,1267138.5878921277,3403001.1350875027,0.0,4670139.72297963,416210.92497817834,5086350.647957808,1683349.5128703061,42537.51418859379,44998.001336863126,119353.23535741051,0.37701534610363835,0.3564001768465901,113.03503482033508,113.03503482033508
9000054,720,720.0,820316.6400000096,313582.0,13013.567872028218,1224.0525,946.2749999999993,1149082.5353720377,5989268.659047888,0.0,7138351.194419925,409058.3981325278,7547409.592552453,1558140.9335045654,74865.85823809862,31740.40944397126,132093.20107071442,0.24028798747165978,0.5667654173814755,237.7855145780421,237.7855145780421
9000055,720,720.0,789596.280000009,566716.0060608146,24734.055038229286,2212.1491157297164,1763.4316157297155,1385021.9218305124,3144281.5986624183,0.0,4529303.520492931,374587.3027059375,4903890.823198868,1759609.2245364499,39303.51998328026,60326.963507876324,124998.78160566899,0.482620412238805,0.3144312246760152,81.28854061349554,81.28854061349554
