algorithm,algorithm_display_name,method_class,model_seed,episodes,mean_episode_vessel_fuel_eur,mean_episode_conditioning_eur,mean_episode_reconditioning_eur,mean_episode_loading_eur,mean_episode_unloading_eur,mean_episode_operating_cost_eur,mean_episode_vent_penalty_eur,mean_episode_storage_shortfall_penalty_eur,mean_episode_total_cost_eur,mean_terminal_cleanup_operating_cost_eur,mean_operating_cost_eur,mean_total_cost_eur,mean_captured_t,mean_stored_t,mean_vented_t,mean_storage_rate,mean_loss_rate,mean_unit_total_cost_eur_per_t,mean_delta_total_cost_vs_greedy_eur,sd_total_cost_eur,sd_delta_total_cost_vs_greedy_eur,wins_vs_greedy,ties_vs_greedy,losses_vs_greedy
fixed_assignment,Fixed-Assignment Heuristic,heuristic,,30,472415.48200000625,834409.5516765107,39187.273264116426,3257.078205233438,2901.565396449609,1352170.9505423168,969639.6363492765,0,2321810.586891593,265131.2570975244,1617302.207639841,2586941.843989118,126282.56570334815,95578.71527833275,12120.495454365953,0.7572657683380343,0.09526068855981773,27.227657813858496,332730.2803525508,373637.2819033109,453095.0370885704,6,0,24
greedy,Greedy,heuristic,,30,503371.08800000505,898962.8045508274,42223.51198182081,3509.0587735184167,3129.117901803431,1451195.5812079757,583741.8577852814,0,2034937.4389932568,219274.12464330977,1670469.7058512853,2254211.563636566,126282.56570334815,102984.17556541669,7296.773222316017,0.8157191077817245,0.05767828848964209,22.39684835883335,0,419091.88010986336,0,0,30,0
ppo_hourly,Hourly Centralized Maskable PPO,reinforcement_learning,0,30,819112.7340000098,416508.6929546073,15324.971943758952,1625.8219760152683,1092.5790047185578,1253664.79987911,4272749.162941007,0,5526413.962820116,422472.94975669484,1676137.7496358051,5948886.91257681,126282.56570334815,37377.98035063165,53409.364536762594,0.2965043953616081,0.422100623771586,165.507518079864,3694675.3489402463,623243.8810185158,636391.7414145302,0,0,30
ppo_hourly,Hourly Centralized Maskable PPO,reinforcement_learning,1,30,789706.9840000093,491862.71312971105,19501.17531292146,1919.96282842512,1402.764526689791,1304393.5997977569,3778354.17149948,0,5082747.771297237,383668.5617595836,1688062.1615573403,5466416.33305682,126282.56570334815,47563.842226637775,47229.4271437435,0.37695166216542936,0.3734128451512531,119.46364673153516,3212204.769420254,568555.7278723349,696287.8400793719,0,0,30
ppo_hourly,Hourly Centralized Maskable PPO,reinforcement_learning,2,30,794647.1500000092,470711.97888734523,19395.86491022739,1837.4019380481104,1411.7608230863054,1288004.156558716,3890518.2929220293,0,5178522.449480745,385070.8917602971,1673075.048319014,5563593.341241041,126282.56570334815,47306.98758592051,48631.478661525376,0.374696097005153,0.38459289244999556,123.18371678971633,3309381.7776044765,612263.7258907934,612500.7699350788,0,0,30
ppo_high_level,High-level Centralized Maskable PPO,reinforcement_learning,0,30,667849.5560000075,937177.38035729,44166.1445295269,3658.227562072416,3323.651147335956,1656174.9595962325,307350.87932503707,0,1963525.8389212699,220730.01303055583,1876904.972626789,2184255.851951826,126282.56570334815,107722.3037305534,3841.885991562963,0.8535086541481043,0.03004454524051133,20.456291039871992,-69955.7116847408,317706.31412280706,473018.930273751,17,0,13
ppo_high_level,High-level Centralized Maskable PPO,reinforcement_learning,1,30,678657.0340000078,940262.7658015479,44480.16859075298,3670.2712181703673,3326.2857401704255,1670396.5253506491,276013.2940343723,0,1946409.8193850215,216232.39985707024,1886628.9252077194,2162642.2192420918,126282.56570334815,108488.21607500728,3450.166175429655,0.8597322741285557,0.026718462641020697,20.152263672529827,-91569.34439447446,384661.43874729937,471200.5360112314,15,0,15
ppo_high_level,High-level Centralized Maskable PPO,reinforcement_learning,2,30,675584.9980000072,926474.0196510057,43463.35654906448,3616.4474999804324,3243.6882500000042,1652382.5099500578,329469.3780018094,0,1981851.8879518672,232982.26894585384,1885364.778895912,2214834.1568977213,126282.56570334815,106008.18670503533,4118.367225022617,0.8392710734210393,0.03260346142221594,21.231274193331164,-39377.406738845144,374601.61864568794,535375.8285798131,16,0,14
ppo_event_residual,Event-Residual PPO,reinforcement_learning,0,30,576117.4540000056,888506.7019572004,42231.37111564016,3468.243871770276,3143.4746233539013,1513467.2455679704,436660.30503437703,0,1950127.5506023478,262690.88463438506,1776158.1302023553,2212818.435236733,126282.56570334815,103003.3441844882,5458.253812929713,0.816298635979051,0.04265964746129759,21.69014816017489,-41393.12839983388,370995.61788130045,407933.8275761376,18,0,12
ppo_event_residual,Event-Residual PPO,reinforcement_learning,1,30,566721.4520000055,869009.2531981784,41584.384851654955,3392.136503052993,3090.978916244834,1483798.2054691368,577670.9141215667,0,2061469.1195907036,268972.55760057026,1752770.7630697072,2330441.6771912742,126282.56570334815,101425.32890647548,7220.886426519583,0.8035807944182505,0.05666789510403755,23.12247854263237,76230.11355470745,364895.8413885565,373893.37558785715,12,0,18
ppo_event_residual,Event-Residual PPO,reinforcement_learning,2,30,552703.5580000058,891100.5155290022,42246.969212153905,3478.36870032261,3149.787526299992,1492679.1989677842,416841.9867709464,0,1909521.1857387305,266768.53657874616,1759447.73554653,2176289.7223174763,126282.56570334815,103041.38832232656,5210.524834636829,0.8163049233379314,0.04073641408675586,21.229783934707054,-77921.84131908957,331265.15092614293,381636.187552086,17,0,13
iterative_action_q_g60_p4,Iterative Action-Q G60-P4,reinforcement_learning,0,30,567939.1960000054,960225.6727549187,45284.41895093987,3748.1954809263325,3346.239824848794,1580543.7230116392,69174.38265956474,0,1649718.105671204,220318.61314800786,1800862.336159647,1870036.7188192115,,110449.80231936554,864.6797832445591,,,16.979758805266034,-384174.844817355,137437.23689077236,345967.25688538153,27,0,3
iterative_action_q_g60_p4,Iterative Action-Q G60-P4,reinforcement_learning,1,30,566500.0440000053,957114.0460174915,45108.07972439886,3736.049393182091,3366.1923266676445,1575824.4114617456,74825.04755213739,0,1650649.4590138826,217989.95438279313,1793814.3658445391,1868639.4133966758,,110019.70664487529,935.3130944017174,,,17.028414047998655,-385572.1502398905,163074.80167025232,346650.60250245803,28,0,2
iterative_action_q_g60_p4,Iterative Action-Q G60-P4,reinforcement_learning,2,30,565711.278000005,956762.5112218147,45210.087355181626,3734.6771937398853,3366.0388357591,1574784.5926065003,123126.87059084706,0,1697911.463197347,208488.6628651089,1783273.255471609,1906400.126062456,,110268.50574434543,1539.0858823855888,,,17.40597344237161,-347811.43757411034,257280.4316349865,349435.449173964,28,0,2
rolling_milp,Rolling MILP H168-R24-T600s CPLEX 22.2,optimization,,30,518163.91000000533,924957.261163675,43422.94168238793,3610.526904989924,3238.227978366784,1493392.867729425,373054.8287002789,0.0,1866447.6964297039,223280.764778077,1716673.632507502,2089728.4612077808,126282.56570334815,105909.61385948276,4663.185358753486,0.8384806760699327,0.03696745949024473,19.989454902370174,-164483.10242878558,289555.43478900957,405527.4493545137,16,5,9
