gate,seed,event_count,override_events,proposed_override_events,mean_head_agreement,early_departures,emitter_to_emitter_legs,episode_total_cost_eur,greedy_episode_total_cost_eur,delta_episode_total_cost_eur,terminal_cleanup_operating_cost_eur,greedy_terminal_cleanup_operating_cost_eur,delta_terminal_cleanup_operating_cost_eur,total_cost_eur,greedy_total_cost_eur,delta_total_cost_eur,operating_cost_eur,greedy_operating_cost_eur,delta_operating_cost_eur,vent_penalty_eur,greedy_vent_penalty_eur,delta_vent_penalty_eur,vented_t,greedy_vented_t,delta_vented_t,stored_t,greedy_stored_t,delta_stored_t,unit_cost_eur_per_t,greedy_unit_cost_eur_per_t,delta_unit_cost_eur_per_t
g60_p4_test_9000031_9000060,9000031,450,11,393,4.8133333333333335,0,4,1702003.0421142578,2054666.3230846303,-352663.2809703725,230252.94499386405,238351.0279126895,-8098.082918825443,1932255.9871081219,2293017.35099732,-360761.36388919805,1932255.9871081219,1793748.4325211272,138507.5545869947,0.0,499268.9184761926,-499268.9184761926,0.0,6240.861480952415,-6240.861480952415,121153.68072168595,114469.71188364139,6683.968838044559,15.948801353769,20.03165128368782,-4.082849929918822
g60_p4_test_9000031_9000060,9000032,389,10,331,4.730077120822622,0,0,1481442.1130870755,1591974.444787606,-110532.33170053037,206852.0867739615,174236.81051761188,32615.276256349607,1688294.199861037,1766211.2553052178,-77917.05544418073,1688294.199861037,1618614.1752287955,69680.02463224158,0.0,147597.08007642228,-147597.08007642228,0.0,1844.963500955279,-1844.963500955279,105129.09289529342,100608.4832397591,4520.609655534325,16.05924823818794,17.555291546302083,-1.4960433081141424
g60_p4_test_9000031_9000060,9000033,447,12,358,4.83668903803132,0,3,1605949.0685840119,1899722.15858115,-293773.08999713813,199306.08046388527,207876.53585432417,-8570.455390438903,1805255.1490478972,2107598.694435474,-302343.5453875768,1805255.1490478972,1724447.1850196442,80807.96402825299,0.0,383151.50941582996,-383151.50941582996,0.0,4789.393867697877,-4789.393867697877,112331.27007849004,105135.0145055005,7196.255572989539,16.07081579142209,20.04659155989566,-3.9757757684735715
g60_p4_test_9000031_9000060,9000034,475,10,424,4.856842105263158,1,1,1642383.0910619174,1736727.0104904133,-94343.91942849592,157662.1334561369,199225.9755994933,-41563.84214335642,1800045.2245180542,1935952.9860899067,-135907.7615718525,1702629.9655785863,1673948.3066427277,28681.658935858635,97415.25893946779,262004.67944717887,-164589.42050771107,1217.6907367433473,3275.0584930897367,-2057.3677563463893,104340.75885271835,104726.69614121088,-385.9372884925251,17.25160181227835,18.485763968716398,-1.2341621564380496
g60_p4_test_9000031_9000060,9000035,451,12,405,4.866962305986696,3,1,1537772.4455465027,1703069.945701194,-165297.50015469128,235613.70706700493,181939.4867516455,53674.22031535942,1773386.1526135076,1885009.4324528396,-111623.27983933198,1773386.1526135076,1602086.6900732708,171299.46254023677,0.0,282922.74237956875,-282922.74237956875,0.0,3536.5342797446087,-3536.5342797446087,102852.99049612954,109085.56940329901,-6232.578907169474,17.241950322098237,17.280098942178068,-0.038148620079830664
g60_p4_test_9000031_9000060,9000036,338,12,310,4.884615384615385,0,0,1924970.501169173,3320325.946865122,-1395355.4456959488,265515.9833287685,213435.5826975821,52080.40063118641,2190486.4844979416,3533761.529562704,-1343275.0450647622,1824510.320918347,1477923.372397434,346586.948520913,365976.1635795947,2055838.1571652698,-1689861.993585675,4574.702044744931,25697.976964565867,-21123.274919820935,102003.14046237031,81137.24365784733,20865.896804522985,21.47469651001606,43.552891006064264,-22.078194496048205
g60_p4_test_9000031_9000060,9000037,456,11,397,4.782894736842105,1,1,1566349.819440944,1876685.2928071746,-310335.4733662307,251968.29803247386,123800.62038750286,128167.677644971,1818318.1174734177,2000485.9131946776,-182167.7957212599,1818318.1174734177,1658777.207969235,159540.90950418264,0.0,341708.7052254426,-341708.7052254426,0.0,4271.358815318033,-4271.358815318033,106615.22779220963,113556.80536003655,-6941.577567826927,17.054956924326735,17.6166096505802,-0.5616527262534667
g60_p4_test_9000031_9000060,9000038,390,12,331,4.8307692307692305,0,2,1753924.4165438714,1713921.4370442457,40002.97949962574,171301.40542599597,206374.53368219113,-35073.12825619517,1925225.8219698675,1920295.9707264367,4929.851243430749,1850208.23377822,1727583.29565259,122624.93812562991,75017.58819164748,192712.67507384662,-117695.08688219915,937.7198523955935,2408.9084384230837,-1471.1885860274901,113754.99106990197,115107.19434814701,-1352.2032782450406,16.924319573695225,16.68267549740126,0.24164407629396578
g60_p4_test_9000031_9000060,9000039,404,12,365,4.858910891089109,0,2,1617544.0309657394,2107600.454316138,-490056.4233503984,232728.6387641137,329963.2737352864,-97234.63497117267,1850272.669729853,2437563.728051424,-587291.058321571,1850272.669729853,1686036.6973864988,164235.97234335425,0.0,751527.0306649255,-751527.0306649255,0.0,9394.08788331157,-9394.08788331157,112978.80414570885,89834.86331241042,23143.94083329843,16.377166351872116,27.13382798362517,-10.756661631753055
g60_p4_test_9000031_9000060,9000040,465,11,405,4.72258064516129,0,5,1599388.9291259302,2427962.5058205314,-828573.5766946012,201929.61311722474,189236.97336836957,12692.639748855174,1801318.542243155,2617199.479188901,-815880.936945746,1755412.165111756,1523990.2178885653,231421.94722319068,45906.37713139894,1093209.2613003359,-1047302.8841689369,573.8297141424868,13665.115766254208,-13091.286052111722,111768.36038185432,97763.03502118237,14005.325360671952,16.11653366023253,26.770849315611272,-10.654315655378742
