seed,decisions,mean_decision_interval_h,selected_interventions,selected_intervention_rate,feasible_intervention_decisions,changed_decisions,effective_intervention_rate,changed_native_steps,local_avoided_vent_t,local_incremental_stored_t,local_total_cost_saving_eur,episode_reward,captured_t,stored_t,vented_t,storage_rate,episode_operating_cost_eur,terminal_cleanup_operating_cost_eur,operating_cost_eur,episode_total_cost_eur,total_cost_eur,unit_total_cost_eur_per_t,hard_violations,wall_clock_seconds
9000031,125,5.76,11,0.088,11,11,0.088,38,9198.948823082315,7470.43872407022,525556.7412087088,0.5255567412087088,134043.80710806392,107548.9933873325,8963.444521204277,0.8023421276048082,1591914.8350660724,253570.58534413247,1845485.420410205,2308990.396762415,2562560.9821065473,23.826917401984485,0,3.0140626369975507
9000032,102,7.0588235294117645,10,0.09803921568627451,10,10,0.09803921568627451,29,5978.077485021682,7550.693149363797,306215.3594583673,0.3062153594583672,118765.80374023803,95250.98854906714,2570.5238223668675,0.8020068533986267,1481782.4999172564,253282.31840773404,1735064.8183249906,1687424.4057066059,1940706.7241143398,20.37466228620413,0,1.0831107930280268
9000033,114,6.315789473684211,7,0.06140350877192982,7,7,0.06140350877192982,21,11443.654480502844,10010.395179064682,700636.986951725,0.7006369869517248,127077.96740974124,99000.52865585132,3919.2986262769377,0.7790534478462423,1484642.0004808542,310120.46768804686,1794762.468168901,1798185.8905830095,2108306.3582710563,21.295910101652243,0,2.1768043180927634
9000034,117,6.153846153846154,10,0.08547008547008547,10,10,0.08547008547008547,24,3096.663453692979,9981.768027562182,134463.94477088604,0.1344639447708861,123422.09958543938,100576.4014753796,4191.682652587189,0.8148978328290002,1471058.8778183453,263372.61208509776,1734431.489903443,1806393.4900253206,2069766.1021104183,20.579043112981953,0,2.1479540918953717
9000035,95,7.578947368421052,9,0.09473684210526316,9,9,0.09473684210526316,24,2342.9201028304915,3757.4685889249668,98264.82050804817,0.09826482050804813,116933.45658342756,106348.17824385338,0.0,0.9094760503207909,1511886.2835219493,224967.5490891797,1736853.832611129,1511886.2835219493,1736853.832611129,16.331768548292118,0,2.3754207058809698
9000036,112,6.428571428571429,9,0.08035714285714286,9,9,0.08035714285714286,28,8659.61118709631,9461.39170606248,491447.9456406429,0.49144794564064304,124518.99931170137,95949.74001544576,7222.393791457813,0.7705630509867831,1530962.4942318546,256235.50203454413,1787197.9962663986,2108753.997548479,2364989.499583023,24.648211649164583,0,2.6432103808037937
9000037,115,6.260869565217392,9,0.0782608695652174,9,9,0.0782608695652174,38,11525.51326698954,6338.572100955251,708582.6945850549,0.7085826945850546,121647.55872136065,106511.31294974004,0.0,0.8755729590407081,1551371.7462289475,269022.07124736445,1820393.817476312,1551371.7462289475,1820393.817476312,17.091084196242225,0,1.0455642021261156
9000038,118,6.101694915254237,13,0.11016949152542373,13,13,0.11016949152542373,48,11244.342560520381,12715.880809223338,682608.2784544893,0.6826082784544891,128369.72617542402,107657.58282572856,5320.614567427531,0.8386524302358391,1631599.8018105477,203441.77274299352,1835041.5745535411,2057248.96720475,2260690.7399477437,20.9988992935802,0,2.4889599457383156
9000039,104,6.923076923076923,6,0.057692307692307696,6,6,0.057692307692307696,24,7499.999999999993,8007.722103529348,460185.9449999988,0.4601859449999987,125712.08383662622,103178.77008898286,5006.816448080679,0.8207545920810019,1495230.101748494,287792.1224710533,1783022.2242195474,1895775.4175949483,2183567.5400660015,21.16295375669686,0,2.536870924755931
9000040,105,6.857142857142857,6,0.05714285714285714,6,6,0.05714285714285714,21,8836.860299584689,7373.390282595545,533218.0933806066,0.5332180933806066,128417.59580770151,101978.22160529933,4801.49586508765,0.7941140850978574,1432639.3097660483,304741.8039034907,1737381.113669539,1816758.9789730604,2121500.782876551,20.80346910821503,0,2.330365003552288
