seed,decisions,mean_decision_interval_h,episode_reward,captured_t,stored_t,vented_t,storage_rate,episode_vessel_fuel_eur,episode_conditioning_eur,episode_reconditioning_eur,episode_loading_eur,episode_unloading_eur,episode_operating_cost_eur,episode_vent_penalty_eur,episode_storage_shortfall_penalty_eur,terminal_cleanup_operating_cost_eur,operating_cost_eur,episode_total_cost_eur,total_cost_eur,unit_total_cost_eur_per_t,hard_violations,wall_clock_seconds
9000031,211,3.4123222748815167,-2.7436054199905,134043.80710806392,108220.10578331583,10179.789173875512,0.8073487922949738,665054.2800000097,950912.0,44370.243371159464,3711.8400000000024,3434.0625000000045,1667482.4258711692,814383.1339100415,0.0,261739.8602092912,1929222.2860804603,2481865.5597812105,2743605.419990502,25.352085919079563,0,1.858461800031364
9000032,215,3.3488372093023258,-1.8954837293655744,118765.80374023803,101363.9941415889,1355.1645854795847,0.8534779452449968,668375.4000000065,879750.0,41559.23759805146,3434.0625000000027,3195.9675000000043,1596314.667598058,108413.1668383668,0.0,190755.89492914916,1787070.5625272072,1704727.8344364248,1895483.729365574,18.69977347891297,0,0.8255774960853159
9000033,224,3.2142857142857144,-1.9418362090443044,127077.96740974124,112635.01450550061,0.0,0.8863457356248721,696189.7800000081,963424.0,46180.355947255215,3760.6800000000035,3434.0625000000045,1712988.8784472633,0.0,0.0,228847.33059704176,1941836.2090443051,1712988.8784472633,1941836.2090443051,17.240075988532627,0,1.4943796009756625
9000034,194,3.711340206185567,-1.846400980362928,123422.09958543938,109122.38932898371,0.0,0.884139790973523,648033.5400000069,971032.3103650659,44740.179624883385,3790.378679526044,3434.062500000005,1671030.4711694825,0.0,0.0,175370.5091934454,1846400.9803629278,1671030.4711694825,1846400.9803629278,16.920459602441184,0,1.3370293430052698
9000035,185,3.891891891891892,-1.8186364126138705,116933.45658342756,110893.41233149038,0.0,0.948346312266688,669205.6800000074,931480.3603135503,45466.29905591104,3635.989513883776,3434.0625000000055,1653222.3913833527,0.0,0.0,165414.02123051698,1818636.4126138696,1653222.3913833527,1818636.4126138696,16.39985977866272,0,1.5185060109943151
9000036,211,3.4123222748815167,-2.536008407811429,124518.99931170137,101244.2388585443,9109.422791761102,0.8130826574112222,680414.460000008,879750.0000000002,41510.13793200314,3434.062500000004,3205.1250000000045,1608313.7854320116,728753.8233408881,0.0,198940.7990385291,1807254.5844705408,2337067.6087729,2536008.407811429,25.04842187963575,0,1.600806208793074
9000037,214,3.364485981308411,-2.0546339671500227,121647.55872136065,107594.59471904169,1865.544951850029,0.8844780433735796,660902.8800000078,997050.0000000006,44113.78383480707,3891.9375000000036,3229.5450000000055,1709188.1463348153,149243.59614800234,0.0,196202.22466720582,1905390.3710020212,1858431.7424828177,2054633.9671500237,19.096070509073652,0,0.8090768358670175
9000038,155,4.645161290322581,-2.709675195645756,128369.72617542402,100107.19434814698,11002.896286787281,0.7798349138125075,657581.7600000091,938399.9999999995,41043.94968274026,3663.0000000000023,2976.1875000000023,1643664.897182749,880231.7029429831,0.0,185778.59552002524,1829443.4927027742,2523896.600125732,2709675.195645757,27.067736872359106,0,1.4447046937420964
9000039,212,3.3962264150943398,-1.9283325918482077,125712.08383662622,111670.0679293083,127.55286635369825,0.88830018977677,678338.7600000069,997049.9999999998,45784.727851016454,3891.937500000004,3434.0625000000045,1728499.4878510232,10204.22930829586,0.0,189628.87468888867,1918128.3625399119,1738703.717159319,1928332.5918482076,17.268124105278783,0,1.7789313369430602
9000040,213,3.380281690140845,-2.419076767470339,128417.59580770151,108980.70446516748,7110.293645483758,0.8486430833696674,673772.2200000075,879749.9999999999,44682.088830718654,3434.0625000000023,3376.0650000000046,1605014.436330726,568823.4916387007,0.0,245238.8395009117,1850253.2758316377,2173837.927969427,2419076.7674703384,22.19729427647007,0,1.5248317806981504
