seed,decisions,mean_decision_interval_h,episode_reward,captured_t,stored_t,vented_t,storage_rate,episode_operating_cost_eur,terminal_cleanup_operating_cost_eur,operating_cost_eur,episode_total_cost_eur,total_cost_eur,unit_total_cost_eur_per_t,hard_violations,wall_clock_seconds
9000031,173,4.161849710982659,-3.0656094762266695,134043.80710806392,99219.35595694103,14843.896739802149,0.7402009693514002,1661200.743442353,216896.9936001467,1878097.7370424997,2848712.482626524,3065609.4762266707,30.897292636701618,0,1.4607370207086205
9000032,250,2.88,-1.836914319872318,118765.80374023803,100224.12866529285,0.0,0.8438803553630714,1582125.7324676416,254788.58740467587,1836914.3198723174,1582125.7324676416,1836914.3198723174,18.328064751820907,0,0.7769623552449048
9000033,194,3.711340206185567,-2.0561662530812264,127077.96740974124,112635.01450550061,2040.1334009002321,0.8863457356248721,1710666.000815804,182289.5801934045,1892955.5810092085,1873876.6728878224,2056166.253081227,18.255124857118144,0,1.2402375820092857
9000034,261,2.7586206896551726,-2.2706411007951255,123422.09958543938,102166.58036834125,5539.838756993525,0.8277819021999061,1572010.2489583828,255443.7512772612,1827454.000235644,2015197.3495178646,2270641.100795126,22.224890885148373,0,1.139580111950636
9000035,219,3.287671232876712,-1.824863512611527,116933.45658342756,108895.76410321072,0.0,0.9312626795182245,1661755.107708454,163108.40490307315,1824863.512611527,1661755.107708454,1824863.512611527,16.75789253732526,0,1.373133797198534
9000036,174,4.137931034482759,-1.9584818461314766,124518.99931170137,108249.20535117111,1101.9782303621541,0.8693388635432011,1677561.699193988,192761.88850851735,1870323.5877025053,1765719.9576229604,1958481.8461314777,18.09234386319945,0,1.492749910801649
9000037,210,3.4285714285714284,-1.9054975174746636,121647.55872136065,114809.20659118792,0.0,0.9437855374817978,1744042.706663506,161454.81081115638,1905497.5174746625,1744042.706663506,1905497.5174746625,16.597079398516787,0,0.7102735294029117
9000038,196,3.673469387755102,-1.9289718559610278,128369.72617542402,121218.15276726666,0.0,0.944289252448943,1736083.3239000351,192888.53206099302,1928971.855961028,1736083.3239000351,1928971.855961028,15.91322596430393,0,1.556910197250545
9000039,216,3.3333333333333335,-1.9137890897297691,125712.08383662622,113350.64508046194,0.0,0.9016686512632386,1740151.4724413361,173637.61728843307,1913789.0897297692,1740151.4724413361,1913789.0897297692,16.883795309424716,0,1.5637383442372084
9000040,227,3.171806167400881,-2.2729469385747616,128417.59580770151,107182.22470033498,5130.36744541261,0.8346381508405953,1630942.5652518435,231574.97768990984,1862517.5429417533,2041371.9608848523,2272946.938574762,21.206379555281412,0,1.4215282639488578
9000041,178,4.044943820224719,-2.0929390502311875,125444.62651394652,105778.50885648395,2801.7784519517795,0.8432286961667812,1654937.0136311662,213859.7604438789,1868796.774075045,1879079.2897873085,2092939.0502311874,19.786051749612042,0,1.454849026631564
9000042,228,3.1578947368421053,-2.0760231564382368,122590.33961068436,102452.8831632428,2775.0144060180846,0.8357337412442695,1606733.6295969365,247288.3743598534,1854022.0039567898,1828734.7820783833,2076023.1564382366,20.26319896854845,0,1.2428415077738464
9000043,187,3.8502673796791442,-1.921137259541887,122999.51700733569,106823.52997415984,0.0,0.8684873938796759,1676342.2522894137,244795.00725247333,1921137.259541887,1676342.2522894137,1921137.259541887,17.984214339355777,0,0.9617733061313629
9000044,252,2.857142857142857,-2.2449342986159215,129859.10158151455,108231.28342453604,4053.7997890890047,0.8334516572686868,1725157.0175852359,195473.29790356438,1920630.3154888002,2049461.0007123563,2244934.298615921,20.742009404158964,0,0.7382956547662616
9000045,191,3.769633507853403,-2.0122251074863784,125440.6630420947,110216.58619498927,1054.612306754216,0.8786352329627226,1699437.192009106,228418.9309369351,1927856.1229460412,1783806.1765494433,2012225.1074863784,18.257008105172645,0,1.2636035247705877
9000046,218,3.302752293577982,-2.008262915945615,132406.07380064274,117249.00802815215,0.0,0.8855259027217147,1799653.5707915495,208609.3451540672,2008262.9159456168,1799653.5707915495,2008262.9159456168,17.12818683688498,0,1.111400333698839
9000047,203,3.5467980295566504,-2.082479033305113,128277.74695956499,117322.71070420364,1650.129171866891,0.9145990905280357,1729685.3812621254,220783.3182936364,1950468.6995557619,1861695.7150114768,2082479.0333051132,17.750007827175942,0,1.5878428514115512
9000048,208,3.4615384615384617,-3.5411112352666336,131010.22127700872,91878.98628887202,21913.17134617321,0.7013115877012572,1551648.5418784446,236408.9856943342,1788057.5275727788,3304702.2495723004,3541111.2352666347,38.54103509733127,0,1.0786504801362753
9000049,245,2.938775510204082,-1.8670849892870536,124881.76991963951,109286.39507358232,0.0,0.8751188835961189,1639943.4683137005,227141.5209733533,1867084.9892870537,1639943.4683137005,1867084.9892870537,17.084331384798162,0,1.4042440769262612
9000050,189,3.8095238095238093,-2.1143710247736784,132171.66508378548,117106.31139975214,2080.65791034273,0.8860167670999438,1742581.2051739062,205337.18677235334,1947918.3919462594,1909033.8380013246,2114371.024773678,18.055141516293656,0,1.7555645611137152
9000051,208,3.4615384615384617,-2.001786561268845,128981.17360926494,117543.90586528451,566.9411563435615,0.9113260685731668,1739024.3589047748,217406.9098565853,1956431.26876136,1784379.6514122598,2001786.561268845,17.030117780525906,0,1.9275046535767615
9000052,216,3.3333333333333335,-2.314955152715472,130292.35070980627,114776.81852687357,5909.037666293739,0.8809175511961582,1685662.8842926347,156569.25511933814,1842232.1394119728,2158385.897596134,2314955.152715472,20.169187318721978,0,1.02847552113235
9000053,202,3.5643564356435644,-1.8180816698824842,119353.23535741051,105685.19796623576,0.0,0.885482472676631,1628375.8781029645,189705.7917795195,1818081.669882484,1628375.8781029645,1818081.669882484,17.202803276796846,0,1.7823915197513998
9000054,169,4.260355029585799,-2.5788157620259344,132093.2010707144,108208.59920637972,7569.01913326762,0.8191837152046276,1699496.808174624,273797.42318990163,1973294.2313645259,2305018.338836034,2578815.7620259356,23.83189303751651,0,1.784464051015675
