seed,decisions,simulated_hours,episode_total_cost_eur,terminal_cleanup_operating_cost_eur,total_cost_eur,operating_cost_eur,vented_t,stored_t,captured_t,storage_rate,loss_rate,cost_per_stored_t_eur,unit_total_cost_eur_per_t
9000031,720,720.0,6171123.143985412,367826.18250535347,6538949.326490765,1664541.588678359,60930.09672265518,46405.9252597245,134043.80710806392,0.34619969591219385,0.45455361226449154,140.9076381926144,140.9076381926144
9000032,720,720.0,4003591.5090230517,373938.9981590472,4377530.507182099,1713138.0626469867,33304.905556688864,45253.35240958531,118765.80374023803,0.3810301533306882,0.2804250424603081,96.73383902172239,96.73383902172239
9000033,720,720.0,4499370.274342652,417902.7043625191,4917272.9787051715,1756670.292809784,39507.53357369231,45635.01450550061,127077.96740974122,0.3591103590629388,0.3108920797128192,107.7521949316455,107.7521949316455
9000034,720,720.0,4923470.8324004905,381660.65128285834,5305131.483683349,1679921.5835733656,45315.123751374806,49738.74374440407,123422.0995854394,0.40299706382787825,0.3671556706909304,106.65994121092393,106.65994121092393
9000035,720,720.0,4747073.748452219,399862.151695625,5146935.900147844,1676037.199178587,43386.23376211569,48556.345659006816,116933.45658342756,0.41524767228927095,0.3710335350530006,105.9992433593101,105.9992433593101
9000036,720,720.0,4499980.153155837,323109.2832023469,4823089.436358184,1673425.4772022814,39370.79948944881,59421.244824403875,124518.99931170137,0.47720625087628626,0.3161830701104023,81.16776164166416,81.16776164166416
9000037,720,720.0,5171278.657765908,407195.59420858935,5578474.251974498,1703131.4564109868,48441.784944543826,40609.206591187976,121647.55872136065,0.33382672877312103,0.39821419725735696,137.3696932356468,137.3696932356468
9000038,720,720.0,4969633.152635566,418171.8236174227,5387804.976252989,1712461.5996827497,45941.792207127924,46534.35015931124,128369.72617542402,0.3625025272369872,0.35788650155992413,115.78124456036745,115.78124456036745
9000039,720,720.0,4674930.923524461,395875.5627847568,5070806.486309217,1759963.3554820437,41385.53913533969,53993.48273375758,125712.08383662622,0.4295011353397562,0.32920891828604,93.91515845187125,93.91515845187125
9000040,720,720.0,5538986.964271678,405948.77486301813,5944935.739134695,1612099.2681886058,54160.45588682612,39151.35722256547,128417.59580770151,0.3048753325143428,0.4217526075470881,151.84494640477604,151.84494640477604
9000041,720,720.0,4760121.361797567,383965.54464198655,5144086.906439554,1733695.710216388,42629.889952789534,47144.5667675126,125444.62651394652,0.37581973877750136,0.33983033899064685,109.11303802635328,109.11303802635328
9000042,720,720.0,4485339.9427980175,313957.2481155313,4799297.190913549,1647992.3635339458,39391.310342245015,55637.064341421676,122590.33961068436,0.4538454214101274,0.3213247509334077,86.26079121396926,86.26079121396926
9000043,720,720.0,5723162.626340166,423366.1602054796,6146528.786545645,1579872.036439647,57083.20937632497,25852.025858861918,122999.51700733569,0.21017989735130507,0.46409295552697605,237.75810917497796,237.75810917497796
9000044,720,720.0,5871708.265241856,370321.8008746926,6242030.066116548,1601592.5933753522,58005.46840926495,38679.16853823482,129859.10158151455,0.2978548909331189,0.44668003784743593,161.37963410320535,161.37963410320535
9000045,720,720.0,3870797.172364339,427938.29877256585,4298735.471136905,1812155.4112579965,31082.250748486334,53590.25831899048,125440.6630420947,0.4272160001339195,0.24778449024983165,80.21486751470997,80.21486751470997
9000046,720,720.0,5418332.749396522,375957.9487950299,5794290.6981915515,1711776.4990547125,51031.42748921051,62048.79149991019,132406.07380064274,0.4686249634841826,0.38541606154749364,93.38281307541563,93.38281307541563
9000047,720,720.0,5231117.377996154,397053.24330707913,5628170.621303233,1722989.5154361413,48814.76382333863,55371.80103810617,128277.74695956499,0.4316555470494829,0.3805396101844988,101.64326454597347,101.64326454597347
9000048,720,720.0,5191370.700233196,440607.0384703197,5631977.738703515,1731102.1555679266,48760.94478919488,42228.56574638596,131010.22127700872,0.3223303138851865,0.37219191230960885,133.36890891648423,133.36890891648423
9000049,720,720.0,5297843.069511809,329010.17535095953,5626853.244862769,1596328.524505416,50381.55900446702,43687.518753857534,124881.76991963951,0.34983103444137703,0.40343405636296775,128.79773000076656,128.79773000076656
9000050,720,720.0,5479637.476325741,427773.6420460475,5907411.118371788,1728428.5309416791,52237.2823428764,43511.383215097456,132171.66508378548,0.32920356407339635,0.3952230026743058,135.7670265081817,135.7670265081817
9000051,720,720.0,4745912.652226456,405686.45999168983,5151599.112218146,1810385.6475397695,41765.168308479704,57304.675098306565,128981.17360926494,0.44428712729739245,0.32380825154377135,89.89840887118795,89.89840887118795
9000052,720,720.0,6030290.108482952,383139.7407061745,6413429.849189127,1604100.667227128,60116.61477452496,39893.19790540385,130292.35070980627,0.3061821947955794,0.4613978828919875,160.76499719067087,160.76499719067087
9000053,720,720.0,4840075.297439858,266044.51872281666,5106119.816162675,1605572.1536677247,43756.84578118693,50510.48023916557,119353.23535741051,0.42320160059263473,0.3666163355367318,101.09030426923987,101.09030426923987
9000054,720,720.0,5604121.250904631,369242.40170797077,5973363.652612601,1735038.9412200113,52979.05889240735,55023.71014113851,132093.20107071442,0.4165521744883922,0.4010733214349593,108.55981243886738,108.55981243886738
9000055,720,720.0,5574614.379697077,381183.2404714123,5955797.620168489,1655123.0000150562,53758.43275191793,41393.9836673138,124998.78160566899,0.33115509715845487,0.4300716539902646,143.88075494341476,143.88075494341476
9000056,720,720.0,5595776.246515197,340886.0200571036,5936662.2665723,1608969.3243606593,54096.16177764554,52637.546236454575,126854.31280836993,0.41494486920575174,0.4264432212041926,112.78379580811111,112.78379580811111
