algorithm,model_seed,test_seed,episode_hours,decision_count,episode_wall_time_s,total_cost_eur,vented_t,stored_t
iterative_action_q_g60_p4,2,9000031,720,422,3.2045171479694545,1936950.6981838688,82.83667620645699,118510.75786557644
iterative_action_q_g60_p4,2,9000032,720,444,2.1465381532907486,1692030.459861729,0.0,103429.87004440532
iterative_action_q_g60_p4,2,9000033,720,417,2.562113822903484,1828918.1290443877,0.0,111320.83930957163
iterative_action_q_g60_p4,2,9000034,720,449,2.699544268194586,1706498.800362432,0.0,110808.10357992382
iterative_action_q_g60_p4,2,9000035,720,453,2.7724465508945286,1687867.3126107785,0.0,111016.89064026737
iterative_action_q_g60_p4,2,9000036,720,311,2.524469248019159,1864244.8370312671,465.15912897851433,105203.14046237043
iterative_action_q_g60_p4,2,9000037,720,420,1.9403667212463915,1774728.4174734477,0.0,114809.20659118767
iterative_action_q_g60_p4,2,9000038,720,440,2.9571577897295356,1813147.7959627246,0.0,117336.37474461859
iterative_action_q_g60_p4,2,9000039,720,442,3.025580207351595,1820382.589730542,0.0,107126.72642737888
iterative_action_q_g60_p4,2,9000040,720,488,2.9528478970751166,1761415.2359619632,0.0,108075.79043277101
iterative_action_q_g60_p4,2,9000041,720,387,2.733255554921925,1891227.6833590497,863.035423723037,105929.67999619803
iterative_action_q_g60_p4,2,9000042,720,460,2.602768807206303,1819787.7436510182,608.529012071281,99633.64274733094
iterative_action_q_g60_p4,2,9000043,720,449,2.2589542251080275,1762138.639538943,0.0,109718.73407453802
iterative_action_q_g60_p4,2,9000044,720,525,2.324070141185075,1804375.0322298256,0.0,115731.28342453587
iterative_action_q_g60_p4,2,9000045,720,512,2.954312711954117,1749786.9663122853,0.0,111273.91804188179
iterative_action_q_g60_p4,2,9000046,720,473,2.600346697960049,1846594.5067072427,402.7509922154523,123915.85458525758
iterative_action_q_g60_p4,2,9000047,720,526,3.279063622932881,2026030.0010586237,2987.5821363123373,113542.4965234531
iterative_action_q_g60_p4,2,9000048,720,417,2.6449696109630167,2081107.7534259604,2994.56185821763,109388.83871301844
iterative_action_q_g60_p4,2,9000049,720,468,2.8788900612853467,1698538.1492862902,0.0,105786.360372032
iterative_action_q_g60_p4,2,9000050,720,444,3.232274887152016,1807000.890712379,0.0,120458.20507547057
iterative_action_q_g60_p4,2,9000051,720,373,3.050647185649723,2028391.9474167733,1586.354578887719,116278.04803204429
iterative_action_q_g60_p4,2,9000052,720,409,2.5212280210107565,1817744.486151664,0.0,117927.37479073179
iterative_action_q_g60_p4,2,9000053,720,513,3.3772107171826065,1680670.3298817063,0.0,108897.00726913703
iterative_action_q_g60_p4,2,9000054,720,390,3.211245369166136,1934483.3862790694,83.04819452793308,116711.89665086252
iterative_action_q_g60_p4,2,9000055,720,405,2.8665816551074386,1975736.7770612228,2157.391555454576,104948.25041310972
iterative_action_q_g60_p4,2,9000056,720,345,2.59996989229694,2030240.0448241057,2329.4478354192684,104769.9004118207
iterative_action_q_g60_p4,2,9000057,720,538,2.6043139598332345,1921477.8244583616,3567.347428653877,103907.03653915093
iterative_action_q_g60_p4,2,9000058,720,368,2.5719437822699547,1871422.0603130003,1266.3466754530446,111663.80223118224
iterative_action_q_g60_p4,2,9000059,720,443,2.8971878262236714,1836550.7027519026,756.276166478024,114095.41505502282
iterative_action_q_g60_p4,2,9000060,720,397,2.2935751369223,2312203.9260395323,7414.189212054875,103070.73894234997
