algorithm,model_seed,test_seed,episode_hours,decision_count,episode_wall_time_s,total_cost_eur,vented_t,stored_t
ppo_event_residual,2,9000031,720,125,2.9949994827620685,2562560.9821065473,8963.444521204277,107548.9933873325
ppo_event_residual,2,9000032,720,102,1.07121935300529,1940706.7241143398,2570.5238223668675,95250.98854906714
ppo_event_residual,2,9000033,720,114,2.150486156810075,2108306.3582710563,3919.2986262769377,99000.52865585132
ppo_event_residual,2,9000034,720,117,2.124541132245213,2069766.1021104183,4191.682652587189,100576.4014753796
ppo_event_residual,2,9000035,720,95,2.3416875232942402,1736853.832611129,0.0,106348.17824385338
ppo_event_residual,2,9000036,720,112,2.6212158291600645,2364989.499583023,7222.393791457813,95949.74001544576
ppo_event_residual,2,9000037,720,115,1.0455260463058949,1820393.817476312,0.0,106511.31294974004
ppo_event_residual,2,9000038,720,118,2.476654393132776,2260690.7399477437,5320.614567427531,107657.58282572856
ppo_event_residual,2,9000039,720,104,2.5159122021868825,2183567.5400660015,5006.816448080679,103178.77008898286
ppo_event_residual,2,9000040,720,105,2.3096281229518354,2121500.782876551,4801.49586508765,101978.22160529933
ppo_event_residual,2,9000041,720,102,2.559302046895027,2595611.343562618,9944.827030020784,99041.82325228323
ppo_event_residual,2,9000042,720,96,2.151865736115724,1840246.56893817,1605.9086318898082,101549.58252516417
ppo_event_residual,2,9000043,720,109,1.5136357247829437,2238672.1595632136,5840.6804175089055,92455.46887330183
ppo_event_residual,2,9000044,720,116,1.1766361990012228,1947600.7247895962,1557.3377180918296,109722.90097909585
ppo_event_residual,2,9000045,720,100,2.2066169790923595,1943158.7047656341,2667.6731210924668,98574.82727679293
ppo_event_residual,2,9000046,720,101,1.5934075661934912,2385037.560208174,8154.627619917835,114045.2073859217
ppo_event_residual,2,9000047,720,89,2.7014839937910438,2211578.700475283,6020.878250883049,107442.91433135512
ppo_event_residual,2,9000048,720,101,2.0999389621429145,2659641.9881727,11149.211100002378,102210.99925068112
ppo_event_residual,2,9000049,720,99,2.4246244742535055,1678211.4364527192,295.46224238763085,102303.2447353
ppo_event_residual,2,9000050,720,117,3.058892118744552,1991401.212477618,1778.385288913577,112238.89486863208
ppo_event_residual,2,9000051,720,122,3.282048286870122,2348796.110471616,6077.631093992669,109502.99470122164
ppo_event_residual,2,9000052,720,99,1.7968241102062166,2334389.184398357,7760.511599230812,108990.31829226068
ppo_event_residual,2,9000053,720,88,3.142718228045851,1691463.9698831076,0.0,104264.4416838243
ppo_event_residual,2,9000054,720,95,3.1081878398545086,3122022.760415182,17975.118488880053,95093.90982674174
ppo_event_residual,2,9000055,720,112,2.6720156157389283,2723805.770596374,11958.381997153381,92767.27367888397
ppo_event_residual,2,9000056,720,106,2.7725805421359837,1922365.1683199215,1114.5663386556687,106120.27247998804
ppo_event_residual,2,9000057,720,95,1.5945648150518537,2008096.1630455044,3825.8281146354757,107175.37235904485
ppo_event_residual,2,9000058,720,90,2.27985498867929,2010349.9570278602,3846.337551272014,98524.152333236
ppo_event_residual,2,9000059,720,110,2.5072276135906577,2121000.569305516,4294.600274568891,103994.59547317763
ppo_event_residual,2,9000060,720,97,1.8677454707212746,2345905.2374920184,8451.507865518714,101221.73756620966
