algorithm,model_seed,test_seed,episode_hours,decision_count,episode_wall_time_s,total_cost_eur,vented_t,stored_t
ppo_high_level,0,9000031,720,211,1.7254695100709796,2743605.419990502,10179.789173875512,108220.10578331583
ppo_high_level,0,9000032,720,215,0.7481180438771844,1895483.729365574,1355.1645854795847,101363.9941415889
ppo_high_level,0,9000033,720,224,1.3493135548196733,1941836.2090443051,0.0,112635.01450550061
ppo_high_level,0,9000034,720,194,1.221405966207385,1846400.9803629278,0.0,109122.38932898371
ppo_high_level,0,9000035,720,185,1.390941150020808,1818636.4126138696,0.0,110893.41233149038
ppo_high_level,0,9000036,720,211,1.4609889122657478,2536008.407811429,9109.422791761102,101244.2388585443
ppo_high_level,0,9000037,720,214,0.6992558441124856,2054633.9671500237,1865.544951850029,107594.59471904169
ppo_high_level,0,9000038,720,155,1.3319981158711016,2709675.195645757,11002.896286787281,100107.19434814698
ppo_high_level,0,9000039,720,212,1.6196218938566744,1928332.5918482076,127.55286635369825,111670.0679293083
ppo_high_level,0,9000040,720,213,1.3817223492078483,2419076.7674703384,7110.293645483758,108980.70446516748
ppo_high_level,0,9000041,720,208,1.4419705038890243,2505803.043912421,8292.96963077374,102632.29168467814
ppo_high_level,0,9000042,720,185,1.3273599171079695,1838836.907149817,0.0,112742.43081593922
ppo_high_level,0,9000043,720,148,0.8419397841207683,2311707.93439011,6060.268834641471,95106.59314025177
ppo_high_level,0,9000044,720,194,0.6610915032215416,2258142.031852475,5083.213456921216,112511.12497392141
ppo_high_level,0,9000045,720,173,1.3144784336909652,2201495.4238192723,4145.5965748723465,112416.20454941283
ppo_high_level,0,9000046,720,193,0.9656200441531837,2691280.2328450084,10810.064809192048,102819.78428385982
ppo_high_level,0,9000047,720,171,1.6843513599596918,2193186.8874341934,2968.1988707388205,111762.61434231022
ppo_high_level,0,9000048,720,191,1.4602110516279936,1985516.0468635974,0.0,115548.67001501992
ppo_high_level,0,9000049,720,230,1.4580543688498437,1850894.5292869194,0.0,109286.39507358239
ppo_high_level,0,9000050,720,193,1.7973191081546247,1968905.4907119758,0.0,121675.80980074077
ppo_high_level,0,9000051,720,160,1.6346880500204861,2683278.9288764186,10695.767301604994,101278.0480320445
ppo_high_level,0,9000052,720,173,1.2561760819517076,1909490.426157772,0.0,119060.85829950406
ppo_high_level,0,9000053,720,234,1.790756082162261,1815175.689882169,0.0,103321.52927151477
ppo_high_level,0,9000054,720,193,1.8496270319446921,2505691.6000073636,7024.000944897458,104461.32423052668
ppo_high_level,0,9000055,720,205,1.4513503639027476,2489524.5062128874,7683.941716154738,92842.27413434723
ppo_high_level,0,9000056,720,221,1.5761066232807934,2521664.115224126,7526.76323885606,100265.38290205115
ppo_high_level,0,9000057,720,207,0.9392294557765126,2154813.855076773,3509.8364850422586,108462.56306719047
ppo_high_level,0,9000058,720,175,1.2941354401409626,1937465.3720618694,705.2935816027692,113601.81371666842
ppo_high_level,0,9000059,720,185,1.4115094132721424,1908521.4929442478,0.0,110463.78122217879
ppo_high_level,0,9000060,720,168,1.2173908310942352,1902591.3625424174,0.0,109577.90194977127
