seed,t300_total_cost,t600_total_cost,t1200_total_cost,t600_minus_t300_total_cost,t1200_minus_t600_total_cost,t300_operating_cost,t600_operating_cost,t1200_operating_cost,t600_minus_t300_operating_cost,t1200_minus_t600_operating_cost,t300_terminal_cleanup_operating_cost,t600_terminal_cleanup_operating_cost,t1200_terminal_cleanup_operating_cost,t600_minus_t300_terminal_cleanup_operating_cost,t1200_minus_t600_terminal_cleanup_operating_cost,t300_stored_t,t600_stored_t,t1200_stored_t,t600_minus_t300_stored_t,t1200_minus_t600_stored_t,t300_vented_t,t600_vented_t,t1200_vented_t,t600_minus_t300_vented_t,t1200_minus_t600_vented_t,t300_captured_t,t600_captured_t,t1200_captured_t,t600_minus_t300_captured_t,t1200_minus_t600_captured_t,t300_wall_clock_seconds,t600_wall_clock_seconds,t1200_wall_clock_seconds,t600_minus_t300_wall_clock_seconds,t1200_minus_t600_wall_clock_seconds,t300_solver_solve_wall_seconds,t600_solver_solve_wall_seconds,t1200_solver_solve_wall_seconds,t600_minus_t300_solver_solve_wall_seconds,t1200_minus_t600_solver_solve_wall_seconds
9000031,2293432.49099732,2047400.10499098,2047400.10499098,-246032.38600634015,0.0,1794163.5725211273,1849472.0997621664,1849472.0997621664,55308.52724103909,0.0,238351.0279126895,210583.35843533167,210583.35843533167,-27767.66947735782,0.0,114469.71188364139,117762.28605284878,117762.28605284878,3292.5741692073934,0.0,6240.861480952419,2474.100065360168,2474.100065360168,-3766.7614155922506,0.0,134043.80710806392,134043.80710806392,134043.80710806392,0.0,0.0,5962.379583961796,12056.770169401076,22426.63439802779,6094.39058543928,10369.864228626713,5636.253952038474,11718.38677206682,22097.40536812693,6082.132820028346,10379.018596060108
9000032,2119138.625970046,2119138.625970045,2237393.9814856546,-9.313225746154785e-10,118255.3555156095,1623659.1566906818,1623659.156690681,1546536.350327589,-9.313225746154785e-10,-77122.8063630918,194746.47894067873,194746.47894067873,202970.82479054065,0.0,8224.345849861915,92181.08126023502,92181.08126023502,91297.18802602345,0.0,-883.8932342115731,6193.493365992055,6193.493365992055,8635.72038947582,0.0,2442.227023483765,118765.80374023803,118765.80374023803,118765.80374023803,0.0,0.0,7475.791796146892,14682.04816771578,26913.733327718917,7206.256371568888,12231.685160003137,7313.295128054451,14518.799598436803,26764.979744561482,7205.504470382351,12246.18014612468
9000033,2120052.8944348637,2563985.1772702606,2563570.037270261,443932.28283539694,-415.1399999996647,1736901.3850190337,1711046.191857623,1710631.0518576228,-25855.193161410745,-415.1400000001304,220330.73585371373,230706.81850547047,230706.81850547047,10376.082651756733,0.0,105135.0145055005,99724.82966443239,99724.82966443239,-5410.184841068112,0.0,4789.393867697877,10661.737317657966,10661.737317657966,5872.343449960089,0.0,127077.96740974124,127077.96740974124,127077.96740974124,0.0,0.0,6560.727924305946,12887.431050932966,24827.135824832134,6326.7031266270205,11939.704773899168,6308.931854198687,12654.033449299168,24595.838149727322,6345.101595100481,11941.804700428154
9000034,1935952.9860899067,1935952.9860899067,1676774.6102392895,0.0,-259178.3758506172,1673948.3066427277,1673948.3066427277,1665474.2078464401,0.0,-8474.098796287552,199225.9755994933,199225.9755994933,179652.93404504462,0.0,-19573.04155444869,104726.69614121088,104726.69614121088,110775.0833430289,0.0,6048.387201818026,3275.0584930897367,3275.0584930897367,141.25502991061632,0.0,-3133.80346317912,123422.0995854394,123422.0995854394,123422.09958543938,0.0,-1.4551915228366852e-11,6412.772568174172,12248.784445904195,24705.851395414677,5836.011877730023,12457.066949510481,6160.875976843759,12000.274803039618,24447.98277694173,5839.398826195858,12447.707973902114
9000035,2030261.0445873856,2030261.0445873856,1876812.7624238953,0.0,-153448.2821634903,1540831.2459646822,1540831.2459646822,1660926.751196961,0.0,120095.50523227872,186654.48913984216,186654.48913984216,186246.1979448274,0.0,-408.2911950147536,103642.9856378551,103642.9856378551,108557.28646930263,0.0,4914.30083144753,6117.872482783793,6117.872482783793,2698.5751403366776,0.0,-3419.2973424471156,116933.45658342756,116933.45658342756,116933.45658342756,0.0,0.0,6708.2900260319,13005.85871937126,26952.601958121173,6297.568693339359,13946.743238749914,6447.126245032996,12749.619728083257,26691.198941123206,6302.493483050261,13941.57921303995
9000036,3533346.3895627037,1923094.823839663,1901574.3370396884,-1610251.5657230406,-21520.486799974693,1477508.232397434,1720652.9701760064,1748150.6846465557,243144.73777857237,27497.714470549254,213435.6287484317,211177.79175089655,207774.564001778,-2257.836997535167,-3403.2277491185523,81137.13133870196,107045.11106490095,109024.33531049738,25907.979726198988,1979.2242455964297,25697.976964565867,2530.523170795708,1917.7956549141568,-23167.45379377016,-612.7275158815514,124518.9993117014,124518.99931170137,124518.99931170137,-2.9103830456733704e-11,0.0,6689.465946829878,11992.508694711141,21602.587965848856,5303.0427478812635,9610.079271137714,6442.670229183044,11687.140972344205,21291.54986519413,5244.4707431611605,9604.408892849926
9000037,2000485.9131946776,1821431.6603343585,1888716.1980748472,-179054.2528603191,67284.53774048877,1658777.207969235,1713751.8877422516,1701804.1424932708,54974.6797730166,-11947.74524898082,123800.62038750286,192359.39315574907,151240.48488443164,68558.77276824621,-41118.90827131743,113556.80536003655,107309.20659118767,111384.59726253871,-6247.598768848882,4075.390671351037,4271.358815318032,1345.997157401336,2336.4006947697044,-2925.3616579166955,990.4035373683685,121647.55872136065,121647.55872136065,121647.55872136065,0.0,0.0,8231.327367382124,14967.60237235576,26752.755968785845,6736.275004973635,11785.153596430086,8090.291110686958,14821.824447794817,26610.160994901787,6731.53333710786,11788.33654710697
9000038,1920295.9707264367,1810656.9559609732,1832659.3759626574,-109639.01476546354,22002.420001684222,1727583.29565259,1810656.9559609732,1832659.3759626574,83073.66030838317,22002.420001684222,206374.53368219113,182529.89341223653,204250.1831186796,-23844.6402699546,21720.289706443058,115107.19434814701,121306.34721122055,116154.90937554288,6199.152863073541,-5151.437835677672,2408.9084384230837,0.0,0.0,-2408.9084384230837,0.0,128369.72617542402,128369.72617542402,128369.72617542402,0.0,0.0,6407.327745250892,12511.219370746054,25208.475042762235,6103.891625495162,12697.255672016181,6104.5349017358385,12205.781093104742,24908.52751532942,6101.246191368904,12702.746422224678
9000039,2437563.728051424,2437563.728051424,1994804.3453882358,0.0,-442759.38266318827,1686036.6973864986,1686036.6973864986,1727966.1382781868,0.0,41929.440891688224,329963.46649338823,329963.46649338823,329040.98187370907,0.0,-922.4846196791623,89834.39317069865,89834.39317069865,94021.83840321293,0.0,4187.445232514277,9394.087883311568,9394.087883311568,3335.477588875612,0.0,-6058.610294435955,125712.08383662622,125712.08383662622,125712.08383662622,0.0,0.0,6074.552704548929,11515.093758177944,27361.69295113487,5440.541053629015,15846.599192956928,5792.858156148344,11234.291317232884,27054.103411905933,5441.43316108454,15819.812094673049
9000040,2614708.639188408,2617199.479188901,2652666.6034896686,2490.8400004929863,35467.12430076767,1521499.377888072,1523990.2178885653,1527762.8390066964,2490.840000493219,3772.6211181310937,192122.17100936433,189236.97336836957,194866.47387110023,-2885.1976409947674,5629.5005027306615,97016.1651903855,97763.03502118237,92182.22470033495,746.8698307968734,-5580.81032084742,13665.115766254208,13665.115766254208,14061.297056037165,0.0,396.1812897829568,128417.59580770151,128417.59580770151,128417.59580770151,0.0,0.0,6946.147263800725,13539.324992292095,26734.68316211831,6593.17772849137,13195.358169826213,6697.016259319615,13299.122923044953,26499.019914820325,6602.106663725339,13199.896991775371
