#{"t_start": 1785272198.5962398, "env_id": "None"}
r,l,t
-8.595641,720,9.598545
-7.303571,720,17.747721
-7.546973,720,26.8255
-7.576557,720,35.964345
-6.647346,720,45.823089
-4.915508,720,54.236237
-5.60271,720,62.975999
-7.5351,720,72.610125
-8.004669,720,81.001992
-7.107361,720,89.282117
-6.712263,720,96.505443
-8.333917,720,105.13008
-6.839105,720,113.25919
-7.323631,720,121.386711
-6.106508,720,129.697127
-7.905209,720,136.515688
-6.970599,720,144.75172
-7.313501,720,153.090471
-6.968519,720,161.357779
-6.34107,720,169.985535
-8.289597,720,178.31098
-7.062494,720,185.515382
-7.287519,720,193.753807
-7.753851,720,202.081151
-7.570653,720,210.436104
-8.068588,720,218.665165
-7.348556,720,225.574416
-6.506405,720,233.899845
-6.695616,720,242.162483
-6.780598,720,250.655218
-6.902492,720,259.367902
-7.542779,720,266.294541
-8.214932,720,274.457449
-7.41444,720,282.859763
-7.684679,720,290.966064
-7.672126,720,299.159645
-7.467183,720,307.527585
-7.643062,720,314.362495
-7.901818,720,322.78497
-7.679845,720,331.411212
-6.278562,720,339.637193
-7.159701,720,348.271955
-7.34823,720,355.243429
-7.252733,720,363.573351
-7.123002,720,372.147645
-6.248526,720,380.85237
-7.260085,720,389.417984
-6.75265,720,396.555804
-7.963169,720,405.097852
-7.967083,720,413.418593
-6.811965,720,421.807
-8.263721,720,430.394294
-7.167406,720,438.905361
-7.098543,720,446.053032
-6.994584,720,454.728473
-7.780058,720,462.895131
-6.886471,720,471.2049
-6.484656,720,479.661081
-8.440594,720,486.702698
-6.596622,720,494.950585
-8.059912,720,503.17887
-7.606942,720,511.457381
-6.500733,720,519.673259
-7.269807,720,526.697543
-8.208051,720,534.902081
-8.088416,720,543.177872
-6.267754,720,551.782768
-6.506353,720,560.202184
-6.857676,720,568.686065
-7.176521,720,575.559384
-8.212362,720,583.837248
-7.150943,720,592.36201
-7.428397,720,600.642969
-7.805701,720,608.952008
-6.524821,720,615.852239
-6.853582,720,624.130356
-6.709823,720,632.727577
-7.748945,720,641.258075
-7.818172,720,649.708546
-8.200841,720,656.724508
-7.110782,720,665.075678
-7.625669,720,673.550418
-7.917004,720,681.963495
-8.178736,720,690.288243
-7.9724,720,698.424197
-8.030979,720,705.441382
-8.312104,720,713.740821
-7.742997,720,721.855786
-8.206837,720,730.110023
-7.801309,720,738.262517
-7.213742,720,744.943835
-7.717568,720,753.165592
-7.988848,720,761.286334
-8.932196,720,769.508412
-8.200933,720,777.617601
-7.666632,720,784.378009
-7.979866,720,792.612435
-8.955818,720,800.794895
-8.644301,720,809.030785
-6.916149,720,817.415146
-6.6662,720,825.723908
-6.651039,720,832.563069
-7.491171,720,840.6881
-7.841748,720,848.917067
-6.769219,720,857.091015
-7.487573,720,865.163113
-7.540847,720,871.923406
-7.492452,720,879.969887
-7.902638,720,888.017722
-8.330414,720,896.135681
-8.20995,720,904.288607
-5.983722,720,911.460589
-7.610697,720,919.846552
-6.719195,720,928.055459
-7.690317,720,936.343874
-6.8749,720,944.456742
-8.043408,720,952.705891
-7.865552,720,959.400285
-7.700896,720,967.576926
-8.214922,720,975.785717
-8.659277,720,984.31673
-8.374781,720,992.50736
-7.715819,720,999.484461
-6.230163,720,1007.9589
-7.360005,720,1016.198924
-6.206517,720,1024.374501
-7.526801,720,1032.482516
-7.992868,720,1039.231373
-5.892119,720,1047.581584
-8.936177,720,1055.84047
-7.472476,720,1064.127883
-6.49686,720,1072.386811
-7.212597,720,1080.950852
-7.459005,720,1087.807309
-6.860565,720,1096.045162
-8.090633,720,1104.208534
-8.236204,720,1112.48107
-8.468693,720,1120.996059
-7.640271,720,1128.019818
-6.571412,720,1136.16293
-6.551275,720,1144.422174
-4.899165,720,1152.973972
-6.478815,720,1161.353413
-5.98411,720,1168.891582
-4.801298,720,1177.51252
-6.056615,720,1186.325676
-6.361926,720,1195.001006
-7.215411,720,1203.560649
-6.704202,720,1211.893947
-7.621257,720,1218.960422
-6.317855,720,1227.675706
-5.807687,720,1236.629131
-7.005171,720,1245.016359
-6.354957,720,1253.522069
-6.272447,720,1260.767108
-6.158326,720,1269.5519
-5.931073,720,1278.449384
-5.540988,720,1287.021601
-8.380444,720,1295.717121
-6.801227,720,1302.647776
-6.583425,720,1311.886447
-6.136011,720,1320.655882
-7.12741,720,1329.500362
-5.68249,720,1337.937597
-6.347357,720,1346.955409
-5.63646,720,1397.045403
-8.147251,720,1406.137079
-5.692597,720,1414.751323
-6.196173,720,1423.502056
-5.505631,720,1432.409774
-5.553199,720,1439.443326
-6.583016,720,1448.287599
-6.693712,720,1456.891135
-6.043527,720,1465.856162
-5.456686,720,1474.996855
-5.368374,720,1482.118078
-6.433741,720,1490.482701
-5.647651,720,1498.760684
-6.926073,720,1506.925954
-6.979007,720,1515.144915
-6.939918,720,1523.584487
-5.834408,720,1530.766331
-7.263894,720,1539.720586
-6.28624,720,1548.321883
-5.908208,720,1557.352898
-6.56564,720,1566.137807
-5.755581,720,1573.11279
-5.265376,720,1581.927177
-5.699758,720,1590.782106
-6.034343,720,1599.233594
-5.642841,720,1608.107111
-5.695123,720,1615.261024
-5.945103,720,1623.690785
-7.487586,720,1631.985652
-7.177942,720,1640.544558
-5.054937,720,1649.104978
-5.035999,720,1658.356884
-6.375716,720,1665.455501
-7.127025,720,1674.025378
-7.089854,720,1682.350051
-7.038742,720,1690.866904
-6.124819,720,1699.170352
-7.354218,720,1706.235106
-6.548715,720,1714.669106
-7.315167,720,1723.240434
-6.487187,720,1732.113281
-5.634883,720,1741.314159
-5.488211,720,1748.634081
-5.940553,720,1757.118185
-6.911671,720,1765.999861
-5.78907,720,1774.725007
-7.255812,720,1783.125185
-6.05786,720,1791.679286
-6.071463,720,1798.567282
-6.523389,720,1807.156648
-7.538672,720,1815.987812
-7.187205,720,1824.546047
-7.950339,720,1833.135846
-6.277143,720,1840.297727
-6.494724,720,1848.978755
-5.595157,720,1857.797348
-6.35105,720,1866.296262
-5.696338,720,1874.746608
-7.023282,720,1881.947195
-6.67505,720,1890.93217
-6.800065,720,1899.482939
-6.088604,720,1907.950965
-6.29572,720,1916.83851
-6.579304,720,1925.439994
-7.022852,720,1932.361205
-7.824949,720,1940.847683
-7.524482,720,1949.331779
-6.348243,720,1957.960928
-5.951409,720,1966.575902
-6.305682,720,1973.711984
-7.056352,720,1982.221476
-6.432107,720,1990.709595
-6.33206,720,1999.373032
-7.958371,720,2007.790517
-6.336219,720,2014.943979
-7.015962,720,2023.433383
-6.787085,720,2031.840784
-7.440418,720,2040.211143
-7.487523,720,2048.509828
-5.456788,720,2057.054684
-5.660179,720,2064.236451
-6.434301,720,2072.61512
-6.311196,720,2081.386289
-7.879164,720,2089.918386
-5.878096,720,2098.651013
-6.569465,720,2106.020921
-6.223444,720,2114.312006
-6.290884,720,2122.798826
-6.822183,720,2131.209732
-6.827414,720,2140.219114
-6.519362,720,2147.422181
-6.837479,720,2155.741943
-7.665322,720,2164.28387
-6.733668,720,2172.74999
-8.21965,720,2181.273056
-6.385519,720,2189.898922
-6.686014,720,2196.772124
-4.952048,720,2205.407354
-6.085305,720,2214.171791
-6.41925,720,2223.030802
-5.805156,720,2231.807312
-5.472123,720,2238.994358
-6.064494,720,2247.743125
-5.055366,720,2256.20402
-5.027342,720,2264.899103
-4.987147,720,2274.090251
-5.519652,720,2281.415234
-5.356044,720,2290.622155
-5.404991,720,2299.698517
-5.26984,720,2308.596643
-5.310544,720,2317.335618
-5.284236,720,2325.988953
-5.190303,720,2333.274827
-4.908831,720,2342.378165
-5.283984,720,2351.256001
-4.897013,720,2360.35533
-4.952638,720,2369.22966
-4.502441,720,2377.054885
-4.906399,720,2385.860653
-5.333893,720,2394.692584
-5.852399,720,2403.750131
-5.394394,720,2412.54486
-5.23015,720,2419.877263
-3.927649,720,2428.575951
-5.301628,720,2437.264189
-6.382436,720,2445.823849
-5.320966,720,2454.480208
-5.221261,720,2463.066903
-7.170904,720,2470.074808
-5.39403,720,2478.706618
-4.644737,720,2487.229589
-6.825743,720,2496.017915
-5.137842,720,2505.12715
-5.648834,720,2512.16512
-6.71531,720,2520.61022
-4.825552,720,2529.375105
-5.75025,720,2538.068823
-5.634159,720,2546.664416
-5.075705,720,2553.869548
-5.891444,720,2562.921184
-5.525253,720,2571.566311
-4.802114,720,2580.290229
-5.114828,720,2588.716628
-6.134427,720,2597.358824
-6.134569,720,2604.743565
-6.431924,720,2613.404285
-6.490787,720,2622.5089
-5.365733,720,2631.393838
-6.237121,720,2640.213646
-5.604648,720,2647.542789
-5.220956,720,2656.416094
-6.008699,720,2664.898181
-6.888466,720,2673.664969
-5.04154,720,2682.342197
