gate,seed,event_count,override_events,proposed_override_events,mean_head_agreement,early_departures,emitter_to_emitter_legs,episode_vessel_fuel_eur,greedy_episode_vessel_fuel_eur,delta_episode_vessel_fuel_eur,episode_conditioning_eur,greedy_episode_conditioning_eur,delta_episode_conditioning_eur,episode_reconditioning_eur,greedy_episode_reconditioning_eur,delta_episode_reconditioning_eur,episode_loading_eur,greedy_episode_loading_eur,delta_episode_loading_eur,episode_unloading_eur,greedy_episode_unloading_eur,delta_episode_unloading_eur,episode_operating_cost_eur,greedy_episode_operating_cost_eur,delta_episode_operating_cost_eur,episode_vent_penalty_eur,greedy_episode_vent_penalty_eur,delta_episode_vent_penalty_eur,episode_storage_shortfall_penalty_eur,greedy_episode_storage_shortfall_penalty_eur,delta_episode_storage_shortfall_penalty_eur,episode_total_cost_eur,greedy_episode_total_cost_eur,delta_episode_total_cost_eur,terminal_cleanup_operating_cost_eur,greedy_terminal_cleanup_operating_cost_eur,delta_terminal_cleanup_operating_cost_eur,total_cost_eur,greedy_total_cost_eur,delta_total_cost_eur,operating_cost_eur,greedy_operating_cost_eur,delta_operating_cost_eur,vent_penalty_eur,greedy_vent_penalty_eur,delta_vent_penalty_eur,vented_t,greedy_vented_t,delta_vented_t,stored_t,greedy_stored_t,delta_stored_t,unit_cost_eur_per_t,greedy_unit_cost_eur_per_t,delta_unit_cost_eur_per_t
e2_p1_s1,9000031,427,12,392,4.702576112412178,1,2,603613.5600000047,509791.9200000052,93821.63999999949,910768.1925166674,991296.1028016104,-80527.91028494295,42962.88123398318,46932.58187229298,-3969.700638309805,3555.140546876125,3869.4774345292985,-314.33688765317356,3172.428808231023,3507.322500000005,-334.8936917689821,1564072.2031057626,1555397.4046084378,8674.79849732481,1043195.1362667368,499268.9184761926,543926.2177905443,0.0,0.0,0.0,2607267.3393724994,2054666.3230846303,552601.0162878691,284562.2560739157,238351.0279126895,46211.2281612262,2891829.5954464152,2293017.35099732,598812.2444490953,1848634.4591796782,1793748.4325211272,54886.02665855107,1043195.1362667368,499268.9184761926,543926.2177905443,13039.939203334212,6240.861480952415,6799.077722381797,104787.51520483702,114469.71188364139,-9682.196678804365,27.597081482402853,20.03165128368782,7.565430198715031
e2_p1_s1,9000032,413,12,359,4.605326876513317,1,2,549230.2200000031,523906.68000000407,25323.539999999048,901910.0421982798,872609.8901637925,29300.152034487226,43181.47023729994,41249.47812830116,1931.9921089987765,3520.563176227946,3406.191419085648,114.37175714229807,3175.3164550021775,3205.125000000004,-29.80854499782663,1501017.612066813,1444377.3647111836,56640.24735562946,0.0,147597.08007642228,-147597.08007642228,0.0,0.0,0.0,1501017.612066813,1591974.444787606,-90956.83272079285,191427.98779565547,174236.81051761188,17191.177278043586,1692445.5998624684,1766211.2553052178,-73765.65544274938,1692445.5998624684,1618614.1752287955,73831.42463367293,0.0,147597.08007642228,-147597.08007642228,0.0,1844.963500955279,-1844.963500955279,105320.65911536594,100608.4832397591,4712.175875606845,16.069455072519066,17.555291546302083,-1.4858364737830172
e2_p1_s1,9000033,435,11,375,4.593103448275862,1,0,575384.0400000069,533870.0400000046,41514.00000000233,934309.4779998068,932749.1859035201,1560.2920962866629,43933.556670464,43105.35594725522,828.2007232087781,3647.0328409135723,3640.942314540279,6.0905263732934145,3546.089303843784,3205.125000000006,340.964303843778,1560820.196815035,1516570.64916532,44249.547649715096,54033.437714525135,383151.50941582996,-329118.0717013048,0.0,0.0,0.0,1614853.63452956,1899722.15858115,-284868.5240515899,225135.40805712965,207876.53585432417,17258.872202805476,1839989.0425866898,2107598.694435474,-267609.6518487842,1785955.6048721648,1724447.1850196442,61508.41985252057,54033.437714525135,383151.50941582996,-329118.0717013048,675.4179714315643,4789.393867697877,-4113.975896266313,107155.01626942445,105135.0145055005,2020.0017639239522,17.1712823780487,20.04659155989566,-2.8753091818469585
e2_p1_s1,9000034,394,12,365,4.83756345177665,1,2,550060.5000000055,508546.50000000285,41514.00000000262,985601.808889522,916455.4202540746,69146.38863544737,42597.13825895348,42937.94541789649,-340.807158943011,3847.2500276665874,3577.340371260317,269.9096564062702,3184.857527666588,3205.125000000005,-20.267472333417118,1585291.554703814,1474722.3310432343,110569.22366057965,11021.80026042883,262004.67944717887,-250982.87918675004,0.0,0.0,0.0,1596313.3549642428,1736727.0104904133,-140413.6555261705,186072.2269454294,199225.9755994933,-13153.748654063907,1782385.5819096721,1935952.9860899067,-153567.40418023453,1771363.7816492433,1673948.3066427277,97415.47500651563,11021.80026042883,262004.67944717887,-250982.87918675004,137.7725032553604,3275.0584930897367,-3137.2859898343763,103895.45916817921,104726.69614121088,-831.2369730316714,17.155567684863517,18.485763968716398,-1.3301962838528816
e2_p1_s1,9000035,476,12,451,4.754201680672269,2,1,537191.1600000056,484053.24000000494,53137.92000000068,863640.2611882354,884710.3299529921,-21070.068764756783,41412.7438396788,44725.083455352586,-3312.339615673787,3371.1788967737743,3453.4249132755917,-82.2460165018174,3180.9688171841476,3205.125000000004,-24.156182815856482,1448796.3127418777,1420147.2033216252,28649.1094202525,0.0,282922.74237956875,-282922.74237956875,0.0,0.0,0.0,1448796.3127418777,1703069.945701194,-254273.63295931625,262733.9798710211,181939.4867516455,80794.4931193756,1711530.2926128989,1885009.4324528396,-173479.1398399407,1711530.2926128989,1602086.6900732708,109443.60253962805,0.0,282922.74237956875,-282922.74237956875,0.0,3536.5342797446087,-3536.5342797446087,101006.69229189951,109085.56940329901,-8078.877111399503,16.944721718702983,17.280098942178068,-0.3353772234750849
e2_p1_s1,9000036,307,12,268,4.840390879478828,0,2,631843.0800000059,508131.36000000505,123711.72000000085,938400.0000000002,717852.1628473271,220547.83715267316,44661.59148119323,33266.2698997174,11395.32158147583,3663.000000000004,2802.1019528023844,860.8980471976197,3302.805000000005,2435.8950000000013,866.9100000000035,1621870.4764811993,1264487.7896998518,357382.6867813475,304386.5035036666,2055838.1571652698,-1751451.653661603,0.0,0.0,0.0,1926256.979984866,3320325.946865122,-1394068.9668802558,184529.62132952196,213435.5826975821,-28905.961368060147,2110786.6013143877,3533761.529562704,-1422974.928248316,1806400.0978107213,1477923.372397434,328476.7254132873,304386.5035036666,2055838.1571652698,-1751451.653661603,3804.831293795831,25697.976964565867,-21893.145670770034,108930.71092973968,81137.24365784733,27793.467271892354,19.377332464816515,43.552891006064264,-24.17555854124775
e2_p1_s1,9000037,388,11,347,4.538659793814433,1,1,569156.9400000045,495677.16000000644,73479.77999999805,1021733.021466126,985460.3769294086,36272.64453671733,45780.34256650403,46558.290197615104,-777.9476311110775,3988.286506426283,3846.6979547020733,141.58855172420954,3337.9138025662814,3434.0625000000045,-96.1486974337231,1643996.504341627,1534976.587581732,109019.91675989493,0.0,341708.7052254426,-341708.7052254426,0.0,0.0,0.0,1643996.504341627,1876685.2928071746,-232688.7884655476,166849.0931326652,123800.62038750286,43048.47274516235,1810845.5974742922,2000485.9131946776,-189640.3157203854,1810845.5974742922,1658777.207969235,152068.38950505713,0.0,341708.7052254426,-341708.7052254426,0.0,4271.358815318033,-4271.358815318033,111659.37211342451,113556.80536003655,-1897.4332466120395,16.217587142034258,17.6166096505802,-1.3990225085459436
e2_p1_s1,9000038,465,12,398,4.823655913978494,1,0,572062.9200000064,532209.4800000057,39853.44000000076,1033650.6058173942,934722.6242499,98927.98156749422,46730.38228943695,47193.94968274025,-463.56739330329583,4034.8062330659845,3648.6455377529687,386.1606953130158,3494.5720402796915,3434.062500000004,60.50954027968737,1659973.2863801832,1521208.761970399,138764.52440978424,0.0,192712.67507384662,-192712.67507384662,0.0,0.0,0.0,1659973.2863801832,1713921.4370442457,-53948.15066406247,150268.52958264705,206374.53368219113,-56106.00409954408,1810241.8159628303,1920295.9707264367,-110054.15476360638,1810241.8159628303,1727583.29565259,82658.52031024033,0.0,192712.67507384662,-192712.67507384662,0.0,2408.9084384230837,-2408.9084384230837,113976.54216935851,115107.19434814701,-1130.6521787884994,15.8825823411363,16.68267549740126,-0.8000931562649587
e2_p1_s1,9000039,377,12,348,4.814323607427056,1,3,608595.2400000062,500658.8400000053,107936.40000000084,924001.798956893,812662.8487139633,111338.95024292974,43818.64136085902,36832.2939580883,6986.34740277072,3606.7973034730408,3172.190979155211,434.6063243178296,3370.8120063340184,2747.2500000000027,623.5620063340157,1583393.2896275653,1356073.4236512124,227319.86597635294,273521.5861836408,751527.0306649255,-478005.44448128465,0.0,0.0,0.0,1856914.8758112062,2107600.454316138,-250685.57850493165,268837.33576373925,329963.2737352864,-61125.93797154713,2125752.2115749456,2437563.728051424,-311811.5164764784,1852230.6253913045,1686036.6973864988,166193.9280048057,273521.5861836408,751527.0306649255,-478005.44448128465,3419.0198272955104,9394.08788331157,-5975.068056016059,106874.73502648543,89834.86331241042,17039.87171407501,19.89012848591528,27.13382798362517,-7.2436994977098905
e2_p1_s1,9000040,441,12,413,4.503401360544218,0,2,552966.4800000062,419291.40000000526,133675.0800000009,978623.7516424424,869010.670625592,109613.08101685042,45554.27496135521,40082.84435868473,5471.43060267048,3820.011511366443,3392.142035913834,427.86947545260864,3380.56709067853,2976.1875000000036,404.37959067852626,1584345.0852058486,1334753.2445201958,249591.8406856528,0.0,1093209.2613003359,-1093209.2613003359,0.0,0.0,0.0,1584345.0852058486,2427962.5058205314,-843617.4206146828,184127.5307585517,189236.97336836957,-5109.4426098178665,1768472.6159644003,2617199.479188901,-848726.8632245006,1768472.6159644003,1523990.2178885653,244482.39807583508,0.0,1093209.2613003359,-1093209.2613003359,0.0,13665.115766254208,-13665.115766254208,111107.98771062256,97763.03502118237,13344.952689440193,15.916700971763925,26.770849315611272,-10.854148343847347
