gate,seed,wall_clock_seconds,event_count,override_events,proposed_override_events,mean_head_agreement,early_departures,emitter_to_emitter_legs,episode_vessel_fuel_eur,greedy_episode_vessel_fuel_eur,delta_episode_vessel_fuel_eur,episode_conditioning_eur,greedy_episode_conditioning_eur,delta_episode_conditioning_eur,episode_reconditioning_eur,greedy_episode_reconditioning_eur,delta_episode_reconditioning_eur,episode_loading_eur,greedy_episode_loading_eur,delta_episode_loading_eur,episode_unloading_eur,greedy_episode_unloading_eur,delta_episode_unloading_eur,episode_operating_cost_eur,greedy_episode_operating_cost_eur,delta_episode_operating_cost_eur,episode_vent_penalty_eur,greedy_episode_vent_penalty_eur,delta_episode_vent_penalty_eur,episode_storage_shortfall_penalty_eur,greedy_episode_storage_shortfall_penalty_eur,delta_episode_storage_shortfall_penalty_eur,episode_total_cost_eur,greedy_episode_total_cost_eur,delta_episode_total_cost_eur,terminal_cleanup_operating_cost_eur,greedy_terminal_cleanup_operating_cost_eur,delta_terminal_cleanup_operating_cost_eur,total_cost_eur,greedy_total_cost_eur,delta_total_cost_eur,operating_cost_eur,greedy_operating_cost_eur,delta_operating_cost_eur,vent_penalty_eur,greedy_vent_penalty_eur,delta_vent_penalty_eur,vented_t,greedy_vented_t,delta_vented_t,stored_t,greedy_stored_t,delta_stored_t,unit_cost_eur_per_t,greedy_unit_cost_eur_per_t,delta_unit_cost_eur_per_t
e3_nohour_full_sequence_168_s1,9000031,4.534107364248484,409,12,323,4.823960880195599,1,0,621049.440000005,509791.9200000052,111257.51999999973,1037023.519830462,991296.1028016104,45727.41702885169,47886.787085337695,46932.58187229298,954.2052130447119,4047.972243327991,3869.4774345292985,178.49480879869225,3546.1093862201656,3507.322500000005,38.78688622016034,1713553.828545353,1555397.4046084378,158156.42393691512,176381.7498942248,499268.9184761926,-322887.16858196777,0.0,0.0,0.0,1889935.5784395777,2054666.3230846303,-164730.7446450526,219933.86471955437,238351.0279126895,-18417.163193135115,2109869.4431591323,2293017.35099732,-183147.90783818765,1933487.6932649072,1793748.4325211272,139739.26074378006,176381.7498942248,499268.9184761926,-322887.16858196777,2204.7718736778115,6240.861480952415,-4036.0896072746036,116797.04167155529,114469.71188364139,2327.329787913899,18.064408250101845,20.03165128368782,-1.9672430335859765
e3_nohour_full_sequence_168_s1,9000032,2.4016370559111238,389,12,328,4.796915167095116,0,2,580780.8600000052,523906.68000000407,56874.18000000116,904211.0564552862,872609.8901637925,31601.16629149369,40506.847090669624,41249.47812830116,-742.6310376315378,3529.5450765086484,3406.191419085648,123.35365742300064,2976.1875000000045,3205.125000000004,-228.93749999999955,1532004.4961224697,1444377.3647111836,87627.13141128607,79897.38282946717,147597.08007642228,-67699.69724695511,0.0,0.0,0.0,1611901.8789519367,1591974.444787606,19927.43416433083,189523.28879031856,174236.81051761188,15286.478272706678,1801425.1677422554,1766211.2553052178,35213.912437037565,1721527.7849127883,1618614.1752287955,102913.6096839928,79897.38282946717,147597.08007642228,-67699.69724695511,998.7172853683397,1844.963500955279,-846.2462155869392,98797.18802602358,100608.4832397591,-1811.2952137355169,18.23356720707226,17.555291546302083,0.6782756607701756
e3_nohour_full_sequence_168_s1,9000033,3.2507609822787344,368,12,325,4.801630434782608,1,1,598216.7400000063,533870.0400000046,64346.7000000017,978101.4779998068,932749.1859035201,45352.29209628666,45186.891238805154,43105.35594725522,2081.5352915499316,3817.972840913573,3640.942314540279,177.03052637329392,3360.097840913573,3205.125000000006,154.97284091356687,1628683.1799204454,1516570.64916532,112112.53075512545,51218.82824425906,383151.50941582996,-331932.6811715709,0.0,0.0,0.0,1679902.0081647045,1899722.15858115,-219820.15041644545,208211.20580231596,207876.53585432417,334.6699479917879,1888113.2139670206,2107598.694435474,-219485.48046845337,1836894.3857227615,1724447.1850196442,112447.2007031173,51218.82824425906,383151.50941582996,-331932.6811715709,640.2353530532382,4789.393867697877,-4149.158514644639,110211.92985074442,105135.0145055005,5076.9153452439205,17.13165912731967,20.04659155989566,-2.9149324325759913
e3_nohour_full_sequence_168_s1,9000034,3.3069740287028253,411,12,357,4.854014598540146,0,1,572062.9200000057,508546.50000000285,63516.420000002894,938400.0,916455.4202540746,21944.57974592538,44291.46588884878,42937.94541789649,1353.520470952295,3663.0000000000064,3577.340371260317,85.6596287396892,3434.0625000000045,3205.125000000005,228.93749999999955,1561851.4483888545,1474722.3310432343,87129.11734562018,18850.426057881843,262004.67944717887,-243154.25338929702,0.0,0.0,0.0,1580701.8744467364,1736727.0104904133,-156025.13604367687,207870.70916294368,199225.9755994933,8644.733563450369,1788572.5836096802,1935952.9860899067,-147380.40248022648,1769722.1575517983,1673948.3066427277,95773.85090907058,18850.426057881843,262004.67944717887,-243154.25338929702,235.63032572352307,3275.0584930897367,-3039.4281673662135,108027.965582558,104726.69614121088,3301.269441347118,16.556570087796413,18.485763968716398,-1.9291938809199856
e3_nohour_full_sequence_168_s1,9000035,3.654863891657442,508,12,457,4.7047244094488185,0,4,462050.8200000052,484053.24000000494,-22002.41999999975,845632.3985321235,884710.3299529921,-39077.93142086861,38575.0834553526,44725.083455352586,-6149.999999999985,3300.8860569300596,3453.4249132755917,-152.53885634553217,2747.2500000000023,3205.125000000004,-457.8750000000018,1352306.4380444114,1420147.2033216252,-67840.76527721388,550614.0441675165,282922.74237956875,267691.30178794777,0.0,0.0,0.0,1902920.4822119279,1703069.945701194,199850.5365107339,256078.70743278792,181939.4867516455,74139.22068114241,2158999.1896447157,1885009.4324528396,273989.7571918762,1608385.1454771992,1602086.6900732708,6298.455403928412,550614.0441675165,282922.74237956875,267691.30178794777,6882.675552093955,3536.5342797446087,3346.1412723493463,94085.569403299,109085.56940329901,-15000.000000000015,22.94718736717358,17.280098942178068,5.667088424995512
e3_nohour_full_sequence_168_s1,9000036,3.3639300488866866,327,12,307,4.825688073394495,0,2,618143.4600000053,508131.36000000505,110012.10000000027,812475.7859997634,717852.1628473271,94623.62315243634,37613.92301220928,33266.2698997174,4347.6531124918765,3171.4607887011202,2802.1019528023844,369.35883589873583,2662.9440762829486,2435.8950000000013,227.04907628294723,1474067.5738769623,1264487.7896998518,209579.78417711053,540427.6536215816,2055838.1571652698,-1515410.5035436882,0.0,0.0,0.0,2014495.227498544,3320325.946865122,-1305830.719366578,314096.7617273915,213435.5826975821,100661.1790298094,2328591.989225935,3533761.529562704,-1205169.5403367686,1788164.3356043538,1477923.372397434,310240.96320691984,540427.6536215816,2055838.1571652698,-1515410.5035436882,6755.345670269772,25697.976964565867,-18942.631294296094,91741.27563953486,81137.24365784733,10604.031981687527,25.38216275055211,43.552891006064264,-18.170728255512156
e3_nohour_full_sequence_168_s1,9000037,1.8799748318269849,332,12,272,4.828313253012048,0,3,617313.1800000059,495677.16000000644,121636.01999999944,971133.310438858,985460.3769294086,-14327.066490550642,45712.97128549846,46558.290197615104,-845.3189121166433,3790.7729285353157,3846.6979547020733,-55.92502616675756,3332.8979285353157,3434.0625000000045,-101.16457146468883,1641283.1325814328,1534976.587581732,106306.54499970074,0.0,341708.7052254426,-341708.7052254426,0.0,0.0,0.0,1641283.1325814328,1876685.2928071746,-235402.1602257418,211491.6048934029,123800.62038750286,87690.98450590004,1852774.7374748357,2000485.9131946776,-147711.17571984185,1852774.7374748357,1658777.207969235,193997.5295056007,0.0,341708.7052254426,-341708.7052254426,0.0,4271.358815318033,-4271.358815318033,111495.05191584969,113556.80536003655,-2061.753444186863,16.617551233333725,17.6166096505802,-0.9990584172464771
e3_nohour_full_sequence_168_s1,9000038,3.815134826116264,367,12,313,4.84741144414169,0,1,629352.2400000053,532209.4800000057,97142.75999999966,1034585.9999999998,934722.6242499,99863.37575009977,47193.94968274024,47193.94968274025,-7.275957614183426e-12,4038.457500000007,3648.6455377529687,389.8119622470381,3434.0625000000045,3434.062500000004,4.547473508864641e-13,1718604.7096827454,1521208.761970399,197395.94771234645,20914.192665024064,192712.67507384662,-171798.48240882257,0.0,0.0,0.0,1739518.9023477694,1713921.4370442457,25597.4653035237,160873.67856555793,206374.53368219113,-45500.8551166332,1900392.5809133272,1920295.9707264367,-19903.389813109534,1879478.3882483034,1727583.29565259,151895.09259571345,20914.192665024064,192712.67507384662,-171798.48240882257,261.4274083128008,2408.9084384230837,-2147.481030110283,115107.19434814695,115107.19434814701,-5.820766091346741e-11,16.509763717856796,16.68267549740126,-0.17291177954446368
e3_nohour_full_sequence_168_s1,9000039,3.853236861061305,431,12,359,4.867749419953596,0,1,609425.5200000068,500658.8400000053,108766.68000000145,882318.255690599,812662.8487139633,69655.40697663568,43398.764482989434,36832.2939580883,6566.470524901131,3444.0875645723236,3172.190979155211,271.8965854171124,3205.125000000004,2747.2500000000027,457.87500000000136,1541791.7527381675,1356073.4236512124,185718.32908695517,56303.92174831773,751527.0306649255,-695223.1089166077,0.0,0.0,0.0,1598095.6744864853,2107600.454316138,-509504.7798296525,332120.6241120263,329963.2737352864,2157.3503767399234,1930216.2985985116,2437563.728051424,-507347.4294529124,1873912.3768501938,1686036.6973864988,187875.67946369504,56303.92174831773,751527.0306649255,-695223.1089166077,703.7990218539717,9394.08788331157,-8690.288861457597,105850.64508046194,89834.86331241042,16015.781768051515,18.23528139229823,27.13382798362517,-8.89854659132694
e3_nohour_full_sequence_168_s1,9000040,3.4653869681060314,446,12,376,4.773542600896861,0,1,530548.9200000048,419291.40000000526,111257.51999999955,960284.8422901679,869010.670625592,91274.17166457593,46682.82852596063,40082.84435868473,6599.984167275899,3748.4264464075964,3392.142035913834,356.28441049376215,3408.98110505874,2976.1875000000036,432.7936050587364,1544673.9983675997,1334753.2445201958,209920.75384740392,0.0,1093209.2613003359,-1093209.2613003359,0.0,0.0,0.0,1544673.9983675997,2427962.5058205314,-883288.5074529317,203871.89759456555,189236.97336836957,14634.924226195988,1748545.8959621652,2617199.479188901,-868653.5832267357,1748545.8959621652,1523990.2178885653,224555.67807359993,0.0,1093209.2613003359,-1093209.2613003359,0.0,13665.115766254208,-13665.115766254208,113860.55738039162,97763.03502118237,16097.522359209252,15.356906168310127,26.770849315611272,-11.413943147301145
