gate,seed,wall_clock_seconds,event_count,override_events,proposed_override_events,mean_head_agreement,early_departures,emitter_to_emitter_legs,episode_vessel_fuel_eur,greedy_episode_vessel_fuel_eur,delta_episode_vessel_fuel_eur,episode_conditioning_eur,greedy_episode_conditioning_eur,delta_episode_conditioning_eur,episode_reconditioning_eur,greedy_episode_reconditioning_eur,delta_episode_reconditioning_eur,episode_loading_eur,greedy_episode_loading_eur,delta_episode_loading_eur,episode_unloading_eur,greedy_episode_unloading_eur,delta_episode_unloading_eur,episode_operating_cost_eur,greedy_episode_operating_cost_eur,delta_episode_operating_cost_eur,episode_vent_penalty_eur,greedy_episode_vent_penalty_eur,delta_episode_vent_penalty_eur,episode_storage_shortfall_penalty_eur,greedy_episode_storage_shortfall_penalty_eur,delta_episode_storage_shortfall_penalty_eur,episode_total_cost_eur,greedy_episode_total_cost_eur,delta_episode_total_cost_eur,terminal_cleanup_operating_cost_eur,greedy_terminal_cleanup_operating_cost_eur,delta_terminal_cleanup_operating_cost_eur,total_cost_eur,greedy_total_cost_eur,delta_total_cost_eur,operating_cost_eur,greedy_operating_cost_eur,delta_operating_cost_eur,vent_penalty_eur,greedy_vent_penalty_eur,delta_vent_penalty_eur,vented_t,greedy_vented_t,delta_vented_t,stored_t,greedy_stored_t,delta_stored_t,unit_cost_eur_per_t,greedy_unit_cost_eur_per_t,delta_unit_cost_eur_per_t
e3_nohour_state_only_s1,9000031,4.392526115290821,435,10,395,4.8919540229885055,1,2,611086.0800000048,509791.9200000052,101294.15999999963,990727.4995130666,991296.1028016104,-568.6032885437598,48634.89576894492,46932.58187229298,1702.31389665194,3867.2579184957044,3869.4774345292985,-2.219516033594118,3653.842500000005,3507.322500000005,146.51999999999998,1657969.5757005122,1555397.4046084378,102572.17109207436,284877.1132030279,499268.9184761926,-214391.80527316465,0.0,0.0,0.0,1942846.6889035401,2054666.3230846303,-111819.63418109016,245177.4215410871,238351.0279126895,6826.393628397607,2188024.1104446272,2293017.35099732,-104993.24055269267,1903146.9972415993,1793748.4325211272,109398.56472047209,284877.1132030279,499268.9184761926,-214391.80527316465,3560.963915037847,6240.861480952415,-2679.897565914568,118621.69699742695,114469.71188364139,4151.9851137855585,18.44539545317825,20.03165128368782,-1.5862558305095718
e3_nohour_state_only_s1,9000032,2.2095016199164093,448,7,402,4.700892857142857,0,1,548815.0800000053,523906.68000000407,24908.400000001246,896331.8129532128,872609.8901637925,23721.922789420234,41376.22603067184,41249.47812830116,126.74790237067646,3498.788822301385,3406.191419085648,92.59740321573736,3040.9138223013883,3205.125000000004,-164.21117769861576,1493062.8216284926,1444377.3647111836,48685.45691730897,0.0,147597.08007642228,-147597.08007642228,0.0,0.0,0.0,1493062.8216284926,1591974.444787606,-98911.62315911334,206855.29823343045,174236.81051761188,32618.48771581857,1699918.119861923,1766211.2553052178,-66293.13544329489,1699918.119861923,1618614.1752287955,81303.94463312742,0.0,147597.08007642228,-147597.08007642228,0.0,1844.963500955279,-1844.963500955279,100917.62446505322,100608.4832397591,309.1412252941227,16.844610927703595,17.555291546302083,-0.710680618598488
e3_nohour_state_only_s1,9000033,3.147278882097453,436,10,388,4.791284403669724,0,3,566250.960000006,533870.0400000046,32380.92000000144,938940.9997145397,932749.1859035201,6191.813811019645,41821.72038241651,43105.35594725522,-1283.6355648387107,3665.111766788533,3640.942314540279,24.169452248253947,3109.5567667885357,3205.125000000006,-95.56823321147021,1553788.3486305396,1516570.64916532,37217.69946521963,136205.1895885084,383151.50941582996,-246946.31982732157,0.0,0.0,0.0,1689993.538219048,1899722.15858115,-209728.62036210205,254786.62994951213,207876.53585432417,46910.09409518796,1944780.1681685601,2107598.694435474,-162818.52626691386,1808574.9785800518,1724447.1850196442,84127.79356040759,136205.1895885084,383151.50941582996,-246946.31982732157,1702.5648698563555,4789.393867697877,-3086.8289978415214,102004.19605467435,105135.0145055005,-3130.8184508261475,19.06568791666331,20.04659155989566,-0.9809036432323488
e3_nohour_state_only_s1,9000034,3.23690599296242,482,11,444,4.7946058091286305,1,2,545493.9600000071,508546.50000000285,36947.46000000421,953141.7009229878,916455.4202540746,36686.280668913154,42213.256458211246,42937.94541789649,-724.6889596852416,3720.5435320555293,3577.340371260317,143.20316079521217,3140.5685320555294,3205.125000000005,-64.55646794447557,1547710.029445317,1474722.3310432343,72987.69840208278,0.0,262004.67944717887,-262004.67944717887,0.0,0.0,0.0,1547710.029445317,1736727.0104904133,-189016.98104509618,221890.05091825328,199225.9755994933,22664.075318759977,1769600.0803635705,1935952.9860899067,-166352.90572633618,1769600.0803635705,1673948.3066427277,95651.77372084279,0.0,262004.67944717887,-262004.67944717887,0.0,3275.0584930897367,-3275.0584930897367,102959.1620931981,104726.69614121088,-1767.534048012778,17.187397841891308,18.485763968716398,-1.2983661268250906
e3_nohour_state_only_s1,9000035,3.3425405179150403,496,10,462,4.772177419354839,1,0,537606.3000000063,484053.24000000494,53553.060000001395,918316.0163758876,884710.3299529921,33605.68642289541,41869.83420041187,44725.083455352586,-2855.249254940718,3584.603120188491,3453.4249132755917,131.17820691289944,3151.1481201884903,3205.125000000004,-53.976879811513754,1504527.9018166827,1420147.2033216252,84380.69849505741,0.0,282922.74237956875,-282922.74237956875,0.0,0.0,0.0,1504527.9018166827,1703069.945701194,-198542.04388451134,191227.0707947166,181939.4867516455,9287.584043071081,1695754.9726113994,1885009.4324528396,-189254.4598414402,1695754.9726113994,1602086.6900732708,93668.28253812855,0.0,282922.74237956875,-282922.74237956875,0.0,3536.5342797446087,-3536.5342797446087,102121.5468302728,109085.56940329901,-6964.022573026217,16.605261330694137,17.280098942178068,-0.6748376114839303
e3_nohour_state_only_s1,9000036,3.378433308098465,388,11,315,4.762886597938144,1,1,606104.4000000048,508131.36000000505,97973.03999999975,902013.2520458847,717852.1628473271,184161.08919855766,43365.51802952485,33266.2698997174,10099.248129807449,3520.966050984741,2802.1019528023844,718.8640981823564,3091.157339462358,2435.8950000000013,655.2623394623565,1558095.2934658616,1264487.7896998518,293607.5037660098,29953.18526057549,2055838.1571652698,-2025884.9719046943,0.0,0.0,0.0,1588048.478726437,3320325.946865122,-1732277.4681386848,255159.278886602,213435.5826975821,41723.69618901989,1843207.757613039,3533761.529562704,-1690553.7719496647,1813254.5723524636,1477923.372397434,335331.19995502965,29953.18526057549,2055838.1571652698,-2025884.9719046943,374.4148157571936,25697.976964565867,-25323.562148808673,105769.55616957275,81137.24365784733,24632.312511725424,17.426637913256968,43.552891006064264,-26.126253092807296
e3_nohour_state_only_s1,9000037,2.021150243934244,528,11,453,4.759469696969697,0,3,508131.3600000061,495677.16000000644,12454.199999999662,951549.9646335399,985460.3769294086,-33910.41229586874,43996.774702386996,46558.290197615104,-2561.515495228108,3714.3302647619985,3846.6979547020733,-132.3676899400748,3205.125000000004,3434.0625000000045,-228.93750000000045,1510597.554600695,1534976.587581732,-24379.032981037162,0.0,341708.7052254426,-341708.7052254426,0.0,0.0,0.0,1510597.554600695,1876685.2928071746,-366087.7382064797,273679.08287202,123800.62038750286,149878.46248451716,1784276.637472715,2000485.9131946776,-216209.27572196256,1784276.637472715,1658777.207969235,125499.42950347997,0.0,341708.7052254426,-341708.7052254426,0.0,4271.358815318033,-4271.358815318033,107309.20659118776,113556.80536003655,-6247.598768848795,16.627432949627643,17.6166096505802,-0.9891767009525587
e3_nohour_state_only_s1,9000038,3.6539118378423154,468,12,412,4.767094017094017,0,3,539266.8600000072,532209.4800000057,7057.380000001518,997049.9999999991,934722.6242499,62327.375750099076,46153.581963872195,47193.94968274025,-1040.3677188680522,3891.937500000006,3648.6455377529687,243.2919622470372,3434.062500000004,3434.062500000004,0.0,1589796.4419638787,1521208.761970399,68587.67999347975,78941.48506108334,192712.67507384662,-113771.19001276328,0.0,0.0,0.0,1668737.927024962,1713921.4370442457,-45183.51001928374,202715.80649938068,206374.53368219113,-3658.7271828104567,1871453.7335243425,1920295.9707264367,-48842.23720209417,1792512.2484632593,1727583.29565259,64928.95281066932,78941.48506108334,192712.67507384662,-113771.19001276328,986.7685632635416,2408.9084384230837,-1422.139875159542,112569.71210700538,115107.19434814701,-2537.4822411416244,16.624842495336534,16.68267549740126,-0.05783300206472575
e3_nohour_state_only_s1,9000039,3.540985783096403,442,11,387,4.864253393665158,2,1,606104.4000000056,500658.8400000053,105445.56000000029,918024.8953290394,812662.8487139633,105362.04661507613,44611.59649371686,36832.2939580883,7779.302535628558,3583.4667429563874,3172.190979155211,411.27576380117625,3316.5126384627097,2747.2500000000027,569.262638462707,1575640.8712041809,1356073.4236512124,219567.44755296852,418482.1120380454,751527.0306649255,-333044.91862688004,0.0,0.0,0.0,1994122.9832422263,2107600.454316138,-113477.47107391153,217146.33708692095,329963.2737352864,-112816.93664836543,2211269.3203291474,2437563.728051424,-226294.40772227664,1792787.2082911017,1686036.6973864988,106750.51090460294,418482.1120380454,751527.0306649255,-333044.91862688004,5231.026400475566,9394.08788331157,-4163.061482836003,108808.77193589482,89834.86331241042,18973.9086234844,20.322528055292516,27.13382798362517,-6.811299928332655
e3_nohour_state_only_s1,9000040,3.0901677762158215,393,9,355,4.7150127226463106,0,4,551721.0600000027,419291.40000000526,132429.65999999747,939556.8151567823,869010.670625592,70546.14453119028,46735.68110256706,40082.84435868473,6652.836743882333,3667.515573230285,3392.142035913834,275.3735373164509,3505.50715743262,2976.1875000000036,529.3196574326162,1545186.578990015,1334753.2445201958,210433.3344698192,173636.30529995,1093209.2613003359,-919572.9560003858,0.0,0.0,0.0,1718822.884289965,2427962.5058205314,-709139.6215305664,183288.2758607741,189236.97336836957,-5948.697507595469,1902111.1601507391,2617199.479188901,-715088.3190381618,1728474.854850789,1523990.2178885653,204484.6369622238,173636.30529995,1093209.2613003359,-919572.9560003858,2170.453816249375,13665.115766254208,-11494.661950004833,113989.46610382217,97763.03502118237,16226.4310826398,16.68672751233247,26.770849315611272,-10.084121803278801
