gate,seed,event_count,override_events,proposed_override_events,mean_head_agreement,early_departures,emitter_to_emitter_legs,episode_vessel_fuel_eur,greedy_episode_vessel_fuel_eur,delta_episode_vessel_fuel_eur,episode_conditioning_eur,greedy_episode_conditioning_eur,delta_episode_conditioning_eur,episode_reconditioning_eur,greedy_episode_reconditioning_eur,delta_episode_reconditioning_eur,episode_loading_eur,greedy_episode_loading_eur,delta_episode_loading_eur,episode_unloading_eur,greedy_episode_unloading_eur,delta_episode_unloading_eur,episode_operating_cost_eur,greedy_episode_operating_cost_eur,delta_episode_operating_cost_eur,episode_vent_penalty_eur,greedy_episode_vent_penalty_eur,delta_episode_vent_penalty_eur,episode_storage_shortfall_penalty_eur,greedy_episode_storage_shortfall_penalty_eur,delta_episode_storage_shortfall_penalty_eur,episode_total_cost_eur,greedy_episode_total_cost_eur,delta_episode_total_cost_eur,terminal_cleanup_operating_cost_eur,greedy_terminal_cleanup_operating_cost_eur,delta_terminal_cleanup_operating_cost_eur,total_cost_eur,greedy_total_cost_eur,delta_total_cost_eur,operating_cost_eur,greedy_operating_cost_eur,delta_operating_cost_eur,vent_penalty_eur,greedy_vent_penalty_eur,delta_vent_penalty_eur,vented_t,greedy_vented_t,delta_vented_t,stored_t,greedy_stored_t,delta_stored_t,unit_cost_eur_per_t,greedy_unit_cost_eur_per_t,delta_unit_cost_eur_per_t
formal_9000031_9000060_cost_fields_run01,9000031,474,12,404,4.829113924050633,0,2,578705.1600000059,509791.9200000052,68913.24000000063,957168.0000000005,991296.1028016104,-34128.1028016099,44452.45173271492,46932.58187229298,-2480.130139578061,3736.2600000000025,3869.4774345292985,-133.21743452929604,3434.0625000000055,3507.322500000005,-73.25999999999976,1587495.934232721,1555397.4046084378,32098.529624283314,826047.9888551784,499268.9184761926,326779.0703789858,0.0,0.0,0.0,2413543.9230878996,2054666.3230846303,358877.60000326927,265377.0881499801,238351.0279126895,27026.06023729063,2678921.0112378797,2293017.35099732,385903.66024055984,1852873.0223827013,1793748.4325211272,59124.58986157412,826047.9888551784,499268.9184761926,326779.0703789858,10325.599860689726,6240.861480952415,4084.7383797373113,108420.61398223153,114469.71188364139,-6049.097901409856,24.70859472975235,20.03165128368782,4.676943446064527
formal_9000031_9000060_cost_fields_run01,9000032,414,10,374,4.915458937198068,0,1,572893.2000000046,523906.68000000407,48986.52000000054,914426.4512373678,872609.8901637925,41816.561073575285,43581.84709066957,41249.47812830116,2332.3689623684113,3569.420386703412,3406.191419085648,163.22896761776428,3205.1250000000055,3205.125000000004,1.3642420526593924e-12,1537676.0437147454,1444377.3647111836,93298.67900356185,68064.44708231288,147597.08007642228,-79532.6329941094,0.0,0.0,0.0,1605740.4907970582,1591974.444787606,13766.046009452315,137752.12447430412,174236.81051761188,-36484.68604330777,1743492.6152713622,1766211.2553052178,-22718.64003385557,1675428.1681890495,1618614.1752287955,56813.99296025396,68064.44708231288,147597.08007642228,-79532.6329941094,850.8055885289108,1844.963500955279,-994.1579124263682,106297.18802602366,100608.4832397591,5688.70478626457,16.402057736885013,17.555291546302083,-1.1532338094170704
formal_9000031_9000060_cost_fields_run01,9000033,470,12,428,4.840425531914893,0,1,543418.2600000065,533870.0400000046,9548.220000001951,1001771.5899953017,932749.1859035201,69022.40409178159,46539.932956622564,43105.35594725522,3434.577009367342,3910.368003146622,3640.942314540279,269.4256886063431,3541.2376240792933,3205.125000000006,336.11262407928734,1599181.3885791565,1516570.64916532,82610.7394138365,0.0,383151.50941582996,-383151.50941582996,0.0,0.0,0.0,1599181.3885791565,1899722.15858115,-300540.7700019935,154181.26046505134,207876.53585432417,-53695.275389272836,1753362.6490442078,2107598.694435474,-354236.04539126623,1753362.6490442078,1724447.1850196442,28915.464024563553,0.0,383151.50941582996,-383151.50941582996,0.0,4789.393867697877,-4789.393867697877,113512.03160151847,105135.0145055005,8377.017096017968,15.446491656491089,20.04659155989566,-4.600099903404571
formal_9000031_9000060_cost_fields_run01,9000034,466,12,398,4.94206008583691,0,2,537191.160000004,508546.50000000285,28644.66000000114,984975.819529514,916455.4202540746,68520.39927543933,44594.796332022095,42937.94541789649,1656.8509141256072,3844.8065078182167,3577.340371260317,267.4661365578995,3412.2260203969286,3205.125000000005,207.10102039692356,1574018.8083897552,1474722.3310432343,99296.47734652087,0.0,262004.67944717887,-262004.67944717887,0.0,0.0,0.0,1574018.8083897552,1736727.0104904133,-162708.2021006581,148670.45197218886,199225.9755994933,-50555.52362730444,1722689.260361944,1935952.9860899067,-213263.72572796256,1722689.260361944,1673948.3066427277,48740.9537192164,0.0,262004.67944717887,-262004.67944717887,0.0,3275.0584930897367,-3275.0584930897367,108767.79593176114,104726.69614121088,4041.099790550259,15.8382290052354,18.485763968716398,-2.6475349634809984
formal_9000031_9000060_cost_fields_run01,9000035,466,12,414,4.736051502145923,2,3,536360.8800000045,484053.24000000494,52307.63999999961,913468.1803067902,884710.3299529921,28757.850353798014,45004.28084417222,44725.083455352586,279.1973888196371,3565.679821466087,3453.4249132755917,112.25490819049537,3336.742321466087,3205.125000000004,131.617321466083,1501735.7632938991,1420147.2033216252,81588.55997227388,0.0,282922.74237956875,-282922.74237956875,0.0,0.0,0.0,1501735.7632938991,1703069.945701194,-201334.18240729487,188207.249316092,181939.4867516455,6267.762564446486,1689943.0126099912,1885009.4324528396,-195066.41984284832,1689943.0126099912,1602086.6900732708,87856.32253672043,0.0,282922.74237956875,-282922.74237956875,0.0,3536.5342797446087,-3536.5342797446087,109766.53864432243,109085.56940329901,680.9692410234129,15.395793959449973,17.280098942178068,-1.8843049827280947
formal_9000031_9000060_cost_fields_run01,9000036,401,11,329,4.842892768079801,1,2,594895.6200000049,508131.36000000505,86764.25999999983,863445.2909956633,717852.1628473271,145593.1281483362,42141.86450282336,33266.2698997174,8875.594603105958,3370.4178398520035,2802.1019528023844,568.315887049619,3141.480339852003,2435.8950000000013,705.5853398520017,1506994.6736781956,1264487.7896998518,242506.8839783438,279986.76237240055,2055838.1571652698,-1775851.3947928692,0.0,0.0,0.0,1786981.4360505962,3320325.946865122,-1533344.5108145257,281177.1675555151,213435.5826975821,67741.58485793296,2068158.6036061114,3533761.529562704,-1465602.9259565924,1788171.8412337108,1477923.372397434,310248.4688362768,279986.76237240055,2055838.1571652698,-1775851.3947928692,3499.834529655007,25697.976964565867,-22198.14243491086,102785.03537273989,81137.24365784733,21647.791714892563,20.12120340384314,43.552891006064264,-23.431687602221125
formal_9000031_9000060_cost_fields_run01,9000037,412,10,377,4.827669902912621,0,1,567911.520000006,495677.16000000644,72234.35999999952,1025934.2921874318,985460.3769294086,40473.91525802319,48709.90255626827,46558.290197615104,2151.6123586531685,4004.685967905546,3846.6979547020733,157.98801320347275,3663.000000000005,3434.0625000000045,228.93750000000045,1650223.4007116116,1534976.587581732,115246.81312987953,0.0,341708.7052254426,-341708.7052254426,0.0,0.0,0.0,1650223.4007116116,1876685.2928071746,-226461.892095563,122844.45676253979,123800.62038750286,-956.1636249630683,1773067.8574741513,2000485.9131946776,-227418.05572052626,1773067.8574741513,1658777.207969235,114290.64950491628,0.0,341708.7052254426,-341708.7052254426,0.0,4271.358815318033,-4271.358815318033,118804.6403811421,113556.80536003655,5247.835021105551,14.924230667976424,17.6166096505802,-2.6923789826037776
formal_9000031_9000060_cost_fields_run01,9000038,411,12,355,4.890510948905109,1,2,576214.3200000059,532209.4800000057,44004.8400000002,1017756.2079237361,934722.6242499,83033.58367383608,48462.64226502887,47193.94968274025,1268.692582288626,3972.763202924816,3648.6455377529687,324.1176651718474,3528.518209937469,3434.062500000004,94.45570993746469,1649934.4516016329,1521208.761970399,128725.68963123392,0.0,192712.67507384662,-192712.67507384662,0.0,0.0,0.0,1649934.4516016329,1713921.4370442457,-63986.985442612786,167364.7443590615,206374.53368219113,-39009.78932312963,1817299.1959606945,1920295.9707264367,-102996.77476574224,1817299.1959606945,1727583.29565259,89715.90030810446,0.0,192712.67507384662,-192712.67507384662,0.0,2408.9084384230837,-2408.9084384230837,118201.56650007043,115107.19434814701,3094.372151923424,15.37457793302267,16.68267549740126,-1.3080975643785901
formal_9000031_9000060_cost_fields_run01,9000039,355,12,321,4.845070422535211,0,2,635164.2000000053,500658.8400000053,134505.36,991177.9397680594,812662.8487139633,178515.09105409612,44474.63198604411,36832.2939580883,7642.338027955804,3869.0161907186757,3172.190979155211,696.8252115634646,3434.062500000004,2747.2500000000027,686.8125000000014,1678119.8504448275,1356073.4236512124,322046.4267936151,178923.75462759467,751527.0306649255,-572603.2760373307,0.0,0.0,0.0,1857043.6050724222,2107600.454316138,-250556.84924371564,175611.9168392932,329963.2737352864,-154351.35689599317,2032655.5219117154,2437563.728051424,-404908.20613970864,1853731.7672841207,1686036.6973864988,167695.06989762187,178923.75462759467,751527.0306649255,-572603.2760373307,2236.546932844934,9394.08788331157,-7157.540950466635,108474.71216108315,89834.86331241042,18639.84884867273,18.738519618224526,27.13382798362517,-8.395308365400645
formal_9000031_9000060_cost_fields_run01,9000040,416,12,376,4.875,0,1,545078.8200000043,419291.40000000526,125787.419999999,942627.3120683321,869010.670625592,73616.6414427401,46301.18246876536,40082.84435868473,6218.338110080629,3679.501112645246,3392.142035913834,287.35907673141173,3380.5670906785303,2976.1875000000036,404.3795906785267,1541067.3827404256,1334753.2445201958,206314.13822022988,0.0,1093209.2613003359,-1093209.2613003359,0.0,0.0,0.0,1541067.3827404256,2427962.5058205314,-886895.1230801058,251068.21322503473,189236.97336836957,61831.23985666517,1792135.5959654604,2617199.479188901,-825063.8832234405,1792135.5959654604,1523990.2178885653,268145.37807689514,0.0,1093209.2613003359,-1093209.2613003359,0.0,13665.115766254208,-13665.115766254208,112929.71333845197,97763.03502118237,15166.678317269601,15.869477952134744,26.770849315611272,-10.901371363476528
