gate,seed,wall_clock_seconds,event_count,override_events,proposed_override_events,mean_head_agreement,early_departures,emitter_to_emitter_legs,episode_vessel_fuel_eur,greedy_episode_vessel_fuel_eur,delta_episode_vessel_fuel_eur,episode_conditioning_eur,greedy_episode_conditioning_eur,delta_episode_conditioning_eur,episode_reconditioning_eur,greedy_episode_reconditioning_eur,delta_episode_reconditioning_eur,episode_loading_eur,greedy_episode_loading_eur,delta_episode_loading_eur,episode_unloading_eur,greedy_episode_unloading_eur,delta_episode_unloading_eur,episode_operating_cost_eur,greedy_episode_operating_cost_eur,delta_episode_operating_cost_eur,episode_vent_penalty_eur,greedy_episode_vent_penalty_eur,delta_episode_vent_penalty_eur,episode_storage_shortfall_penalty_eur,greedy_episode_storage_shortfall_penalty_eur,delta_episode_storage_shortfall_penalty_eur,episode_total_cost_eur,greedy_episode_total_cost_eur,delta_episode_total_cost_eur,terminal_cleanup_operating_cost_eur,greedy_terminal_cleanup_operating_cost_eur,delta_terminal_cleanup_operating_cost_eur,total_cost_eur,greedy_total_cost_eur,delta_total_cost_eur,operating_cost_eur,greedy_operating_cost_eur,delta_operating_cost_eur,vent_penalty_eur,greedy_vent_penalty_eur,delta_vent_penalty_eur,vented_t,greedy_vented_t,delta_vented_t,stored_t,greedy_stored_t,delta_stored_t,unit_cost_eur_per_t,greedy_unit_cost_eur_per_t,delta_unit_cost_eur_per_t
e4_nohour_one_shot_high_s0,9000031,4.25835290318355,317,12,258,4.640378548895899,0,1,661318.0200000063,585347.4000000049,75970.62000000139,962877.7890934055,938400.0000000005,24477.78909340501,46569.37143966316,47615.052461273815,-1045.6810216106533,3758.5478915698495,3663.000000000002,95.5478915698477,3431.9303915698515,3663.0000000000055,-231.06960843015395,1677955.6588162147,1578688.4524612792,99267.20635493542,610457.2506368615,706725.9914483359,-96268.74081147439,0.0,0.0,0.0,2288412.9094530763,2285414.4439096153,2998.465543461032,332543.6347199772,313067.04927811306,19476.585441864154,2620956.5441730535,2598481.4931877283,22475.050985325128,2010499.2935361918,1891755.5017393923,118743.79179679952,610457.2506368615,706725.9914483359,-96268.74081147439,7630.715632960775,8834.07489310419,-1203.3592601434157,113583.83277966618,116134.27429578982,-2550.4415161236393,23.075084543565943,22.37480286456597,0.7002816789999713
e4_nohour_one_shot_high_s0,9000032,2.2845449070446193,363,11,269,4.710743801652892,0,0,584101.9800000055,525982.3800000033,58119.60000000219,950702.1622314792,873577.859909391,77124.30232208816,45143.66088605318,39421.00234181118,5722.658544241996,3711.020908198972,3409.9698431885117,301.0510650104602,3528.9520218223647,3147.127500000004,381.82452182236057,1587187.7760475592,1445538.3395943937,141649.4364531655,272573.5280291592,983877.0782508614,-711303.5502217022,0.0,0.0,0.0,1859761.3040767184,2429415.417845255,-569654.1137685368,183064.35812962078,183327.80833274501,-263.45020312423003,2042825.6622063392,2612743.226178,-569917.563971661,1770252.13417718,1628866.1479271387,141385.9862500413,272573.5280291592,983877.0782508614,-711303.5502217022,3407.16910036449,12298.463478135758,-8891.294377771268,110106.48996598356,96148.78619953955,13957.703766444014,18.55318122335434,27.173959541784757,-8.620778318430418
e4_nohour_one_shot_high_s0,9000033,3.290641271043569,386,12,361,4.658031088082901,0,2,584932.2600000061,555457.3200000052,29474.940000000875,956145.283423217,956757.2636373435,-611.9802141265245,45182.02064053375,44467.54982143489,714.4708190988604,3732.2678742319354,3734.65671004219,-2.388835810254477,3359.735218932509,3434.0625000000045,-74.32728106749573,1593351.5671569214,1563850.852668826,29500.71448809537,138615.39839736774,517523.2606073027,-378907.862209935,0.0,0.0,0.0,1731966.965554289,2081374.1132761287,-349407.1477218396,282206.76353152306,245869.21763050012,36337.54590102294,2014173.729085812,2327243.3309066286,-313069.6018208165,1875558.3306884444,1809720.0702993262,65838.26038911822,138615.39839736774,517523.2606073027,-378907.862209935,1732.692479967097,6469.040757591288,-4736.348277624191,110200.05034276526,108457.43858886565,1742.611753899604,18.277430208252575,21.457664510487025,-3.1802343022344495
e4_nohour_one_shot_high_s0,9000034,3.502505626063794,393,12,359,4.819338422391858,0,1,571232.6400000041,491110.6200000058,80122.01999999827,1073218.616043412,950911.9999999992,122306.61604341271,49464.26646815322,46077.42129937377,3386.8451687794513,4189.2580888395405,3711.840000000003,477.41808883953763,3711.840000000005,3663.0000000000045,48.8400000000006,1701816.6206004089,1495474.8812993788,206341.73930103006,101717.6031559424,812264.8320181426,-710547.2288622002,0.0,0.0,0.0,1803534.2237563513,2307739.7133175214,-504205.4895611701,170820.15209387967,258271.84887260728,-87451.69677872761,1974354.375850231,2566011.5621901285,-591657.1863398976,1872636.7726942885,1753746.7301719862,118890.04252230236,101717.6031559424,812264.8320181426,-710547.2288622002,1271.4700394492802,10153.31040022678,-8881.8403607775,120644.55236134931,112383.95438871664,8260.597972632677,16.365052024369326,22.832543810611423,-6.467491786242096
e4_nohour_one_shot_high_s0,9000035,3.3981134151108563,386,12,376,4.634715025906735,0,0,564175.2600000055,504395.10000000545,59780.16000000003,923933.9853739742,879750.0000000002,44183.98537397396,41650.08345535259,45310.1376681156,-3660.0542127630106,3606.5325963606892,3434.062500000002,172.47009636068742,2976.1875000000036,3434.062500000004,-457.87500000000045,1536342.048925693,1436323.3626681212,100018.68625757168,250200.7073747903,334993.7500829431,-84793.04270815282,0.0,0.0,0.0,1786542.7563004831,1771317.1127510644,15225.643549418775,258410.5435384551,269104.2778353944,-10693.734296939278,2044953.2998389383,2040421.3905864586,4531.909252479672,1794752.592464148,1705427.6405035155,89324.95196063258,250200.7073747903,334993.7500829431,-84793.04270815282,3127.5088421848777,4187.421876036788,-1059.9130338519099,101585.56940329906,110512.530897843,-8926.961494543939,20.130352291676253,18.463258184473304,1.6670941072029493
e4_nohour_one_shot_high_s0,9000036,3.00136123271659,266,10,208,4.7593984962406015,2,0,665884.5600000063,538021.440000004,127863.12000000232,846195.01881315,713472.0862467332,132722.9325664168,40788.28769797003,32596.287589571875,8192.000108398155,3303.0822185769093,2785.004531033444,518.0776875434653,3074.1447185769102,2289.3750000000027,784.7697185769075,1559245.0934482801,1289164.1933673425,270080.90008093766,1310497.863841479,2953433.1130864504,-1642935.2492449714,0.0,0.0,0.0,2869742.957289759,4242597.306453792,-1372854.3491640333,241307.46806248516,209103.1194121928,32204.348650292348,3111050.425352244,4451700.425865985,-1340650.0005137413,1800552.5615107652,1498267.3127795353,302285.2487312299,1310497.863841479,2953433.1130864504,-1642935.2492449714,16381.223298018496,36917.91391358062,-20536.690615562122,99483.62853163425,79503.14046237044,19980.48806926381,31.271983855745454,55.994019858536475,-24.72203600279102
e4_nohour_one_shot_high_s0,9000037,1.9595361882820725,348,11,289,4.681034482758621,0,4,611501.2200000051,512697.90000000544,98803.31999999966,1073151.0959674607,997049.9999999993,76101.09596746136,52035.547958443974,46093.88020424196,5941.667754202012,4188.994527417746,3891.9375000000045,297.05702741774166,3803.621472295469,3434.062500000005,369.5589722954642,1744680.4799256227,1563167.7802042468,181512.69972137595,172900.28456107643,1282859.124031725,-1109958.8394706487,0.0,0.0,0.0,1917580.7644866991,2846026.904235972,-928446.139749273,214911.7759003441,188399.06267099932,26512.71322934478,2132492.5403870433,3034425.9669069713,-901933.426519928,1959592.2558259668,1751566.842875246,208025.41295072087,172900.28456107643,1282859.124031725,-1109958.8394706487,2161.253557013455,16035.739050396556,-13874.485493383101,126915.97063035124,112424.09805912641,14491.872571224827,16.802397127765964,26.990885577850907,-10.188488450084943
e4_nohour_one_shot_high_s0,9000038,3.352501383982599,349,11,265,4.899713467048711,0,1,636824.7600000058,513528.1800000042,123296.58000000165,983392.6833384315,819392.8196515567,163999.86368687486,48648.16621540414,37219.48040403216,11428.685811371979,3838.6268106017474,3198.4611022843733,640.1657083173741,3604.388567363035,2747.2500000000023,857.1385673630325,1676308.6249318065,1376086.1911578772,300222.43377392925,751149.8308759038,2543741.698161035,-1792591.867285131,0.0,0.0,0.0,2427458.45580771,3919827.8893189123,-1492369.4335112022,200535.69604938914,183377.88980655995,17157.80624282919,2627994.151857099,4103205.779125472,-1475211.627268373,1876844.3209811957,1559464.0809644372,317380.24001675844,751149.8308759038,2543741.698161035,-1792591.867285131,9389.372885948795,31796.771227012927,-22407.39834106413,118654.06394001021,90779.22049763944,27874.843442370766,22.1483703515269,45.19983490310064,-23.051464551573737
e4_nohour_one_shot_high_s0,9000039,3.2852315101772547,278,11,228,4.823741007194244,0,2,685811.280000007,623125.140000006,62686.14000000106,879749.9999999999,776717.5399498346,103032.4600501653,41548.42226617579,37761.59091149216,3786.831354683629,3434.0625000000045,3031.8801671315505,402.18233286845407,3205.1250000000045,2976.1875000000027,228.93750000000182,1613748.8897661825,1443612.3385284643,170136.5512377182,357917.7285633746,1381790.7428725054,-1023873.0143091308,0.0,0.0,0.0,1971666.6183295571,2825403.08140097,-853736.4630714129,320004.97833631263,315946.29013136384,4058.6882049487904,2291671.59666587,3141349.371532334,-849677.7748664641,1933753.868102495,1759558.628659828,174195.239442667,357917.7285633746,1381790.7428725054,-1023873.0143091308,4473.971607042182,17272.384285906326,-12798.412678864144,101337.61528335561,92101.44124754185,9236.174035813761,22.614224641639755,34.10749418230385,-11.493269540664098
e4_nohour_one_shot_high_s0,9000040,3.4314955631271005,311,12,224,4.742765273311897,0,1,616067.760000007,544248.5400000063,71819.22000000067,996446.8640530544,1053425.314211784,-56978.45015872957,49232.8383379038,48841.35007178134,391.48826612246194,3889.5831873682278,4111.995871651501,-222.4126842832734,3660.645687368226,3663.0000000000045,-2.354312631778612,1669297.6912657018,1654290.200155223,15007.49111047876,925328.0409750578,987338.7079620959,-62010.6669870381,0.0,0.0,0.0,2594625.73224076,2641628.908117319,-47003.175876559224,279849.3980096303,196269.13986237333,83580.258147257,2874475.13025039,2837898.0479796925,36577.08227069769,1949147.0892753322,1850559.3400175963,98587.74925773591,925328.0409750578,987338.7079620959,-62010.6669870381,11566.60051218822,12341.733849526197,-775.1333373379766,120080.09350708265,119125.24407751556,954.8494295670971,23.93798211092204,23.822809933829426,0.11517217709261374
