gate,seed,event_count,override_events,proposed_override_events,mean_head_agreement,early_departures,emitter_to_emitter_legs,episode_vessel_fuel_eur,greedy_episode_vessel_fuel_eur,delta_episode_vessel_fuel_eur,episode_conditioning_eur,greedy_episode_conditioning_eur,delta_episode_conditioning_eur,episode_reconditioning_eur,greedy_episode_reconditioning_eur,delta_episode_reconditioning_eur,episode_loading_eur,greedy_episode_loading_eur,delta_episode_loading_eur,episode_unloading_eur,greedy_episode_unloading_eur,delta_episode_unloading_eur,episode_operating_cost_eur,greedy_episode_operating_cost_eur,delta_episode_operating_cost_eur,episode_vent_penalty_eur,greedy_episode_vent_penalty_eur,delta_episode_vent_penalty_eur,episode_storage_shortfall_penalty_eur,greedy_episode_storage_shortfall_penalty_eur,delta_episode_storage_shortfall_penalty_eur,episode_total_cost_eur,greedy_episode_total_cost_eur,delta_episode_total_cost_eur,terminal_cleanup_operating_cost_eur,greedy_terminal_cleanup_operating_cost_eur,delta_terminal_cleanup_operating_cost_eur,total_cost_eur,greedy_total_cost_eur,delta_total_cost_eur,operating_cost_eur,greedy_operating_cost_eur,delta_operating_cost_eur,vent_penalty_eur,greedy_vent_penalty_eur,delta_vent_penalty_eur,vented_t,greedy_vented_t,delta_vented_t,stored_t,greedy_stored_t,delta_stored_t,unit_cost_eur_per_t,greedy_unit_cost_eur_per_t,delta_unit_cost_eur_per_t
one_shot_high_s1,9000031,335,11,239,4.695522388059701,1,1,646788.1200000074,585347.4000000049,61440.72000000253,1056829.7446483003,938400.0000000005,118429.74464829988,47398.331504988935,47615.052461273815,-216.72095628488023,4125.2849047812515,3663.000000000002,462.2849047812497,3509.356006757531,3663.0000000000055,-153.6439932424746,1758650.8370648355,1578688.4524612792,179962.38460355625,273807.2345163852,706725.9914483359,-432918.75693195075,0.0,0.0,0.0,2032458.0715812207,2285414.4439096153,-252956.37232839456,264320.67292469606,313067.04927811306,-48746.376353417,2296778.7445059167,2598481.4931877283,-301702.7486818116,2022971.5099895315,1891755.5017393923,131216.0082501392,273807.2345163852,706725.9914483359,-432918.75693195075,3422.5904314548134,8834.07489310419,-5411.484461649377,115605.68659753409,116134.27429578982,-528.5876982557238,19.867350924542738,22.37480286456597,-2.507451940023234
one_shot_high_s1,9000032,364,11,339,4.667582417582418,0,1,580365.7200000036,525982.3800000033,54383.34000000032,896196.7399455496,873577.859909391,22618.880036158604,43581.84709066966,39421.00234181118,4160.844748858479,3498.261571206898,3409.9698431885117,88.2917280183865,3205.125000000004,3147.127500000004,57.997499999999945,1526847.6936074297,1445538.3395943937,81309.354013036,138687.55576503553,983877.0782508614,-845189.5224858258,0.0,0.0,0.0,1665535.2493724653,2429415.417845255,-763880.1684727899,283849.09169890825,183327.80833274501,100521.28336616323,1949384.3410713736,2612743.226178,-663358.8851066267,1810696.785306338,1628866.1479271387,181830.63737919927,138687.55576503553,983877.0782508614,-845189.5224858258,1733.5944470629447,12298.463478135758,-10564.869031072813,106297.18802602358,96148.78619953955,10148.401826484027,18.33900197429613,27.173959541784757,-8.834957567488626
one_shot_high_s1,9000033,481,12,444,4.798336798336798,0,5,544248.5400000067,555457.3200000052,-11208.779999998515,866790.5842574792,956757.2636373435,-89966.67937986436,41003.44708040731,44467.54982143489,-3464.1027410275783,3383.4760338183573,3734.65671004219,-351.1806762238325,3327.9390715596833,3434.0625000000045,-106.12342844032128,1458753.9864432712,1563850.852668826,-105096.86622555484,707642.9121510559,517523.2606073027,190119.65154375316,0.0,0.0,0.0,2166396.8985943273,2081374.1132761287,85022.78531819861,310090.29964338575,245869.21763050012,64221.08201288563,2476487.198237713,2327243.3309066286,149243.86733108433,1768844.2860866569,1809720.0702993262,-40875.78421266936,707642.9121510559,517523.2606073027,190119.65154375316,8845.536401888201,6469.040757591288,2376.4956442969133,100008.40751318853,108457.43858886565,-8449.031075677121,24.762790047538033,21.457664510487025,3.3051255370510084
one_shot_high_s1,9000034,321,12,283,4.654205607476635,0,1,597801.6000000037,491110.6200000058,106690.97999999789,997050.0,950911.9999999992,46138.000000000815,48436.503641651674,46077.42129937377,2359.0823422779067,3891.9375000000055,3711.840000000003,180.09750000000258,3883.200624188504,3663.0000000000045,220.20062418849966,1651063.241765844,1495474.8812993788,155588.36046646512,101717.6031559424,812264.8320181426,-710547.2288622002,0.0,0.0,0.0,1752780.8449217863,2307739.7133175214,-554958.868395735,285089.9509305624,258271.84887260728,26818.10205795511,2037870.7958523487,2566011.5621901285,-528140.7663377798,1936153.1926964063,1753746.7301719862,182406.46252442012,101717.6031559424,812264.8320181426,-710547.2288622002,1271.4700394492802,10153.31040022678,-8881.8403607775,118137.81376012608,112383.95438871664,5753.859371409446,17.24994505138008,22.832543810611423,-5.582598759231342
one_shot_high_s1,9000035,417,12,391,4.712230215827338,0,1,557117.8800000041,504395.10000000545,52722.77999999863,932315.2610370846,879750.0000000002,52565.26103708439,44406.06261458591,45310.1376681156,-904.0750535296902,3639.2485093551177,3434.062500000002,205.18600935511586,3181.3735093551177,3434.062500000004,-252.68899064488642,1540659.825670385,1436323.3626681212,104336.4630022638,401253.69177143276,334993.7500829431,66259.94168848963,0.0,0.0,0.0,1941913.5174418178,1771317.1127510644,170596.40469075344,201490.45871452015,269104.2778353944,-67613.81912087422,2143403.976156338,2040421.3905864586,102982.5855698795,1742150.2843849051,1705427.6405035155,36722.64388138964,401253.69177143276,334993.7500829431,66259.94168848963,5015.671147142909,4187.421876036788,828.2492711061213,108307.46979167292,110512.530897843,-2205.0611061700765,19.789992142546858,18.463258184473304,1.3267339580735538
one_shot_high_s1,9000036,334,10,242,4.577844311377246,0,0,648448.6800000059,538021.440000004,110427.24000000185,828399.7797856354,713472.0862467332,114927.69353890221,41049.60617151913,32596.287589571875,8453.318581947256,3233.6193450072324,2785.004531033444,448.6148139737884,3075.6027433991935,2289.3750000000027,786.2277433991908,1524207.2880455665,1289164.1933673425,235043.09467822406,1524973.0482884613,2953433.1130864504,-1428460.064797989,0.0,0.0,0.0,3049180.336334028,4242597.306453792,-1193416.9701197646,244569.24748739254,209103.1194121928,35466.128075199726,3293749.5838214206,4451700.425865985,-1157950.842044565,1768776.535532959,1498267.3127795353,270509.22275342373,1524973.0482884613,2953433.1130864504,-1428460.064797989,19062.16310360577,36917.91391358062,-17855.75080997485,100120.99066224195,79503.14046237044,20617.850199871507,32.89769270195179,55.994019858536475,-23.096327156584685
one_shot_high_s1,9000037,405,11,344,4.807407407407408,1,1,591989.6400000046,512697.90000000544,79291.73999999912,1033074.8947862575,997049.9999999993,36024.89478625823,50706.501597730385,46093.88020424196,4612.621393488422,4032.5589722954683,3891.9375000000045,140.62147229546372,3803.621472295469,3434.062500000005,369.5589722954642,1683607.2168285833,1563167.7802042468,120439.43662433652,208425.69300390113,1282859.124031725,-1074433.431027824,0.0,0.0,0.0,1892032.9098324843,2846026.904235972,-953993.9944034878,280190.91227757436,188399.06267099932,91791.84960657504,2172223.8221100587,3034425.9669069713,-862202.1447969126,1963798.1291061577,1751566.842875246,212231.28623091173,208425.69300390113,1282859.124031725,-1074433.431027824,2605.321162548764,16035.739050396556,-13430.417887847792,123674.39414080579,112424.09805912641,11250.296081679378,17.5640546873182,26.990885577850907,-9.426830890532706
one_shot_high_s1,9000038,359,11,298,4.763231197771588,0,3,594065.3400000045,513528.1800000042,80537.16000000032,1040929.6504425944,819392.8196515567,221536.83079103776,47062.703576887405,37219.48040403216,9843.223172855243,4063.219639355527,3198.4611022843733,864.7585370711536,3424.291067363034,2747.2500000000023,677.0410673630317,1689545.204726205,1376086.1911578772,313459.01356832776,478621.2408202787,2543741.698161035,-2065120.4573407562,0.0,0.0,0.0,2168166.4455464836,3919827.8893189123,-1751661.4437724287,181501.98833883397,183377.88980655995,-1875.9014677259838,2349668.4338853178,4103205.779125472,-1753537.3452401543,1871047.1930650389,1559464.0809644372,311583.11210060166,478621.2408202787,2543741.698161035,-2065120.4573407562,5982.765510253484,31796.771227012927,-25814.005716759442,114787.08189484743,90779.22049763944,24007.86139720799,20.469798474690467,45.19983490310064,-24.73003642841017
one_shot_high_s1,9000039,285,11,226,4.659649122807018,1,2,686641.5600000065,623125.140000006,63516.42000000051,863553.5457262165,776717.5399498346,86836.00577638193,39474.5897704253,37761.59091149216,1712.9988589331406,3370.8404070706883,3031.8801671315505,338.96023993913786,2912.9654070706893,2976.1875000000027,-63.222092929313476,1595953.5013107897,1443612.3385284643,152341.1627823254,603105.8771530895,1381790.7428725054,-778684.865719416,0.0,0.0,0.0,2199059.378463879,2825403.08140097,-626343.7029370908,313634.94679695513,315946.29013136384,-2311.34333440871,2512694.3252608343,3141349.371532334,-628655.0462714997,1909588.4481077448,1759558.628659828,150029.8194479167,603105.8771530895,1381790.7428725054,-778684.865719416,7538.823464413621,17272.384285906326,-9733.560821492705,96279.48724493985,92101.44124754185,4178.045997398003,26.097919683228202,34.10749418230385,-8.00957449907565
one_shot_high_s1,9000040,319,12,286,4.598746081504702,0,0,621049.4400000063,544248.5400000063,76800.90000000002,1001501.4001093308,1053425.314211784,-51923.91410245316,49000.21578742226,48841.35007178134,158.86571564092446,3909.3133297106606,4111.995871651501,-202.68254194084057,3680.375829710659,3663.0000000000045,17.37582971065467,1679140.7450561807,1654290.200155223,24850.544900957728,869714.8282012732,987338.7079620959,-117623.87976082263,0.0,0.0,0.0,2548855.5732574537,2641628.908117319,-92773.33485986525,286563.6333177729,196269.13986237333,90294.49345539956,2835419.2065752265,2837898.0479796925,-2478.8414044659585,1965704.3783739535,1850559.3400175963,115145.03835635725,869714.8282012732,987338.7079620959,-117623.87976082263,10871.435352515917,12341.733849526197,-1470.2984970102807,119512.72143273726,119125.24407751556,387.4773552217084,23.724831738276695,23.822809933829426,-0.0979781955527308
