gate,seed,event_count,override_events,proposed_override_events,mean_head_agreement,early_departures,emitter_to_emitter_legs,episode_vessel_fuel_eur,greedy_episode_vessel_fuel_eur,delta_episode_vessel_fuel_eur,episode_conditioning_eur,greedy_episode_conditioning_eur,delta_episode_conditioning_eur,episode_reconditioning_eur,greedy_episode_reconditioning_eur,delta_episode_reconditioning_eur,episode_loading_eur,greedy_episode_loading_eur,delta_episode_loading_eur,episode_unloading_eur,greedy_episode_unloading_eur,delta_episode_unloading_eur,episode_operating_cost_eur,greedy_episode_operating_cost_eur,delta_episode_operating_cost_eur,episode_vent_penalty_eur,greedy_episode_vent_penalty_eur,delta_episode_vent_penalty_eur,episode_storage_shortfall_penalty_eur,greedy_episode_storage_shortfall_penalty_eur,delta_episode_storage_shortfall_penalty_eur,episode_total_cost_eur,greedy_episode_total_cost_eur,delta_episode_total_cost_eur,terminal_cleanup_operating_cost_eur,greedy_terminal_cleanup_operating_cost_eur,delta_terminal_cleanup_operating_cost_eur,total_cost_eur,greedy_total_cost_eur,delta_total_cost_eur,operating_cost_eur,greedy_operating_cost_eur,delta_operating_cost_eur,vent_penalty_eur,greedy_vent_penalty_eur,delta_vent_penalty_eur,vented_t,greedy_vented_t,delta_vented_t,stored_t,greedy_stored_t,delta_stored_t,unit_cost_eur_per_t,greedy_unit_cost_eur_per_t,delta_unit_cost_eur_per_t
one_shot_low_s0,9000031,484,12,422,4.669421487603306,1,1,574968.9000000069,498583.1400000054,76385.76000000146,947706.0505707208,970806.9448776268,-23100.894306906033,45089.307157747,44989.57306175243,99.734095994565,3699.325728090953,3789.498976008898,-90.17324791794499,3470.388228090958,3531.742500000005,-61.35427190904693,1574933.9716846566,1521700.8994153936,53233.07226926298,0.0,177136.87552824378,-177136.87552824378,0.0,0.0,0.0,1574933.9716846566,1698837.7749436374,-123903.80325898086,228970.33767468482,221085.85629553438,7884.481379150442,1803904.3093593414,1919923.6312391718,-116019.32187983044,1803904.3093593414,1742786.755710928,61117.55364841339,0.0,177136.87552824378,-177136.87552824378,0.0,2214.210944103048,-2214.210944103048,109973.91989694386,109730.66600427422,243.2538926696434,16.403019107164436,17.496691682928336,-1.0936725757639003
one_shot_low_s0,9000032,412,12,364,4.800970873786408,0,2,549230.2200000039,458729.7000000049,90500.51999999903,927846.7030367184,900648.3329311532,27198.370105565176,41935.48292090803,40506.84709066963,1428.635830238396,3621.8057046286285,3515.638153800952,106.16755082767668,3189.5325477383976,2976.1875000000036,213.345047738394,1525823.7442099976,1406376.7056756287,119447.03853436885,0.0,333955.486427715,-333955.486427715,0.0,0.0,0.0,1525823.7442099976,1740332.1921033438,-214508.4478933462,161186.44213926446,140577.40022671808,20609.04191254638,1687010.186349262,1880909.5923300618,-193899.4059807998,1687010.186349262,1546954.1059023468,140056.08044691524,0.0,333955.486427715,-333955.486427715,0.0,4174.443580346436,-4174.443580346436,102281.66566075131,98797.1880260236,3484.4776347277075,16.49376919559319,19.03808832934215,-2.5443191337489566
one_shot_low_s0,9000033,495,12,453,4.767676767676767,0,2,556702.7400000074,481977.54000000743,74725.20000000001,975468.2319082661,935509.4595007749,39958.772407491226,41973.831021729566,42803.380622268975,-829.5496005394089,3807.6940893861683,3651.7169119259725,155.9771774601959,3120.8815893861724,3205.1250000000045,-84.24341061383211,1581073.3786087756,1467147.222034977,113926.15657379851,0.0,17272.706487606665,-17272.706487606665,0.0,0.0,0.0,1581073.3786087756,1484419.9285225838,96653.45008619176,196324.04820422208,200938.83386390042,-4614.785659678339,1777397.4268129976,1685358.7623864843,92038.66442651325,1777397.4268129976,1668086.0558988776,109311.37091412,0.0,17272.706487606665,-17272.706487606665,0.0,215.90883109508331,-215.90883109508331,102375.19761397448,104398.4893226072,-2023.2917086327216,17.361601913727377,16.143516762761475,1.2180851509659014
one_shot_low_s0,9000034,445,12,380,4.703370786516854,0,1,558363.3000000042,468277.9200000053,90085.37999999896,967357.8599483101,890700.5702966674,76657.28965164267,45992.015961163255,41499.04786034444,4492.968100818813,3776.035636179314,3476.8075330314327,299.2281031478815,3421.901785293602,3205.125000000004,216.7767852935981,1578911.1133309505,1407159.4706900483,171751.6426409022,0.0,247370.60830194908,-247370.60830194908,0.0,0.0,0.0,1578911.1133309505,1654530.0789919973,-75618.9656610468,124839.32166163667,210758.63827929535,-85919.31661765868,1703750.4349925872,1865288.7172712926,-161538.2822787054,1703750.4349925872,1617918.1089693436,85832.3260232436,0.0,247370.60830194908,-247370.60830194908,0.0,3092.132603774364,-3092.132603774364,112175.64868576398,101217.18990327914,10958.458782484842,15.18823786582486,18.42857640143656,-3.2403385356116985
one_shot_low_s0,9000035,558,12,452,4.82258064516129,5,4,490695.48000000435,408497.76000000205,82197.7200000023,935529.1605797593,762450.0000000006,173079.1605797587,42368.10883499656,33939.198161456334,8428.910673540224,3651.7938141556465,2976.187500000001,675.6063141556456,3029.645365155207,2591.5725000000034,438.07286515520354,1475274.1885940712,1210454.7181614588,264819.47043261235,0.0,676939.0855623375,-676939.0855623375,0.0,0.0,0.0,1475274.1885940712,1887393.8037237963,-412119.6151297251,147563.6220671605,247989.61493577258,-100425.99286861208,1622837.8106612316,2135383.4186595688,-512545.60799833713,1622837.8106612316,1458444.3330972313,164393.4775640003,0.0,676939.0855623375,-676939.0855623375,0.0,8461.738569529227,-8461.738569529227,103336.85081706483,82778.53210111293,20558.3187159519,15.704347460076068,25.796343139441333,-10.091995679365265
one_shot_low_s0,9000036,479,11,447,4.784968684759916,0,0,558778.4400000044,507301.080000006,51477.359999998356,929969.2619880247,859382.2757073988,70586.98628062592,44540.27412403377,40373.715634779765,4166.558489254006,3630.0910130670686,3354.5580519141135,275.53296115295507,3178.61936332793,2976.1875000000027,202.4318633279272,1540096.686488458,1413387.8168940987,126708.8695943593,0.0,819114.0851345547,-819114.0851345547,0.0,0.0,0.0,1540096.686488458,2232501.9020286533,-692405.2155401953,223158.39968470033,184853.80133707737,38304.59834762296,1763255.0861731584,2417355.7033657306,-654100.6171925722,1763255.0861731584,1598241.618231176,165013.46794198244,0.0,819114.0851345547,-819114.0851345547,0.0,10238.926064181935,-10238.926064181935,108634.81493666784,98472.47715799946,10162.337778668385,16.23103134295488,24.5485416141921,-8.317510271237222
one_shot_low_s0,9000037,474,12,434,4.624472573839663,0,3,524736.9600000047,484883.52000000636,39853.43999999837,924709.7442657034,979415.9965029766,-54706.252237273264,43996.77470238701,45868.920821108455,-1872.1461187214445,3609.560734489845,3823.104001694805,-213.5432672049601,3205.125000000004,3434.0625000000045,-228.93750000000045,1500258.164702585,1517425.6038257862,-17167.439123201184,0.0,333880.75652155926,-333880.75652155926,0.0,0.0,0.0,1500258.164702585,1851306.3603473455,-351048.1956447605,277422.0397115775,123527.38500846877,153894.65470310877,1777680.2044141626,1974833.7453558142,-197153.54094165168,1777680.2044141626,1640952.988834255,136727.21557990764,0.0,333880.75652155926,-333880.75652155926,0.0,4173.509456519491,-4173.509456519491,107309.20659118754,111875.41663684955,-4566.21004566201,16.565961681056258,17.652079471276295,-1.0861177902200367
one_shot_low_s0,9000038,442,12,377,4.748868778280543,1,0,593235.060000007,454163.16000000504,139071.900000002,954872.3808938853,821100.0000000002,133772.38089388504,43992.35835469843,37331.21479216434,6661.143562534089,3727.2991594355326,3205.125000000003,522.1741594355294,3340.8701556736023,2976.1875000000036,364.6826556735987,1599167.9685636999,1318775.6872921695,280392.2812715303,0.0,863557.038267534,-863557.038267534,0.0,0.0,0.0,1599167.9685636999,2182332.7255597035,-583164.7569960037,172293.71800987193,230758.90700506791,-58465.18899519599,1771461.6865735718,2413091.6325647715,-641629.9459911997,1771461.6865735718,1549534.5942972375,221927.0922763343,0.0,863557.038267534,-863557.038267534,0.0,10794.46297834418,-10794.46297834418,107298.43501145946,91051.74339552286,16246.691615936594,16.509669375740476,26.502420959502754,-9.992751583762278
one_shot_low_s0,9000039,422,12,370,4.779620853080568,1,1,613576.9200000078,500243.7000000053,113333.22000000253,971242.8182724194,807676.8904989692,163565.92777345015,45120.70252540527,36938.269255555264,8182.4332698500075,3791.2003871823063,3152.728527171491,638.4718600108154,3333.3253871823076,2747.250000000003,586.0753871823044,1637064.9665721972,1350758.8382817013,286306.12829049584,0.0,650113.4487469646,-650113.4487469646,0.0,0.0,0.0,1637064.9665721972,2000872.287028666,-363807.32045646873,183922.56989641473,318163.5993202384,-134241.02942382367,1820987.5364686118,2319035.886348904,-498048.3498802923,1820987.5364686118,1668922.4376019398,152065.09886667202,0.0,650113.4487469646,-650113.4487469646,0.0,8126.418109337055,-8126.418109337055,110050.49396440305,90093.3396476958,19957.154316707252,16.54683655538728,25.740369881029437,-9.193533325642157
one_shot_low_s0,9000040,485,12,456,4.7443298969072165,0,1,553796.7600000045,398534.40000000474,155262.3599999998,865487.8425379551,815488.9089922621,49998.93354569306,42816.525623499794,38256.99600826247,4559.529615237327,3378.390843154875,3183.222371737695,195.16847141717972,3121.130138966989,2844.930000000004,276.2001389669849,1468600.6491435815,1258308.457372267,210292.19177131448,0.0,745594.2765695087,-745594.2765695087,0.0,0.0,0.0,1468600.6491435815,2003902.7339417757,-535302.0847981942,252267.91428737846,227119.7732255129,25148.14106186555,1720868.56343096,2231022.5071672886,-510153.9437363285,1720868.56343096,1485428.2305977799,235440.3328331802,0.0,745594.2765695087,-745594.2765695087,0.0,9319.928457118855,-9319.928457118855,104430.55030121899,93309.74636161573,11120.803939603255,16.478593270525675,23.909855016871536,-7.431261746345861
