gate,seed,wall_clock_seconds,event_count,override_events,proposed_override_events,mean_head_agreement,early_departures,emitter_to_emitter_legs,episode_vessel_fuel_eur,greedy_episode_vessel_fuel_eur,delta_episode_vessel_fuel_eur,episode_conditioning_eur,greedy_episode_conditioning_eur,delta_episode_conditioning_eur,episode_reconditioning_eur,greedy_episode_reconditioning_eur,delta_episode_reconditioning_eur,episode_loading_eur,greedy_episode_loading_eur,delta_episode_loading_eur,episode_unloading_eur,greedy_episode_unloading_eur,delta_episode_unloading_eur,episode_operating_cost_eur,greedy_episode_operating_cost_eur,delta_episode_operating_cost_eur,episode_vent_penalty_eur,greedy_episode_vent_penalty_eur,delta_episode_vent_penalty_eur,episode_storage_shortfall_penalty_eur,greedy_episode_storage_shortfall_penalty_eur,delta_episode_storage_shortfall_penalty_eur,episode_total_cost_eur,greedy_episode_total_cost_eur,delta_episode_total_cost_eur,terminal_cleanup_operating_cost_eur,greedy_terminal_cleanup_operating_cost_eur,delta_terminal_cleanup_operating_cost_eur,total_cost_eur,greedy_total_cost_eur,delta_total_cost_eur,operating_cost_eur,greedy_operating_cost_eur,delta_operating_cost_eur,vent_penalty_eur,greedy_vent_penalty_eur,delta_vent_penalty_eur,vented_t,greedy_vented_t,delta_vented_t,stored_t,greedy_stored_t,delta_stored_t,unit_cost_eur_per_t,greedy_unit_cost_eur_per_t,delta_unit_cost_eur_per_t
e4_nohour_one_shot_low_s1,9000031,4.575072009116411,477,12,452,4.6415094339622645,0,0,565420.6800000059,498583.1400000054,66837.54000000044,974278.6218009067,970806.9448776268,3471.6769232798833,47552.22230215575,44989.57306175243,2562.6492404033197,3803.050502617991,3789.498976008898,13.551526609092889,3627.3126074600473,3531.742500000005,95.57010746004244,1594681.8872131465,1521700.8994153936,72980.98779775295,0.0,177136.87552824378,-177136.87552824378,0.0,0.0,0.0,1594681.8872131465,1698837.7749436374,-104155.88773049088,223337.18214624055,221085.85629553438,2251.325850706169,1818019.069359387,1919923.6312391718,-101904.5618797848,1818019.069359387,1742786.755710928,75232.31364845904,0.0,177136.87552824378,-177136.87552824378,0.0,2214.210944103048,-2214.210944103048,115981.03000525812,109730.66600427422,6250.3640009839,15.675141609597409,17.496691682928336,-1.8215500733309273
e4_nohour_one_shot_low_s1,9000032,2.3773516761139035,455,12,433,4.391208791208792,0,2,530133.7800000045,458729.7000000049,71404.07999999955,918107.3161434749,900648.3329311532,17458.983212321647,42601.14912825732,40506.84709066963,2094.3020375876877,3583.788468705828,3515.638153800952,68.15031490487627,3205.125000000004,2976.1875000000036,228.93750000000045,1497631.1587404425,1406376.7056756287,91254.45306481374,0.0,333955.486427715,-333955.486427715,0.0,0.0,0.0,1497631.1587404425,1740332.1921033438,-242701.0333629013,164055.48760777406,140577.40022671808,23478.087381055986,1661686.6463482166,1880909.5923300618,-219222.94598184526,1661686.6463482166,1546954.1059023468,114732.54044586979,0.0,333955.486427715,-333955.486427715,0.0,4174.443580346436,-4174.443580346436,103905.2417762373,98797.1880260236,5108.053750213687,15.992327412381206,19.03808832934215,-3.0457609169609423
e4_nohour_one_shot_low_s1,9000033,3.1574929151684046,402,12,389,4.5049751243781095,0,1,599047.0200000057,481977.54000000743,117069.4799999983,941669.0550277584,935509.4595007749,6159.595526983496,43388.8696278035,42803.380622268975,585.489005534524,3675.7606016268983,3651.7169119259725,24.043689700925825,3261.106371680542,3205.1250000000045,55.98137168053745,1591041.811628875,1467147.222034977,123894.58959389804,0.0,17272.706487606665,-17272.706487606665,0.0,0.0,0.0,1591041.811628875,1484419.9285225838,106621.8831062913,183449.63518500235,200938.83386390042,-17489.198678898072,1774491.4468138774,1685358.7623864843,89132.68442739313,1774491.4468138774,1668086.0558988776,106405.39091499988,0.0,17272.706487606665,-17272.706487606665,0.0,215.90883109508331,-215.90883109508331,105826.51128732556,104398.4893226072,1428.0219647183549,16.767929181715374,16.143516762761475,0.6244124189538987
e4_nohour_one_shot_low_s1,9000034,3.292548274155706,461,12,437,4.672451193058568,2,4,520170.4200000045,468277.9200000053,51892.49999999924,922318.1280236128,890700.5702966674,31617.55772694538,43573.11334818337,41499.04786034444,2074.065487838925,3600.225173647161,3476.8075330314327,123.41764061572803,3241.811535876014,3205.125000000004,36.68653587601011,1492903.6980813239,1407159.4706900483,85744.22739127558,0.0,247370.60830194908,-247370.60830194908,0.0,0.0,0.0,1492903.6980813239,1654530.0789919973,-161626.3809106734,182202.07691089384,210758.63827929535,-28556.56136840151,1675105.7749922178,1865288.7172712926,-190182.9422790748,1675105.7749922178,1617918.1089693436,57187.66602287418,0.0,247370.60830194908,-247370.60830194908,0.0,3092.132603774364,-3092.132603774364,106275.88621508126,101217.18990327914,5058.696311802123,15.761861271164907,18.42857640143656,-2.666715130271651
e4_nohour_one_shot_low_s1,9000035,3.440272865816951,514,12,511,4.614785992217898,1,4,499828.5600000058,408497.76000000205,91330.80000000377,906804.0097900192,762450.0000000006,144354.00979001867,42220.81895830096,33939.198161456334,8281.620796844625,3539.6665471662836,2976.187500000001,563.4790471662827,3145.0579878845233,2591.5725000000034,553.4854878845199,1455538.1132833767,1210454.7181614588,245083.39512191783,0.0,676939.0855623375,-676939.0855623375,0.0,0.0,0.0,1455538.1132833767,1887393.8037237963,-431855.6904404196,185150.71737877626,247989.61493577258,-62838.89755699632,1640688.830662153,2135383.4186595688,-494694.5879974158,1640688.830662153,1458444.3330972313,182244.49756492162,0.0,676939.0855623375,-676939.0855623375,0.0,8461.738569529227,-8461.738569529227,102977.60721536813,82778.53210111293,20199.075114255204,15.93248158534898,25.796343139441333,-9.863861554092354
e4_nohour_one_shot_low_s1,9000036,3.7893678909167647,447,12,405,4.731543624161074,1,1,573308.340000005,507301.080000006,66007.25999999896,908263.6714105918,859382.2757073988,48881.39570319303,46163.94442123063,40373.715634779765,5790.228786450869,3545.3642672389205,3354.5580519141135,190.806215324807,3374.38744555336,2976.1875000000027,398.19994555335734,1534655.7075446197,1413387.8168940987,121267.89065052103,0.0,819114.0851345547,-819114.0851345547,0.0,0.0,0.0,1534655.7075446197,2232501.9020286533,-697846.1944840336,191651.91862795924,184853.80133707737,6798.11729088187,1726307.626172579,2417355.7033657306,-691048.0771931517,1726307.626172579,1598241.618231176,128066.00794140296,0.0,819114.0851345547,-819114.0851345547,0.0,10238.926064181935,-10238.926064181935,112594.98639324543,98472.47715799946,14122.509235245976,15.332011499547017,24.5485416141921,-9.216530114645083
e4_nohour_one_shot_low_s1,9000037,1.957375470083207,371,11,338,4.4177897574123985,0,2,601953.0000000054,484883.52000000636,117069.47999999899,1018565.7918409508,979415.9965029766,39149.79533797421,48149.72463954806,45868.920821108455,2280.8038184396064,3975.9233754405445,3823.104001694805,152.81937374573954,3518.0483754405423,3434.0625000000045,83.98587544053771,1676162.4882313851,1517425.6038257862,158736.88440559898,0.0,333880.75652155926,-333880.75652155926,0.0,0.0,0.0,1676162.4882313851,1851306.3603473455,-175143.87211596034,140540.87618337575,123527.38500846877,17013.491174906972,1816703.3644147608,1974833.7453558142,-158130.3809410534,1816703.3644147608,1640952.988834255,175750.37558050593,0.0,333880.75652155926,-333880.75652155926,0.0,4173.509456519491,-4173.509456519491,117438.35277938511,111875.41663684955,5562.93614253556,15.469421372313912,17.652079471276295,-2.182658098962383
e4_nohour_one_shot_low_s1,9000038,3.5305595346726477,455,12,426,4.56043956043956,0,0,562514.7000000073,454163.16000000504,108351.54000000225,929271.6304255296,821100.0000000002,108171.63042552932,45292.60146714164,37331.21479216434,7961.386674977301,3627.367841271008,3205.125000000003,422.24284127100464,3541.6159405245294,2976.1875000000036,565.4284405245257,1544247.9156744739,1318775.6872921695,225472.2283823043,0.0,863557.038267534,-863557.038267534,0.0,0.0,0.0,1544247.9156744739,2182332.7255597035,-638084.8098852297,189851.17090041612,230758.90700506791,-40907.73610465179,1734099.08657489,2413091.6325647715,-678992.5459898815,1734099.08657489,1549534.5942972375,184564.4922776525,0.0,863557.038267534,-863557.038267534,0.0,10794.46297834418,-10794.46297834418,110469.75967595521,91051.74339552286,19418.016280432348,15.697500308334002,26.502420959502754,-10.804920651168752
e4_nohour_one_shot_low_s1,9000039,3.9149047918617725,464,12,451,4.782327586206897,1,2,571647.7800000055,500243.7000000053,71404.08000000019,944247.5789289476,807676.8904989692,136570.68842997833,44630.226266609854,36938.269255555264,7691.95701105459,3685.825747673423,3152.728527171491,533.097220501932,3296.808831573212,2747.250000000003,549.5588315732089,1567508.2197748094,1350758.8382817013,216749.3814931081,0.0,650113.4487469646,-650113.4487469646,0.0,0.0,0.0,1567508.2197748094,2000872.287028666,-433364.06725385645,230231.47669250634,318163.5993202384,-87932.12262773205,1797739.6964673158,2319035.886348904,-521296.18988158833,1797739.6964673158,1668922.4376019398,128817.258865376,0.0,650113.4487469646,-650113.4487469646,0.0,8126.418109337055,-8126.418109337055,108854.21040636557,90093.3396476958,18760.87075866977,16.515114020451225,25.740369881029437,-9.225255860578212
e4_nohour_one_shot_low_s1,9000040,3.268435507081449,455,12,436,4.712087912087912,0,3,551305.9200000026,398534.40000000474,152771.51999999786,895003.1516727331,815488.9089922621,79514.24268047104,42703.98430535777,38256.99600826247,4446.988297095304,3493.602455858086,3183.222371737695,310.3800841203911,3316.5630918879206,2844.930000000004,471.63309188791663,1495823.2215258395,1258308.457372267,237514.7641535725,0.0,745594.2765695087,-745594.2765695087,0.0,0.0,0.0,1495823.2215258395,2003902.7339417757,-508079.5124159362,193079.56190531666,227119.7732255129,-34040.21132019625,1688902.783431156,2231022.5071672886,-542119.7237361325,1688902.783431156,1485428.2305977799,203474.55283337622,0.0,745594.2765695087,-745594.2765695087,0.0,9319.928457118855,-9319.928457118855,104156.05928136033,93309.74636161573,10846.312919744596,16.215117920973423,23.909855016871536,-7.6947370958981125
