gate,seed,wall_clock_seconds,event_count,override_events,proposed_override_events,mean_head_agreement,early_departures,emitter_to_emitter_legs,episode_vessel_fuel_eur,greedy_episode_vessel_fuel_eur,delta_episode_vessel_fuel_eur,episode_conditioning_eur,greedy_episode_conditioning_eur,delta_episode_conditioning_eur,episode_reconditioning_eur,greedy_episode_reconditioning_eur,delta_episode_reconditioning_eur,episode_loading_eur,greedy_episode_loading_eur,delta_episode_loading_eur,episode_unloading_eur,greedy_episode_unloading_eur,delta_episode_unloading_eur,episode_operating_cost_eur,greedy_episode_operating_cost_eur,delta_episode_operating_cost_eur,episode_vent_penalty_eur,greedy_episode_vent_penalty_eur,delta_episode_vent_penalty_eur,episode_storage_shortfall_penalty_eur,greedy_episode_storage_shortfall_penalty_eur,delta_episode_storage_shortfall_penalty_eur,episode_total_cost_eur,greedy_episode_total_cost_eur,delta_episode_total_cost_eur,terminal_cleanup_operating_cost_eur,greedy_terminal_cleanup_operating_cost_eur,delta_terminal_cleanup_operating_cost_eur,total_cost_eur,greedy_total_cost_eur,delta_total_cost_eur,operating_cost_eur,greedy_operating_cost_eur,delta_operating_cost_eur,vent_penalty_eur,greedy_vent_penalty_eur,delta_vent_penalty_eur,vented_t,greedy_vented_t,delta_vented_t,stored_t,greedy_stored_t,delta_stored_t,unit_cost_eur_per_t,greedy_unit_cost_eur_per_t,delta_unit_cost_eur_per_t
e4_nohour_one_shot_medium_s0,9000031,4.694730596616864,442,12,373,4.723981900452489,2,1,577044.6000000057,509791.9200000052,67252.68000000046,1024247.8520771269,991296.1028016104,32951.749275516486,49073.15554517343,46932.58187229298,2140.5736728804477,3998.1030287281724,3869.4774345292985,128.62559419887384,3618.340171620346,3507.322500000005,111.01767162034093,1657982.0508226545,1555397.4046084378,102584.64621421671,0.0,499268.9184761926,-499268.9184761926,0.0,0.0,0.0,1657982.0508226545,2054666.3230846303,-396684.2722619758,257668.33628619183,238351.0279126895,19317.30837350234,1915650.3871088463,2293017.35099732,-377366.9638884736,1915650.3871088463,1793748.4325211272,121901.95458771917,0.0,499268.9184761926,-499268.9184761926,0.0,6240.861480952415,-6240.861480952415,119690.62328091079,114469.71188364139,5220.911397269403,16.005016388066295,20.03165128368782,-4.026634895621527
e4_nohour_one_shot_medium_s0,9000032,2.2470575240440667,398,11,320,4.726130653266332,0,0,570817.5000000037,523906.68000000407,46910.81999999966,877505.575945507,872609.8901637925,4895.685781714506,41133.2776732142,41249.47812830116,-116.20045508696057,3425.3014968972684,3406.191419085648,19.110077811620613,3196.36399689727,3205.125000000004,-8.761003102733866,1496078.0191125197,1444377.3647111836,51700.6544013361,0.0,147597.08007642228,-147597.08007642228,0.0,0.0,0.0,1496078.0191125197,1591974.444787606,-95896.42567508621,209236.92075008276,174236.81051761188,35000.11023247088,1705314.9398626024,1766211.2553052178,-60896.31544261542,1705314.9398626024,1618614.1752287955,86700.76463380689,0.0,147597.08007642228,-147597.08007642228,0.0,1844.963500955279,-1844.963500955279,100325.06749564427,100608.4832397591,-283.41574411482725,16.997894767792115,17.555291546302083,-0.5573967785099683
e4_nohour_one_shot_medium_s0,9000033,3.2514069080352783,372,12,308,4.661290322580645,0,1,589083.6600000064,533870.0400000046,55213.62000000186,979010.533958681,932749.1859035201,46261.348055160954,45685.56609138417,43105.35594725522,2580.2101441289487,3821.5212978374407,3640.942314540279,180.5789832971618,3461.3262978374414,3205.125000000006,256.2012978374355,1621062.6076457468,1516570.64916532,104491.95848042681,0.0,383151.50941582996,-383151.50941582996,0.0,0.0,0.0,1621062.6076457468,1899722.15858115,-278659.5509354032,198722.44139826094,207876.53585432417,-9154.094456063234,1819785.0490440077,2107598.694435474,-287813.6453914663,1819785.0490440077,1724447.1850196442,95337.86402436346,0.0,383151.50941582996,-383151.50941582996,0.0,4789.393867697877,-4789.393867697877,111428.20997898577,105135.0145055005,6293.195473485277,16.331457261919585,20.04659155989566,-3.715134297976075
e4_nohour_one_shot_medium_s0,9000034,3.1495103612542152,377,12,332,4.649867374005305,0,1,574138.6200000058,508546.50000000285,65592.12000000296,970928.7393766129,916455.4202540746,54473.31912253832,43510.52032009596,42937.94541789649,572.5749021994707,3789.9743950730353,3577.340371260317,212.63402381271817,3331.7874488438074,3205.125000000005,126.6624488438024,1595699.6415406314,1474722.3310432343,120977.31049739709,152547.05055434784,262004.67944717887,-109457.62889283104,0.0,0.0,0.0,1748246.6920949793,1736727.0104904133,11519.681604566053,164732.98852734122,199225.9755994933,-34492.987072152086,1912979.6806223206,1935952.9860899067,-22973.305467586033,1760432.6300679727,1673948.3066427277,86484.323425245,152547.05055434784,262004.67944717887,-109457.62889283104,1906.838131929348,3275.0584930897367,-1368.2203611603886,106123.22029291697,104726.69614121088,1396.524151706093,18.02602366703717,18.485763968716398,-0.4597403016792292
e4_nohour_one_shot_medium_s0,9000035,3.7214229800738394,540,12,518,4.812962962962963,2,3,498998.28000000655,484053.24000000494,14945.040000001609,910640.857509523,884710.3299529921,25930.5275565309,44873.028307709734,44725.083455352586,147.9448523571482,3554.643500700541,3453.4249132755917,101.21858742494942,3343.681235266529,3205.125000000004,138.5562352665247,1461410.4905532065,1420147.2033216252,41263.287231581286,17295.421772548383,282922.74237956875,-265627.32060702035,0.0,0.0,0.0,1478705.912325755,1703069.945701194,-224364.033375439,164884.19697448766,181939.4867516455,-17055.289777157857,1643590.1093002427,1885009.4324528396,-241419.32315259683,1626294.6875276943,1602086.6900732708,24207.997454423457,17295.421772548383,282922.74237956875,-265627.32060702035,216.19277215685477,3536.5342797446087,-3320.3415075877538,109446.41050660904,109085.56940329901,360.8411033100274,15.017304831582328,17.280098942178068,-2.26279411059574
e4_nohour_one_shot_medium_s0,9000036,3.426176920067519,355,12,311,4.783098591549296,0,1,606519.5400000074,508131.36000000505,98388.18000000232,852812.2837206327,717852.1628473271,134960.1208733056,42181.892145182734,33266.2698997174,8915.622245465333,3328.9123990501694,2802.1019528023844,526.810446247785,3205.125000000004,2435.8950000000013,769.2300000000027,1508047.7532648728,1264487.7896998518,243559.96356502105,400813.8750372392,2055838.1571652698,-1655024.2821280307,0.0,0.0,0.0,1908861.628302112,3320325.946865122,-1411464.3185630098,256808.15256028186,213435.5826975821,43372.56986269975,2165669.780862394,3533761.529562704,-1368091.74870031,1764855.9058251546,1477923.372397434,286932.53342772066,400813.8750372392,2055838.1571652698,-1655024.2821280307,5010.173437965489,25697.976964565867,-20687.80352660038,102882.6637687383,81137.24365784733,21745.420110890977,21.049899968865788,43.552891006064264,-22.502991037198477
e4_nohour_one_shot_medium_s0,9000037,2.037174587137997,399,11,363,4.724310776942356,1,2,599877.3000000054,495677.16000000644,104200.13999999897,966729.2054399966,985460.3769294086,-18731.17148941208,46043.46302302208,46558.290197615104,-514.8271745930251,3773.581713050629,3846.6979547020733,-73.1162416514444,3404.6290236244367,3434.0625000000045,-29.433476375567807,1619828.1791996988,1534976.587581732,84851.59161796677,0.0,341708.7052254426,-341708.7052254426,0.0,0.0,0.0,1619828.1791996988,1876685.2928071746,-256857.11360747577,193093.11827261897,123800.62038750286,69292.49788511611,1812921.2974723177,2000485.9131946776,-187564.61572235986,1812921.2974723177,1658777.207969235,154144.08950308268,0.0,341708.7052254426,-341708.7052254426,0.0,4271.358815318033,-4271.358815318033,112301.12932444397,113556.80536003655,-1255.6760355925799,16.143393288901763,17.6166096505802,-1.473216361678439
e4_nohour_one_shot_medium_s0,9000038,3.9588978216052055,421,12,373,4.762470308788599,0,2,598216.7400000057,532209.4800000057,66007.26000000001,973608.4058788293,934722.6242499,38885.78162892931,49038.81849753891,47193.94968274025,1844.8688147986613,3800.434346477148,3648.6455377529687,151.7888087241795,3651.9209076072134,3434.062500000004,217.8584076072093,1628316.3196304583,1521208.761970399,107107.5576600593,0.0,192712.67507384662,-192712.67507384662,0.0,0.0,0.0,1628316.3196304583,1713921.4370442457,-85605.1174137874,224684.91633228934,206374.53368219113,18310.38265009821,1853001.2359627476,1920295.9707264367,-67294.7347636891,1853001.2359627476,1727583.29565259,125417.9403101576,0.0,192712.67507384662,-192712.67507384662,0.0,2408.9084384230837,-2408.9084384230837,119606.87438424128,115107.19434814701,4499.6800360942725,15.49243089498281,16.68267549740126,-1.1902446024184492
e4_nohour_one_shot_medium_s0,9000039,3.881880053319037,454,12,376,4.817180616740088,0,4,585762.5400000064,500658.8400000053,85103.70000000112,966521.3234572362,812662.8487139633,153858.47474327288,43398.76448298939,36832.2939580883,6566.470524901088,3772.770255566772,3172.190979155211,600.5792764115608,3205.1250000000036,2747.2500000000027,457.8750000000009,1602660.5231957987,1356073.4236512124,246587.09954458638,143479.9837488068,751527.0306649255,-608047.0469161187,0.0,0.0,0.0,1746140.5069446056,2107600.454316138,-361459.9473715322,268444.1900437688,329963.2737352864,-61519.08369151759,2014584.6969883745,2437563.728051424,-422979.03106304957,1871104.7132395676,1686036.6973864988,185068.0158530688,143479.9837488068,751527.0306649255,-608047.0469161187,1793.4997968600844,9394.08788331157,-7600.588086451485,105850.645080462,89834.86331241042,16015.781768051573,19.032332731245944,27.13382798362517,-8.101495252379227
e4_nohour_one_shot_medium_s0,9000040,3.286256920080632,371,11,337,4.7789757412398925,0,2,589913.9400000051,419291.40000000526,170622.5399999998,960574.8705911896,869010.670625592,91564.1999655976,45522.182468765306,40082.84435868473,5439.338110080578,3749.5585581580694,3392.142035913834,357.41652224423524,3322.5695906785304,2976.1875000000036,346.38209067852677,1603083.1212087967,1334753.2445201958,268329.876688601,52577.809716532036,1093209.2613003359,-1040631.4515838039,0.0,0.0,0.0,1655660.9309253288,2427962.5058205314,-772301.5748952026,181942.84913589325,189236.97336836957,-7294.124232476315,1837603.780061222,2617199.479188901,-779595.699127679,1785025.97034469,1523990.2178885653,261035.75245612464,52577.809716532036,1093209.2613003359,-1040631.4515838039,657.2226214566506,13665.115766254208,-13007.893144797557,111029.71333845206,97763.03502118237,13266.678317269689,16.55055862802826,26.770849315611272,-10.220290687583013
