gate,seed,event_count,override_events,proposed_override_events,mean_head_agreement,early_departures,emitter_to_emitter_legs,episode_vessel_fuel_eur,greedy_episode_vessel_fuel_eur,delta_episode_vessel_fuel_eur,episode_conditioning_eur,greedy_episode_conditioning_eur,delta_episode_conditioning_eur,episode_reconditioning_eur,greedy_episode_reconditioning_eur,delta_episode_reconditioning_eur,episode_loading_eur,greedy_episode_loading_eur,delta_episode_loading_eur,episode_unloading_eur,greedy_episode_unloading_eur,delta_episode_unloading_eur,episode_operating_cost_eur,greedy_episode_operating_cost_eur,delta_episode_operating_cost_eur,episode_vent_penalty_eur,greedy_episode_vent_penalty_eur,delta_episode_vent_penalty_eur,episode_storage_shortfall_penalty_eur,greedy_episode_storage_shortfall_penalty_eur,delta_episode_storage_shortfall_penalty_eur,episode_total_cost_eur,greedy_episode_total_cost_eur,delta_episode_total_cost_eur,terminal_cleanup_operating_cost_eur,greedy_terminal_cleanup_operating_cost_eur,delta_terminal_cleanup_operating_cost_eur,total_cost_eur,greedy_total_cost_eur,delta_total_cost_eur,operating_cost_eur,greedy_operating_cost_eur,delta_operating_cost_eur,vent_penalty_eur,greedy_vent_penalty_eur,delta_vent_penalty_eur,vented_t,greedy_vented_t,delta_vented_t,stored_t,greedy_stored_t,delta_stored_t,unit_cost_eur_per_t,greedy_unit_cost_eur_per_t,delta_unit_cost_eur_per_t
e2_one_shot_matched_s2,9000031,459,12,401,4.7254901960784315,0,4,589913.9400000067,509791.9200000052,80122.02000000147,1075915.6371085502,991296.1028016104,84619.53430693981,52169.449780320516,46932.58187229298,5236.867908027532,4199.785782958892,3869.4774345292985,330.3083484295935,3873.0813807863906,3507.322500000005,365.75888078638536,1726071.8940526226,1555397.4046084378,170674.48944418482,0.0,499268.9184761926,-499268.9184761926,0.0,0.0,0.0,1726071.8940526226,2054666.3230846303,-328594.4290320077,180030.27305731492,238351.0279126895,-58320.75485537457,1906102.1671099374,2293017.35099732,-386915.1838873825,1906102.1671099374,1793748.4325211272,112353.73458881024,0.0,499268.9184761926,-499268.9184761926,0.0,6240.861480952415,-6240.861480952415,127242.56043980611,114469.71188364139,12772.848556164725,14.980067679568943,20.03165128368782,-5.051583604118878
e2_one_shot_matched_s2,9000032,418,12,381,4.732057416267943,0,3,552551.3400000045,523906.68000000407,28644.66000000044,908633.91746183,872609.8901637925,36024.02729803743,42712.829576559016,41249.47812830116,1463.351448257854,3546.8095051818914,3406.191419085648,140.6180860962436,3205.1250000000055,3205.125000000004,1.3642420526593924e-12,1510650.0215435755,1444377.3647111836,66272.65683239186,0.0,147597.08007642228,-147597.08007642228,0.0,0.0,0.0,1510650.0215435755,1591974.444787606,-81324.42324403045,169756.5183200052,174236.81051761188,-4480.292197606672,1680406.5398635806,1766211.2553052178,-85804.7154416372,1680406.5398635806,1618614.1752287955,61792.3646347851,0.0,147597.08007642228,-147597.08007642228,0.0,1844.963500955279,-1844.963500955279,104177.63311355868,100608.4832397591,3569.149873799586,16.130204628779154,17.555291546302083,-1.425086917522929
e2_one_shot_matched_s2,9000033,434,12,408,4.8341013824884795,1,1,579120.3000000048,533870.0400000046,45250.26000000024,1021798.0550462797,932749.1859035201,89048.86914275959,45691.86214532479,43105.35594725522,2586.506198069568,3988.540361929379,3640.942314540279,347.5980473891,3397.6935407221354,3205.125000000006,192.56854072212946,1653996.4510942607,1516570.64916532,137425.8019289407,0.0,383151.50941582996,-383151.50941582996,0.0,0.0,0.0,1653996.4510942607,1899722.15858115,-245725.70748688933,179488.2179513079,207876.53585432417,-28388.317903016286,1833484.6690455684,2107598.694435474,-274114.02538990555,1833484.6690455684,1724447.1850196442,109037.48402592423,0.0,383151.50941582996,-383151.50941582996,0.0,4789.393867697877,-4789.393867697877,111443.56620810923,105135.0145055005,6308.551702608733,16.452135654217376,20.04659155989566,-3.5944559056782843
e2_one_shot_matched_s2,9000034,466,12,440,4.8111587982832615,0,3,523906.68000000593,508546.50000000285,15360.180000003078,956574.0790070789,916455.4202540746,40118.658753004274,45704.353980151755,42937.94541789649,2766.4085622552666,3733.941657505256,3577.340371260317,156.60128624493882,3400.4850000000056,3205.125000000005,195.36000000000058,1533319.539644742,1474722.3310432343,58597.20860150759,48483.056824624444,262004.67944717887,-213521.62262255442,0.0,0.0,0.0,1581802.5964693665,1736727.0104904133,-154924.41402104683,167324.28761308664,199225.9755994933,-31901.687986406672,1749126.884082453,1935952.9860899067,-186826.10200745356,1700643.8272578286,1673948.3066427277,26695.52061510086,48483.056824624444,262004.67944717887,-213521.62262255442,606.0382103078055,3275.0584930897367,-2669.020282781931,111474.03409793126,104726.69614121088,6747.337956720381,15.690890692498169,18.485763968716398,-2.7948732762182296
e2_one_shot_matched_s2,9000035,480,12,473,4.7625,1,2,535530.6000000039,484053.24000000494,51477.359999999,958001.8134403919,884710.3299529921,73291.48348739976,44389.98283168777,44725.083455352586,-335.10062366481725,3739.514751313041,3453.4249132755917,286.0898380374492,3180.1763499088543,3205.125000000004,-24.94865009114983,1544842.0873733053,1420147.2033216252,124694.8840516801,0.0,282922.74237956875,-282922.74237956875,0.0,0.0,0.0,1544842.0873733053,1703069.945701194,-158227.85832788865,133892.14523841307,181939.4867516455,-48047.341513232444,1678734.2326117184,1885009.4324528396,-206275.1998411212,1678734.2326117184,1602086.6900732708,76647.54253844754,0.0,282922.74237956875,-282922.74237956875,0.0,3536.5342797446087,-3536.5342797446087,108268.2508089944,109085.56940329901,-817.3185943046119,15.505323306398678,17.280098942178068,-1.77477563577939
e2_one_shot_matched_s2,9000036,438,11,381,4.687214611872146,0,1,598631.8800000066,508131.36000000505,90500.52000000159,879750.0,717852.1628473271,161897.83715267293,42977.10763218743,33266.2698997174,9710.837732470027,3434.0625000000045,2802.1019528023844,631.9605471976201,3229.545000000004,2435.8950000000013,793.6500000000028,1528022.595132194,1264487.7896998518,263534.8054323422,180252.00127947566,2055838.1571652698,-1875586.1558857942,0.0,0.0,0.0,1708274.5964116696,3320325.946865122,-1612051.3504534522,231877.54973661294,213435.5826975821,18441.96703903083,1940152.1461482826,3533761.529562704,-1593609.3834144212,1759900.144868807,1477923.372397434,281976.77247137297,180252.00127947566,2055838.1571652698,-1875586.1558857942,2253.150015993446,25697.976964565867,-23444.826948572423,104822.21373704253,81137.24365784733,23684.970079195205,18.508978936615065,43.552891006064264,-25.0439120694492
e2_one_shot_matched_s2,9000037,487,12,437,4.753593429158111,1,0,550475.6400000063,495677.16000000644,54798.479999999865,1005156.492537233,985460.3769294086,19696.11560782441,49155.35323623524,46558.290197615104,2597.0630386201374,3923.5808100638174,3846.6979547020733,76.88285536174408,3620.604517588963,3434.0625000000045,186.54201758895852,1612331.671101127,1534976.587581732,77355.08351939498,0.0,341708.7052254426,-341708.7052254426,0.0,0.0,0.0,1612331.671101127,1876685.2928071746,-264353.62170604756,144960.86637217313,123800.62038750286,21160.24598467027,1757292.5374733002,2000485.9131946776,-243193.37572137732,1757292.5374733002,1658777.207969235,98515.32950406522,0.0,341708.7052254426,-341708.7052254426,0.0,4271.358815318033,-4271.358815318033,119891.10545423224,113556.80536003655,6334.300094195685,14.657405408144617,17.6166096505802,-2.959204242435584
e2_one_shot_matched_s2,9000038,413,12,379,4.823244552058111,0,3,591989.6400000063,532209.4800000057,59780.160000000615,908270.5996475876,934722.6242499,-26452.024602312362,46024.849193137285,47193.94968274025,-1169.1004896029626,3545.391311284223,3648.6455377529687,-103.25422646874586,3375.451067363035,3434.062500000004,-58.61143263696931,1553205.9312193785,1521208.761970399,31997.16924897954,251636.99492990022,192712.67507384662,58924.3198560536,0.0,0.0,0.0,1804842.9261492786,1713921.4370442457,90921.48910503299,259186.21840815467,206374.53368219113,52811.68472596354,2064029.1445574332,1920295.9707264367,143733.1738309965,1812392.1496275333,1727583.29565259,84808.85397494328,251636.99492990022,192712.67507384662,58924.3198560536,3145.462436623752,2408.9084384230837,736.5539982006685,112255.72973935938,115107.19434814701,-2851.4646087876317,18.3868489327876,16.68267549740126,1.7041734353863411
e2_one_shot_matched_s2,9000039,440,12,408,4.825,0,3,600292.4400000067,500658.8400000053,99633.60000000137,977528.5737275671,812662.8487139633,164865.7250136038,47437.866893711005,36832.2939580883,10605.572935622702,3815.736536193609,3172.190979155211,643.5455570383979,3663.000000000005,2747.2500000000027,915.7500000000023,1632737.6171574784,1356073.4236512124,276664.193506266,5180.659618585432,751527.0306649255,-746346.37104634,0.0,0.0,0.0,1637918.2767760637,2107600.454316138,-469682.1775400741,183371.79872460684,329963.2737352864,-146591.47501067954,1821290.0755006706,2437563.728051424,-616273.6525507534,1816109.4158820852,1686036.6973864988,130072.71849558642,5180.659618585432,751527.0306649255,-746346.37104634,64.7582452323179,9394.08788331157,-9329.32963807925,115702.11437490505,89834.86331241042,25867.25106249463,15.74119959121244,27.13382798362517,-11.39262839241273
e2_one_shot_matched_s2,9000040,360,12,317,4.791666666666667,0,2,615237.4800000053,419291.40000000526,195946.08000000007,975728.5799406442,869010.670625592,106717.90931505221,46240.71212713734,40082.84435868473,6157.867768452612,3808.7103456123064,3392.142035913834,416.56830969847215,3376.065000000005,2976.1875000000036,399.8775000000014,1644391.5474133992,1334753.2445201958,309638.30289320345,0.0,1093209.2613003359,-1093209.2613003359,0.0,0.0,0.0,1644391.5474133992,2427962.5058205314,-783570.9584071322,173482.72854915785,189236.97336836957,-15754.244819211715,1817874.2759625572,2617199.479188901,-799325.2032263437,1817874.2759625572,1523990.2178885653,293884.0580739919,0.0,1093209.2613003359,-1093209.2613003359,0.0,13665.115766254208,-13665.115766254208,112782.22470033483,97763.03502118237,15019.189679152463,16.11844668601541,26.770849315611272,-10.652402629595862
