gate,seed,wall_clock_seconds,event_count,override_events,proposed_override_events,mean_head_agreement,early_departures,emitter_to_emitter_legs,episode_vessel_fuel_eur,greedy_episode_vessel_fuel_eur,delta_episode_vessel_fuel_eur,episode_conditioning_eur,greedy_episode_conditioning_eur,delta_episode_conditioning_eur,episode_reconditioning_eur,greedy_episode_reconditioning_eur,delta_episode_reconditioning_eur,episode_loading_eur,greedy_episode_loading_eur,delta_episode_loading_eur,episode_unloading_eur,greedy_episode_unloading_eur,delta_episode_unloading_eur,episode_operating_cost_eur,greedy_episode_operating_cost_eur,delta_episode_operating_cost_eur,episode_vent_penalty_eur,greedy_episode_vent_penalty_eur,delta_episode_vent_penalty_eur,episode_storage_shortfall_penalty_eur,greedy_episode_storage_shortfall_penalty_eur,delta_episode_storage_shortfall_penalty_eur,episode_total_cost_eur,greedy_episode_total_cost_eur,delta_episode_total_cost_eur,terminal_cleanup_operating_cost_eur,greedy_terminal_cleanup_operating_cost_eur,delta_terminal_cleanup_operating_cost_eur,total_cost_eur,greedy_total_cost_eur,delta_total_cost_eur,operating_cost_eur,greedy_operating_cost_eur,delta_operating_cost_eur,vent_penalty_eur,greedy_vent_penalty_eur,delta_vent_penalty_eur,vented_t,greedy_vented_t,delta_vented_t,stored_t,greedy_stored_t,delta_stored_t,unit_cost_eur_per_t,greedy_unit_cost_eur_per_t,delta_unit_cost_eur_per_t
e4_nohour_iterative_high_s1,9000031,4.350992128718644,325,11,265,4.8,1,0,652600.0800000075,585347.4000000049,67252.68000000261,986698.9049839803,938400.0000000005,48298.90498397988,46219.87576205746,47615.052461273815,-1395.1766992163539,3851.532490362666,3663.000000000002,188.53249036266425,3427.234990362667,3663.0000000000055,-235.7650096373386,1692797.6282267708,1578688.4524612792,114109.17576549156,590821.6419850376,706725.9914483359,-115904.34946329833,0.0,0.0,0.0,2283619.2702118084,2285414.4439096153,-1795.1736978068948,301470.5029670574,313067.04927811306,-11596.54631105566,2585089.7731788657,2598481.4931877283,-13391.72000886267,1994268.1311938283,1891755.5017393923,102512.62945443601,590821.6419850376,706725.9914483359,-115904.34946329833,7385.27052481297,8834.07489310419,-1448.8043682912212,112731.40429770114,116134.27429578982,-3402.869998088674,22.931407528217775,22.37480286456597,0.5566046636518038
e4_nohour_iterative_high_s1,9000032,2.318503717891872,407,11,339,4.746928746928747,0,6,588253.3800000051,525982.3800000033,62271.00000000186,958039.2490145117,873577.859909391,84461.38910512067,45247.21769870378,39421.00234181118,5826.2153568926005,3739.6608793053724,3409.9698431885117,329.6910361168607,3329.113872707914,3147.127500000004,181.98637270791005,1598608.6214652336,1445538.3395943937,153070.28187083988,227432.91186445457,983877.0782508614,-756444.1663864069,0.0,0.0,0.0,1826041.5333296882,2429415.417845255,-603373.884515567,167188.72153228484,183327.80833274501,-16139.08680046018,1993230.254861973,2612743.226178,-619512.9713160272,1765797.3429975184,1628866.1479271387,136931.19507037965,227432.91186445457,983877.0782508614,-756444.1663864069,2842.9113983056814,12298.463478135758,-9455.552079830077,110359.0675578142,96148.78619953955,14210.281358274646,18.06131837619752,27.173959541784757,-9.112641165587238
e4_nohour_iterative_high_s1,9000033,3.343003193847835,432,12,386,4.828703703703703,0,3,563344.9800000053,555457.3200000052,7887.660000000149,934021.0785130215,956757.2636373435,-22736.185124322074,45524.3657553056,44467.54982143489,1056.8159338707046,3645.9070871624003,3734.65671004219,-88.74962287978951,3392.5495871624053,3434.0625000000045,-41.51291283759929,1549928.8809426571,1563850.852668826,-13921.971726168878,158360.21370567539,517523.2606073027,-359163.0469016273,0.0,0.0,0.0,1708289.0946483326,2081374.1132761287,-373085.0186277961,295768.754105642,245869.21763050012,49899.53647514185,2004057.8487539745,2327243.3309066286,-323185.4821526541,1845697.635048299,1809720.0702993262,35977.56474897289,158360.21370567539,517523.2606073027,-359163.0469016273,1979.5026713209415,6469.040757591288,-4489.538086270346,111035.03842757468,108457.43858886565,2577.599838709022,18.048877877960752,21.457664510487025,-3.4087866325262723
e4_nohour_iterative_high_s1,9000034,3.3894468559883535,386,12,351,4.857512953367876,0,0,572062.9200000045,491110.6200000058,80952.29999999865,1055700.0,950911.9999999992,104788.00000000081,49230.35398015177,46077.42129937377,3152.9326807780017,4120.8750000000055,3711.840000000003,409.0350000000026,3663.000000000005,3663.0000000000045,4.547473508864641e-13,1684777.1489801563,1495474.8812993788,189302.26768077747,304449.9159713502,812264.8320181426,-507814.91604679235,0.0,0.0,0.0,1989227.0649515064,2307739.7133175214,-318512.64836601494,207947.68693793355,258271.84887260728,-50324.16193467373,2197174.75188944,2566011.5621901285,-368836.81030068826,1892724.8359180898,1753746.7301719862,138978.10574610368,304449.9159713502,812264.8320181426,-507814.91604679235,3805.6239496418752,10153.31040022678,-6347.686450584904,120074.03409793126,112383.95438871664,7690.079709214624,18.298500324370256,22.832543810611423,-4.534043486241167
e4_nohour_iterative_high_s1,9000035,3.492753725964576,400,12,333,4.7225,0,2,584517.1200000052,504395.10000000545,80122.01999999979,978903.8786737267,879750.0000000002,99153.87867372646,44124.71574471373,45310.1376681156,-1185.4219234018747,3821.1049739789696,3434.062500000002,387.0424739789678,3207.552473978972,3434.062500000004,-226.510026021032,1614574.3718664038,1436323.3626681212,178251.0091982826,0.0,334993.7500829431,-334993.7500829431,0.0,0.0,0.0,1614574.3718664038,1771317.1127510644,-156742.7408846605,215241.63278215242,269104.2778353944,-53862.645053241955,1829816.0046485562,2040421.3905864586,-210605.38593790238,1829816.0046485562,1705427.6405035155,124388.36414504074,0.0,334993.7500829431,-334993.7500829431,0.0,4187.421876036788,-4187.421876036788,107621.2579139358,110512.530897843,-2891.272983907198,17.002365890499544,18.463258184473304,-1.4608922939737603
e4_nohour_iterative_high_s1,9000036,3.001635937951505,306,10,233,4.8431372549019605,1,0,649278.9600000049,538021.440000004,111257.52000000083,809749.5994216632,713472.0862467332,96277.51317493,38612.211734385455,32596.287589571875,6015.92414481358,3160.819248381878,2785.004531033444,375.814717348434,2883.0417483818774,2289.3750000000027,593.6667483818746,1503684.6321528172,1289164.1933673425,214520.43878547475,1724963.6141252646,2953433.1130864504,-1228469.4989611858,0.0,0.0,0.0,3228648.246278082,4242597.306453792,-1013949.0601757104,267613.0961222574,209103.1194121928,58509.9767100646,3496261.3424003394,4451700.425865985,-955439.083465646,1771297.7282750746,1498267.3127795353,273030.4154955393,1724963.6141252646,2953433.1130864504,-1228469.4989611858,21562.045176565825,36917.91391358062,-15355.868737014793,94176.12618142797,79503.14046237044,14672.985719057528,37.124709670738405,55.994019858536475,-18.86931018779807
e4_nohour_iterative_high_s1,9000037,1.9621602981351316,362,12,304,4.651933701657459,2,2,590329.0800000059,512697.90000000544,77631.18000000046,1047405.3495907532,997049.9999999993,50355.3495907539,49743.09991081137,46093.88020424196,3649.2197065694054,4088.497224585395,3891.9375000000045,196.55972458539054,3912.249669480871,3434.062500000005,478.18716948086603,1695478.2763956366,1563167.7802042468,132310.49619138986,383913.3169179675,1282859.124031725,-898945.8071137576,0.0,0.0,0.0,2079391.5933136041,2846026.904235972,-766635.310922368,205712.66440542502,188399.06267099932,17313.601734425698,2285104.257719029,3034425.9669069713,-749321.7091879421,1901190.9408010617,1751566.842875246,149624.09792581573,383913.3169179675,1282859.124031725,-898945.8071137576,4798.916461474593,16035.739050396556,-11236.822588921963,121324.63392880803,112424.09805912641,8900.535869681626,18.834627261763703,26.990885577850907,-8.156258316087204
e4_nohour_iterative_high_s1,9000038,3.3788709030486643,411,12,357,4.75669099756691,0,0,611501.2200000058,513528.1800000042,97973.04000000161,1033388.0198253389,819392.8196515567,213995.20017378218,46024.13998048823,37219.48040403216,8804.65957645607,4033.781241070142,3198.4611022843733,835.3201387857689,3346.9687410701404,2747.2500000000023,599.7187410701381,1698294.1297879734,1376086.1911578772,322207.93863009615,615349.2522828571,2543741.698161035,-1928392.4458781779,0.0,0.0,0.0,2313643.3820708306,3919827.8893189123,-1606184.5072480817,202172.52853078104,183377.88980655995,18794.63872422109,2515815.9106016117,4103205.779125472,-1587389.8685238604,1900466.6583187543,1559464.0809644372,341002.57735431707,615349.2522828571,2543741.698161035,-1928392.4458781779,7691.865653535712,31796.771227012927,-24104.905573477216,112253.99995241026,90779.22049763944,21474.779454770818,22.411815273114403,45.19983490310064,-22.788019629986234
e4_nohour_iterative_high_s1,9000039,3.5153602701611817,387,10,315,4.801033591731266,0,1,631427.9400000067,623125.140000006,8302.800000000745,905838.9269506277,776717.5399498346,129121.38700079313,42190.41661803795,37761.59091149216,4428.825706545787,3535.8993919652103,3031.8801671315505,504.0192248336598,3160.4418919652107,2976.1875000000027,184.25439196520801,1586153.6248526028,1443612.3385284643,142541.28632413852,440255.9671195781,1381790.7428725054,-941534.7757529274,0.0,0.0,0.0,2026409.5919721809,2825403.08140097,-798993.4894287891,306685.94258917536,315946.29013136384,-9260.34754218848,2333095.534561356,3141349.371532334,-808253.836970978,1892839.5674417783,1759558.628659828,133280.93878195016,440255.9671195781,1381790.7428725054,-941534.7757529274,5503.199588994725,17272.384285906326,-11769.184696911601,102903.45516594607,92101.44124754185,10802.01391840422,22.672664691374226,34.10749418230385,-11.434829490929626
e4_nohour_iterative_high_s1,9000040,3.652303121984005,394,11,286,4.624365482233503,0,0,579950.5800000058,544248.5400000063,35702.039999999455,1090798.6113876963,1053425.314211784,37373.29717591242,51738.81520755041,48841.35007178134,2897.4651357690745,4257.880768875894,4111.995871651501,145.88489722439317,3816.3231873682253,3663.0000000000045,153.32318736822072,1730562.2105514966,1654290.200155223,76272.01039627357,662527.3539783113,987338.7079620959,-324811.35398378456,0.0,0.0,0.0,2393089.564529808,2641628.908117319,-248539.34358751122,184795.4691713066,196269.13986237333,-11473.670691066713,2577885.0337011144,2837898.0479796925,-260013.0142785781,1915357.6797228032,1850559.3400175963,64798.33970520692,662527.3539783113,987338.7079620959,-324811.35398378456,8281.591924728891,12341.733849526197,-4060.1419247973063,126192.23221353759,119125.24407751556,7066.9881360220315,20.428238636265007,23.822809933829426,-3.3945712975644184
