gate,seed,wall_clock_seconds,event_count,override_events,proposed_override_events,mean_head_agreement,early_departures,emitter_to_emitter_legs,episode_vessel_fuel_eur,greedy_episode_vessel_fuel_eur,delta_episode_vessel_fuel_eur,episode_conditioning_eur,greedy_episode_conditioning_eur,delta_episode_conditioning_eur,episode_reconditioning_eur,greedy_episode_reconditioning_eur,delta_episode_reconditioning_eur,episode_loading_eur,greedy_episode_loading_eur,delta_episode_loading_eur,episode_unloading_eur,greedy_episode_unloading_eur,delta_episode_unloading_eur,episode_operating_cost_eur,greedy_episode_operating_cost_eur,delta_episode_operating_cost_eur,episode_vent_penalty_eur,greedy_episode_vent_penalty_eur,delta_episode_vent_penalty_eur,episode_storage_shortfall_penalty_eur,greedy_episode_storage_shortfall_penalty_eur,delta_episode_storage_shortfall_penalty_eur,episode_total_cost_eur,greedy_episode_total_cost_eur,delta_episode_total_cost_eur,terminal_cleanup_operating_cost_eur,greedy_terminal_cleanup_operating_cost_eur,delta_terminal_cleanup_operating_cost_eur,total_cost_eur,greedy_total_cost_eur,delta_total_cost_eur,operating_cost_eur,greedy_operating_cost_eur,delta_operating_cost_eur,vent_penalty_eur,greedy_vent_penalty_eur,delta_vent_penalty_eur,vented_t,greedy_vented_t,delta_vented_t,stored_t,greedy_stored_t,delta_stored_t,unit_cost_eur_per_t,greedy_unit_cost_eur_per_t,delta_unit_cost_eur_per_t
e4_nohour_iterative_low_s0,9000031,4.589515395928174,501,11,446,4.870259481037924,1,3,536776.0200000057,498583.1400000054,38192.880000000296,967371.292636693,970806.9448776268,-3435.6522409338504,46449.42696159082,44989.57306175243,1459.8538998383883,3776.088070042848,3789.498976008898,-13.410905966049995,3653.98807004285,3531.742500000005,122.24557004284497,1558026.815738375,1521700.8994153936,36325.91632298147,0.0,177136.87552824378,-177136.87552824378,0.0,0.0,0.0,1558026.815738375,1698837.7749436374,-140810.95920526236,233008.1536190446,221085.85629553438,11922.297323510225,1791034.9693574198,1919923.6312391718,-128888.66188175208,1791034.9693574198,1742786.755710928,48248.21364649176,0.0,177136.87552824378,-177136.87552824378,0.0,2214.210944103048,-2214.210944103048,113291.28527217297,109730.66600427422,3560.6192678987572,15.809115105849544,17.496691682928336,-1.6875765770787918
e4_nohour_iterative_low_s0,9000032,2.4742438718676567,488,8,430,4.854508196721311,0,1,512282.760000005,458729.7000000049,53553.060000000114,921593.7837756533,900648.3329311532,20945.450844500097,41676.93841487054,40506.84709066963,1170.091324200912,3597.3977301472914,3515.638153800952,81.7595763463396,3205.1250000000055,2976.1875000000036,228.93750000000182,1482356.0049206761,1406376.7056756287,75979.29924504738,0.0,333955.486427715,-333955.486427715,0.0,0.0,0.0,1482356.0049206761,1740332.1921033438,-257976.18718266767,157743.3614290877,140577.40022671808,17165.961202369625,1640099.3663497637,1880909.5923300618,-240810.22598029813,1640099.3663497637,1546954.1059023468,93145.26044741692,0.0,333955.486427715,-333955.486427715,0.0,4174.443580346436,-4174.443580346436,101651.06930456236,98797.1880260236,2853.8812785387563,16.13460023165887,19.03808832934215,-2.9034880976832795
e4_nohour_iterative_low_s0,9000033,3.23794048698619,434,12,362,4.845622119815668,1,0,584101.980000006,481977.54000000743,102124.4399999986,941446.6794339645,935509.4595007749,5937.2199331896845,44903.87474346802,42803.380622268975,2100.4941211990445,3674.8925690181313,3651.7169119259725,23.175657092158872,3339.026917693652,3205.1250000000045,133.90191769364765,1577466.4536641506,1467147.222034977,110319.2316291735,5986.009037868711,17272.706487606665,-11286.697449737954,0.0,0.0,0.0,1583452.4627020194,1484419.9285225838,99032.53417943558,192253.21439486367,200938.83386390042,-8685.619469036756,1775705.677096883,1685358.7623864843,90346.91471039876,1769719.6680590142,1668086.0558988776,101633.61216013669,5986.009037868711,17272.706487606665,-11286.697449737954,74.8251129733589,215.90883109508331,-141.08371812172442,109521.64571577568,104398.4893226072,5123.15639316848,16.21328519574197,16.143516762761475,0.06976843298049573
e4_nohour_iterative_low_s0,9000034,3.4694071831181645,539,11,443,4.810760667903525,0,2,502734.5400000065,468277.9200000053,34456.62000000122,964524.0175484603,890700.5702966674,73823.44725179288,42989.496890267415,41499.04786034444,1490.4490299229728,3764.9738664535475,3476.8075330314327,288.1663334221148,3229.7776336513043,3205.125000000004,24.65263365130022,1517242.8059388392,1407159.4706900483,110083.33524879091,0.0,247370.60830194908,-247370.60830194908,0.0,0.0,0.0,1517242.8059388392,1654530.0789919973,-137287.27305315807,153296.42905562563,210758.63827929535,-57462.20922366972,1670539.2349944648,1865288.7172712926,-194749.4822768278,1670539.2349944648,1617918.1089693436,52621.12602512119,0.0,247370.60830194908,-247370.60830194908,0.0,3092.132603774364,-3092.132603774364,104852.43143967657,101217.18990327914,3635.2415363974287,15.932288951787973,18.42857640143656,-2.4962874496485856
e4_nohour_iterative_low_s0,9000035,3.4446565760299563,521,12,446,4.81573896353167,2,3,518509.8600000047,408497.76000000205,110012.10000000265,900974.6771880465,762450.0000000006,138524.67718804593,42421.537331577245,33939.198161456334,8482.339170120911,3516.9120231668962,2976.187500000001,540.7245231668953,3033.6231818823444,2591.5725000000034,442.050681882341,1468456.6097246776,1210454.7181614588,258001.8915632188,0.0,676939.0855623375,-676939.0855623375,0.0,0.0,0.0,1468456.6097246776,1887393.8037237963,-418937.19399911864,194649.78093467615,247989.61493577258,-53339.83400109643,1663106.3906593537,2135383.4186595688,-472277.02800021507,1663106.3906593537,1458444.3330972313,204662.05756212235,0.0,676939.0855623375,-676939.0855623375,0.0,8461.738569529227,-8461.738569529227,103467.16422335923,82778.53210111293,20688.6321222463,16.07376024212987,25.796343139441333,-9.722582897311462
e4_nohour_iterative_low_s0,9000036,3.6583480797708035,383,10,334,4.788511749347259,0,2,625200.8400000057,507301.080000006,117899.75999999966,871195.6653840239,859382.2757073988,11813.389676625142,42128.948935933986,40373.715634779765,1755.2333011542214,3400.671059571275,3354.5580519141135,46.11300765716123,3113.7360595712753,2976.1875000000027,137.54855957127256,1545039.861439106,1413387.8168940987,131652.0445450074,117561.41227358744,819114.0851345547,-701552.6728609672,0.0,0.0,0.0,1662601.2737126935,2232501.9020286533,-569900.6283159598,272038.64039400493,184853.80133707737,87184.83905692757,1934639.9141066985,2417355.7033657306,-482715.7892590321,1817078.501833111,1598241.618231176,218836.88360193511,117561.41227358744,819114.0851345547,-701552.6728609672,1469.5176534198429,10238.926064181935,-8769.408410762091,102753.53399008281,98472.47715799946,4281.056832083355,18.827964732516342,24.5485416141921,-5.720576881675758
e4_nohour_iterative_low_s0,9000037,2.0846375948749483,411,12,305,4.844282238442823,1,0,582026.2800000058,484883.52000000636,97142.75999999949,1007633.0876519652,979415.9965029766,28217.091148988577,49351.04486375413,45868.920821108455,3482.1240426456716,3933.2480819151256,3823.104001694805,110.14408022032057,3608.75040394736,3434.0625000000045,174.6879039473556,1646552.4110015878,1517425.6038257862,129126.8071758016,0.0,333880.75652155926,-333880.75652155926,0.0,0.0,0.0,1646552.4110015878,1851306.3603473455,-204753.94934575772,150639.37341580063,123527.38500846877,27111.988407331854,1797191.7844173885,1974833.7453558142,-177641.96093842573,1797191.7844173885,1640952.988834255,156238.7955831336,0.0,333880.75652155926,-333880.75652155926,0.0,4173.509456519491,-4173.509456519491,120368.40210671716,111875.41663684955,8492.985469867606,14.9307605065989,17.652079471276295,-2.721318964677394
e4_nohour_iterative_low_s0,9000038,3.5644646477885544,460,12,413,4.767391304347826,1,4,567911.5200000056,454163.16000000504,113748.36000000057,907137.1746838578,821100.0000000002,86037.1746838576,42695.921605358824,37331.21479216434,5364.706813194483,3540.9670405658285,3205.125000000003,335.8420405658253,3312.0295405658308,2976.1875000000036,335.8420405658271,1524597.6128703537,1318775.6872921695,205821.9255781842,0.0,863557.038267534,-863557.038267534,0.0,0.0,0.0,1524597.6128703537,2182332.7255597035,-657735.1126893498,225276.7937057064,230758.90700506791,-5482.113299361517,1749874.4065760602,2413091.6325647715,-663217.2259887112,1749874.4065760602,1549534.5942972375,200339.81227882276,0.0,863557.038267534,-863557.038267534,0.0,10794.46297834418,-10794.46297834418,104136.39415941182,91051.74339552286,13084.65076388896,16.803677721905323,26.502420959502754,-9.69874323759743
e4_nohour_iterative_low_s0,9000039,3.8346252660267055,440,12,394,4.890909090909091,0,3,605274.1200000071,500243.7000000053,105030.42000000179,958780.830655459,807676.8904989692,151103.94015648973,46364.07122094956,36938.269255555264,9425.801965394297,3742.5556081531836,3152.728527171491,589.8270809816927,3560.910665607085,2747.250000000003,813.6606656070817,1617722.4881501757,1350758.8382817013,266963.64986847434,71234.14128211426,650113.4487469646,-578879.3074648504,0.0,0.0,0.0,1688956.6294322899,2000872.287028666,-311915.657596376,168483.23547726916,318163.5993202384,-149680.36384296924,1857439.864909559,2319035.886348904,-461596.0214393451,1786205.7236274448,1668922.4376019398,117283.28602550505,71234.14128211426,650113.4487469646,-578879.3074648504,890.4267660264285,8126.418109337055,-7235.991343310627,113083.10053890143,90093.3396476958,22989.76089120563,16.42544160938164,25.740369881029437,-9.314928271647798
e4_nohour_iterative_low_s0,9000040,3.2918901876546443,458,12,405,4.7663755458515285,1,3,554627.0400000042,398534.40000000474,156092.6399999995,881822.770429849,815488.9089922621,66333.86143758695,42126.46249259198,38256.99600826247,3869.4664843295104,3442.1534613006647,3183.222371737695,258.93108956296965,3069.7540973304986,2844.930000000004,224.82409733049462,1485088.1804810765,1258308.457372267,226779.72310880944,0.0,745594.2765695087,-745594.2765695087,0.0,0.0,0.0,1485088.1804810765,2003902.7339417757,-518814.5534606993,251970.84294955703,227119.7732255129,24851.069724044122,1737059.0234306336,2231022.5071672886,-493963.483736655,1737059.0234306336,1485428.2305977799,251630.79283285374,0.0,745594.2765695087,-745594.2765695087,0.0,9319.928457118855,-9319.928457118855,102747.4694941267,93309.74636161573,9437.72313251096,16.906100286293945,23.909855016871536,-7.00375473057759
e4_nohour_iterative_low_s0,9000041,3.785248906817287,455,11,404,4.8197802197802195,2,4,591159.3600000053,533870.0400000064,57289.3199999989,967345.9030629653,877247.2269446229,90098.67611834232,43286.33640902079,40294.18863115842,2992.147777862374,3775.988963043097,3424.2930437959894,351.69591924710767,3333.1717228351968,2976.187500000005,356.98422283519176,1608900.7601578697,1457811.9361195837,151088.824038286,0.0,768766.2301757631,-768766.2301757631,0.0,0.0,0.0,1608900.7601578697,2226578.166295347,-617677.4061374771,185675.11672823623,219312.7101090419,-33637.59338080566,1794575.8768861059,2445890.876404389,-651314.999518283,1794575.8768861059,1677124.6462286254,117451.23065748042,0.0,768766.2301757631,-768766.2301757631,0.0,9609.577877197029,-9609.577877197029,105576.43026590423,98278.50885648394,7297.921409420291,16.99788364094426,24.887342155100484,-7.889458514156225
