gate,seed,wall_clock_seconds,event_count,override_events,proposed_override_events,mean_head_agreement,early_departures,emitter_to_emitter_legs,episode_vessel_fuel_eur,greedy_episode_vessel_fuel_eur,delta_episode_vessel_fuel_eur,episode_conditioning_eur,greedy_episode_conditioning_eur,delta_episode_conditioning_eur,episode_reconditioning_eur,greedy_episode_reconditioning_eur,delta_episode_reconditioning_eur,episode_loading_eur,greedy_episode_loading_eur,delta_episode_loading_eur,episode_unloading_eur,greedy_episode_unloading_eur,delta_episode_unloading_eur,episode_operating_cost_eur,greedy_episode_operating_cost_eur,delta_episode_operating_cost_eur,episode_vent_penalty_eur,greedy_episode_vent_penalty_eur,delta_episode_vent_penalty_eur,episode_storage_shortfall_penalty_eur,greedy_episode_storage_shortfall_penalty_eur,delta_episode_storage_shortfall_penalty_eur,episode_total_cost_eur,greedy_episode_total_cost_eur,delta_episode_total_cost_eur,terminal_cleanup_operating_cost_eur,greedy_terminal_cleanup_operating_cost_eur,delta_terminal_cleanup_operating_cost_eur,total_cost_eur,greedy_total_cost_eur,delta_total_cost_eur,operating_cost_eur,greedy_operating_cost_eur,delta_operating_cost_eur,vent_penalty_eur,greedy_vent_penalty_eur,delta_vent_penalty_eur,vented_t,greedy_vented_t,delta_vented_t,stored_t,greedy_stored_t,delta_stored_t,unit_cost_eur_per_t,greedy_unit_cost_eur_per_t,delta_unit_cost_eur_per_t
e4_nohour_iterative_medium_s1,9000031,4.557702876161784,411,12,360,4.866180048661801,1,1,599462.1600000069,509791.9200000052,89670.24000000168,1049218.3680689118,991296.1028016104,57922.26526730147,50296.71564360411,46932.58187229298,3364.133771311128,4095.574256432677,3869.4774345292985,226.09682190337844,3866.636756432679,3507.322500000005,359.3142564326736,1706939.4547253882,1555397.4046084378,151542.0501169504,0.0,499268.9184761926,-499268.9184761926,0.0,0.0,0.0,1706939.4547253882,2054666.3230846303,-347726.8683592421,207050.37238690135,238351.0279126895,-31300.65552578814,1913989.8271122896,2293017.35099732,-379027.5238850303,1913989.8271122896,1793748.4325211272,120241.39459116245,0.0,499268.9184761926,-499268.9184761926,0.0,6240.861480952415,-6240.861480952415,122674.91620391243,114469.71188364139,8205.204320271048,15.602128669326511,20.03165128368782,-4.429522614361311
e4_nohour_iterative_medium_s1,9000032,2.2828888311050832,397,9,311,4.7430730478589425,1,1,571647.7800000039,523906.68000000407,47741.0999999998,905191.9004564706,872609.8901637925,32582.010292678024,40461.389977471066,41249.47812830116,-788.0881508300954,3533.3737546590523,3406.191419085648,127.18233557340454,3004.2202172813872,3205.125000000004,-200.90478271861684,1523838.6644058859,1444377.3647111836,79461.29969470226,0.0,147597.08007642228,-147597.08007642228,0.0,0.0,0.0,1523838.6644058859,1591974.444787606,-68135.78038172005,177740.01545686167,174236.81051761188,3503.2049392497865,1701578.6798627474,1766211.2553052178,-64632.57544247038,1701578.6798627474,1618614.1752287955,82964.50463395193,0.0,147597.08007642228,-147597.08007642228,0.0,1844.963500955279,-1844.963500955279,98686.31701822206,100608.4832397591,-1922.1662215370307,17.24229590560723,17.555291546302083,-0.3129956406948544
e4_nohour_iterative_medium_s1,9000033,3.410037447232753,455,12,414,4.887912087912088,0,2,564590.4000000071,533870.0400000046,30720.360000002547,957287.0800324832,932749.1859035201,24537.89412896312,46996.989847386765,43105.35594725522,3891.6339001315428,3736.724823272581,3640.942314540279,95.78250873230218,3507.7873232725815,3205.125000000006,302.6623232725756,1576118.9820264222,1516570.64916532,59548.332861102186,0.0,383151.50941582996,-383151.50941582996,0.0,0.0,0.0,1576118.9820264222,1899722.15858115,-323603.17655472783,211700.28701805416,207876.53585432417,3823.7511637299904,1787819.2690444763,2107598.694435474,-319779.42539099767,1787819.2690444763,1724447.1850196442,63372.08402483212,0.0,383151.50941582996,-383151.50941582996,0.0,4789.393867697877,-4789.393867697877,114626.8045058215,105135.0145055005,9491.790000321009,15.596869133289667,20.04659155989566,-4.449722426605993
e4_nohour_iterative_medium_s1,9000034,3.2478554947301745,410,11,353,4.8341463414634145,0,4,567911.5200000022,508546.50000000285,59365.01999999938,936528.4509278338,916455.4202540746,20073.030673759175,44853.17636627521,42937.94541789649,1915.2309483787249,3655.694496748356,3577.340371260317,78.35412548803879,3434.062500000005,3205.125000000005,228.9375,1556382.9042908594,1474722.3310432343,81660.57324762503,0.0,262004.67944717887,-262004.67944717887,0.0,0.0,0.0,1556382.9042908594,1736727.0104904133,-180344.10619955393,186233.0760687041,199225.9755994933,-12992.899530789204,1742615.9803595634,1935952.9860899067,-193337.00573034328,1742615.9803595634,1673948.3066427277,68667.67371683568,0.0,262004.67944717887,-262004.67944717887,0.0,3275.0584930897367,-3275.0584930897367,109397.9911372567,104726.69614121088,4671.294996045821,15.929140583332853,18.485763968716398,-2.5566233853835456
e4_nohour_iterative_medium_s1,9000035,3.6110504372045398,449,12,400,4.717149220489977,1,3,521830.98000000423,484053.24000000494,37777.73999999929,898848.0236829728,884710.3299529921,14137.693729980616,46495.227029796275,44725.083455352586,1770.1435744436894,3508.6107318315567,3453.4249132755917,55.18581855596494,3421.0716301091793,3205.125000000004,215.9466301091752,1474103.913074714,1420147.2033216252,53956.70975308865,0.0,282922.74237956875,-282922.74237956875,0.0,0.0,0.0,1474103.913074714,1703069.945701194,-228966.0326264801,210027.13953570405,181939.4867516455,28087.652784058533,1684131.0526104178,1885009.4324528396,-200878.37984242174,1684131.0526104178,1602086.6900732708,82044.36253714701,0.0,282922.74237956875,-282922.74237956875,0.0,3536.5342797446087,-3536.5342797446087,113402.99275560056,109085.56940329901,4317.423352301543,14.850851919225429,17.280098942178068,-2.429247022952639
e4_nohour_iterative_medium_s1,9000036,3.4712193650193512,420,11,359,4.859523809523809,0,5,572478.0600000056,508131.36000000505,64346.700000000594,902142.8927275245,717852.1628473271,184290.72988019744,44141.98271850653,33266.2698997174,10875.712818789129,3521.4720972516243,2802.1019528023844,719.3701444492399,3205.1250000000045,2435.8950000000013,769.2300000000032,1525489.5325432883,1264487.7896998518,261001.74284343654,172632.45661277132,2055838.1571652698,-1883205.7005524985,0.0,0.0,0.0,1698121.9891560597,3320325.946865122,-1622203.9577090621,219009.82764999615,213435.5826975821,5574.244952414039,1917131.8168060558,3533761.529562704,-1616629.712756648,1744499.3601932845,1477923.372397434,266575.9877958505,172632.45661277132,2055838.1571652698,-1883205.7005524985,2157.905707659641,25697.976964565867,-23540.071256906227,107663.37248416228,81137.24365784733,26526.128826314947,17.806722681737224,43.552891006064264,-25.74616832432704
e4_nohour_iterative_medium_s1,9000037,2.0155840679071844,411,12,322,4.763990267639903,0,1,582026.2800000064,495677.16000000644,86349.12,1003998.1509626209,985460.3769294086,18537.77403321222,47071.774702387,46558.290197615104,513.4845047718991,3919.059278533763,3846.6979547020733,72.36132383168979,3434.062500000005,3434.0625000000045,4.547473508864641e-13,1640449.327443548,1534976.587581732,105472.73986181594,0.0,341708.7052254426,-341708.7052254426,0.0,0.0,0.0,1640449.327443548,1876685.2928071746,-236235.9653636266,177453.65003216153,123800.62038750286,53653.02964465867,1817902.9774757095,2000485.9131946776,-182582.93571896804,1817902.9774757095,1658777.207969235,159125.7695064745,0.0,341708.7052254426,-341708.7052254426,0.0,4271.358815318033,-4271.358815318033,114809.2065911876,113556.80536003655,1252.401231151045,15.834121944147693,17.6166096505802,-1.7824877064325086
e4_nohour_iterative_medium_s1,9000038,3.7234020880423486,355,11,277,4.788732394366197,0,3,623540.2800000078,532209.4800000057,91330.80000000214,965833.1940260676,934722.6242499,31110.569776167627,48753.604800615554,47193.94968274025,1559.655117875307,3770.0841748907574,3648.6455377529687,121.43863713778865,3604.388567363035,3434.062500000004,170.3260673630307,1645501.551568945,1521208.761970399,124292.78959854599,41160.82164274255,192712.67507384662,-151551.85343110407,0.0,0.0,0.0,1686662.3732116874,1713921.4370442457,-27259.063832558226,219424.314015448,206374.53368219113,13049.780333256873,1906086.6872271355,1920295.9707264367,-14209.283499301178,1864925.865584393,1727583.29565259,137342.56993180304,41160.82164274255,192712.67507384662,-151551.85343110407,514.510270534282,2408.9084384230837,-1894.3981678888017,118911.23122101344,115107.19434814701,3804.0368728664325,16.02949248489743,16.68267549740126,-0.6531830125038312
e4_nohour_iterative_medium_s1,9000039,4.051252730190754,540,11,446,4.840740740740741,1,2,561684.4200000074,500658.8400000053,61025.58000000205,989901.5573598223,812662.8487139633,177238.70864585903,47000.93566831958,36832.2939580883,10168.641710231277,3864.0338923796166,3172.190979155211,691.8429132244055,3519.4569563278474,2747.2500000000027,772.2069563278446,1605970.403876857,1356073.4236512124,249896.98022564454,0.0,751527.0306649255,-751527.0306649255,0.0,0.0,0.0,1605970.403876857,2107600.454316138,-501630.0504392809,197391.44585453582,329963.2737352864,-132571.82788075056,1803361.8497313927,2437563.728051424,-634201.8783200313,1803361.8497313927,1686036.6973864988,117325.1523448939,0.0,751527.0306649255,-751527.0306649255,0.0,9394.08788331157,-9394.08788331157,114636.42845931611,89834.86331241042,24801.56514690569,15.73114126083749,27.13382798362517,-11.402686722787681
e4_nohour_iterative_medium_s1,9000040,3.5043602320365608,498,11,438,4.660642570281125,1,1,543003.1200000059,419291.40000000526,123711.72000000067,957740.1787384967,869010.670625592,88729.50811290473,44958.71126815826,40082.84435868473,4875.8669094735305,3738.4934726333345,3392.142035913834,346.35143671950027,3280.6184726333313,2976.1875000000036,304.43097263332766,1552721.1219519277,1334753.2445201958,217967.8774317319,0.0,1093209.2613003359,-1093209.2613003359,0.0,0.0,0.0,1552721.1219519277,2427962.5058205314,-875241.3838686037,220318.03400882668,189236.97336836957,31081.060640457115,1773039.1559607543,2617199.479188901,-844160.3232281466,1773039.1559607543,1523990.2178885653,249048.938072189,0.0,1093209.2613003359,-1093209.2613003359,0.0,13665.115766254208,-13665.115766254208,109655.3933369713,97763.03502118237,11892.358315788937,16.169192430984225,26.770849315611272,-10.601656884627047
