controller,test_seed,hour,cumulative_vent_t,weather_speed_factor,brevik_inventory_t,brevik_capture_availability,brevik_capture_outage,brevik_capture_high_output_factor,brevik_capture_high_output,celsio_inventory_t,celsio_capture_availability,celsio_capture_outage,celsio_capture_high_output_factor,celsio_capture_high_output,yara_sluiskil_inventory_t,yara_sluiskil_capture_availability,yara_sluiskil_capture_outage,yara_sluiskil_capture_high_output_factor,yara_sluiskil_capture_high_output,northern_pathfinder_inventory_t,northern_pathfinder_mode,northern_pathfinder_destination,northern_pathfinder_operational_state,northern_phoenix_inventory_t,northern_phoenix_mode,northern_phoenix_destination,northern_phoenix_operational_state,northern_pioneer_inventory_t,northern_pioneer_mode,northern_pioneer_destination,northern_pioneer_operational_state,oygarden_terminal_inventory_t,aurora_well_a7_ah_available,cumulative_operating_cost_eur,cumulative_vent_penalty_eur,cumulative_episode_cost_eur
greedy,9000056,0.0,0.0,1.0,1585.8756482500692,0.7235853201417359,0,1.0,0,436.2970813663125,1.5162177798633156,0,1.0,0,6784.901074973901,0.8693471293768965,0,1.0,0,0.0,loading,celsio,loading,0.0,loading,yara_sluiskil,loading,0.0,loading,brevik,loading,2765.382902051245,1,0.0,0.0,0.0
greedy,9000056,1.0,0.0,1.0,812.8605927272924,0.38841757724177417,0,1.0,0,0.0,1.1854065346432332,0,1.0,0,6064.145403240234,0.9606648502498291,0,1.0,0,500.51529671768384,idle,celsio,idle,800.0,loading,yara_sluiskil,loading,800.0,loading,brevik,loading,2479.9947741973638,1,16607.156982184686,0.0,16607.156982184686
greedy,9000056,2.0,0.0,1.0,27.345995868796535,1.1277860789160268,0,1.0,0,0.0,0.7574690496838903,0,1.0,0,5351.713627968322,1.0777160729067305,0,1.0,0,550.7222611337749,idle,celsio,idle,1600.0,loading,yara_sluiskil,loading,1600.0,loading,brevik,loading,2194.6066463434827,1,29679.157143927412,0.0,29679.157143927412
greedy,9000056,3.0,0.0,1.0,0.0,0.8603336369354949,0,1.0,0,0.0,0.7081982010618342,0,1.0,0,4649.951440951821,1.132920145836311,0,1.0,0,582.8042688774011,idle,celsio,idle,2400.0,loading,yara_sluiskil,loading,1669.4049405184471,idle,brevik,idle,1909.2185184896014,1,36873.312100852614,0.0,36873.312100852614
greedy,9000056,4.0,0.0,1.0,0.0,1.080508047005293,0,1.0,0,0.0,0.8957630690958552,0,1.0,0,3953.221233808291,0.8340834179104075,0,1.0,0,612.7994484559855,idle,celsio,idle,3200.0,loading,yara_sluiskil,loading,1701.4896760021263,idle,brevik,idle,1623.83039063572,1,43758.10115846688,0.0,43758.10115846688
greedy,9000056,5.0,0.0,1.0,0.0,0.5092809570088943,0,1.0,0,0.0,0.9258342267019495,0,1.0,0,3229.25091586271,0.9823996697697603,0,1.0,0,650.7387909692943,idle,celsio,idle,4000.0,loading,yara_sluiskil,loading,1741.7854494209755,idle,brevik,idle,1338.4422627818387,1,50769.71702439027,0.0,50769.71702439027
greedy,9000056,6.0,0.0,1.0,0.0,0.7670698989427591,0,1.0,0,0.0,1.1452717748414847,0,1.0,0,2518.8000880906666,1.0246082057746022,0,1.0,0,689.9517737872217,idle,celsio,idle,4800.0,loading,yara_sluiskil,loading,1760.7782434176052,idle,brevik,idle,1053.0541349279574,1,57624.092062837466,0.0,57624.092062837466
greedy,9000056,7.0,0.0,1.0,0.0,1.4608230143756165,0,1.0,0,0.0,0.7326550653791566,0,1.0,0,1812.1966476254247,1.289545635244612,0,1.0,0,738.4588619175613,idle,celsio,idle,5600.0,loading,yara_sluiskil,loading,1789.3848465650626,idle,brevik,idle,767.6660070740761,1,64626.90415647619,0.0,64626.90415647619
greedy,9000056,8.0,0.0,1.0,0.0,0.9629261185715282,0,1.0,0,0.0,1.9230501825917616,0,1.0,0,1129.7430780467619,0.6754009923928224,0,1.0,0,769.4898928101243,idle,celsio,idle,6400.0,loading,yara_sluiskil,loading,1843.8638159199975,idle,brevik,idle,482.2778792201948,1,71695.63168358926,0.0,71695.63168358926
greedy,9000056,9.0,0.0,1.0,0.0,0.6492501623676,0,1.0,0,0.0,0.9393286073779697,0,1.0,0,391.3081093528456,1.3190719472542982,0,1.0,0,850.9391756224552,idle,celsio,idle,7200.0,loading,yara_sluiskil,loading,1879.774540314283,idle,brevik,idle,196.88975136631348,1,79014.39848658508,0.0,79014.39848658508
greedy,9000056,10.0,0.0,1.0,0.0,0.8452601734317753,0,1.0,0,0.0,0.8350962156751761,0,1.0,0,211.5457858618962,0.82397901736217,0,1.0,0,890.723702354321,idle,celsio,idle,7500.0,idle,yara_sluiskil,idle,1903.987238924261,idle,brevik,idle,0.0,1,81952.69260212204,0.0,81952.69260212204
greedy,9000056,11.0,0.0,1.0,0.0,0.7391960844801655,0,1.0,0,0.0,0.5684492008258997,0,1.0,0,286.654084483964,1.1877385180056037,0,1.0,0,926.0935478538099,idle,celsio,idle,7500.0,sailing,oygarden_terminal,sailing_to_terminal,1935.5097979005677,idle,brevik,idle,0.0,1,82892.97309576938,0.0,82892.97309576938
greedy,9000056,12.0,0.0,1.0,0.0,1.1101646171756325,0,1.0,0,0.0,1.2854724714817745,0,1.0,0,394.9201347650577,1.0366786770771164,0,1.0,0,950.1697680906175,idle,celsio,idle,7500.0,sailing,oygarden_terminal,sailing_to_terminal,1963.0768703258532,idle,brevik,idle,0.0,1,83713.54005589547,0.0,83713.54005589547
greedy,9000056,13.0,0.0,1.0,0.0,0.9064494350912465,0,1.0,0,0.0,0.8754853475894457,0,1.0,0,489.41654250042177,1.1260540079678159,0,1.0,0,1004.6149468098104,idle,celsio,idle,7500.0,sailing,oygarden_terminal,sailing_to_terminal,2004.4785813248861,idle,brevik,idle,0.0,1,84881.12845980065,0.0,84881.12845980065
greedy,9000056,14.0,0.0,1.0,0.0,0.9623736082961817,0,1.0,0,0.0,1.4737410539670726,0,1.0,0,592.0597074549838,0.6661222326266099,0,1.0,0,1041.6954423264488,idle,celsio,idle,7500.0,sailing,oygarden_terminal,sailing_to_terminal,2038.2830738554735,idle,brevik,idle,0.0,1,85852.75283059008,0.0,85852.75283059008
