intervention_index,event_index,hour,day,changed_vessel_count,action_changes,max_emitter_fill_percent,brevik_fill_percent,celsio_fill_percent,yara_sluiskil_fill_percent,terminal_fill_percent,cumulative_vent_t_before,head_agreement,lower_confidence_advantage
1,108,108.0,4.5,1,Vessel 3: Wait -> Terminal,48.61625716883448,0.0,0.0,48.61625716883448,0.0,0.0,5,0.6330796480178833
2,134,190.0,7.916666666666667,1,Vessel 2: Yara Sluiskil -> Celsio,48.706692295425405,48.706692295425405,45.29409317671569,34.233262564611074,51.456104216376175,0.0,4,0.6758328676223755
3,139,204.0,8.5,1,Vessel 3: Wait -> Brevik,57.8126619264795,57.8126619264795,53.039802770733644,21.422474770002015,11.302088497454989,0.0,5,0.6375370025634766
4,157,252.0,10.5,1,Vessel 2: Wait -> Terminal,60.70500543133425,60.70500543133425,0.0,50.441564579718346,12.480989456900819,0.0,5,0.48976173996925354
5,173,301.0,12.541666666666666,1,Vessel 2: Yara Sluiskil -> Celsio,38.71338051480701,38.71338051480701,26.755495218313346,31.970807775077972,96.07084306411033,0.0,5,0.860307514667511
6,189,349.0,14.541666666666666,2,Vessel 2: Wait -> Terminal; Vessel 3: Terminal -> Wait,58.17188981573282,58.17188981573282,0.0,24.863319612491413,53.683137840896244,0.0,5,1.1790748834609985
7,209,396.0,16.5,1,Vessel 1: Wait -> Celsio,65.87975089492328,0.0,24.97393608330995,65.87975089492328,3.8383081618595596,0.0,5,0.7626566290855408
8,225,446.0,18.583333333333332,1,Vessel 1: Yara Sluiskil -> Celsio,44.0992112392664,23.568337086810452,30.190257401011554,44.0992112392664,54.27943382608012,0.0,5,0.41453924775123596
9,264,522.0,21.75,1,Vessel 1: Wait -> Brevik,71.34463732586552,71.34463732586552,0.0,38.596173568000594,30.776641040328666,0.0,5,0.5396924614906311
10,280,575.0,23.958333333333332,1,Vessel 1: Brevik -> Celsio,80.42380734424724,80.42380734424724,27.076939612124796,16.727615712362145,98.81145463602317,0.0,5,0.9200384020805359
11,291,588.0,24.5,1,Vessel 3: Wait -> Brevik,86.87147176279375,86.87147176279375,28.978325711792095,0.0,64.56625577046236,0.0,5,0.7286769151687622
