controller,test_seed,event_index,hour,vessel_id,greedy_native_action,greedy_action_label,selected_native_action,selected_action_label,physical_action_changed,joint_action_index,candidate_joint_action_index,accepted_override,active_policy_window,head_agreement,positive_heads,ensemble_advantage,advantage_std,lower_confidence_advantage
greedy,9000031,0,0.0,northern_pathfinder,0,Wait,0,Wait,0,215,215,0,,0,0,0.0,0.0,0.0
greedy,9000031,0,0.0,northern_phoenix,0,Wait,0,Wait,0,215,215,0,,0,0,0.0,0.0,0.0
greedy,9000031,0,0.0,northern_pioneer,0,Wait,0,Wait,0,215,215,0,,0,0,0.0,0.0,0.0
greedy,9000031,1,1.0,northern_pathfinder,0,Wait,0,Wait,0,215,215,0,,0,0,0.0,0.0,0.0
greedy,9000031,1,1.0,northern_phoenix,0,Wait,0,Wait,0,215,215,0,,0,0,0.0,0.0,0.0
greedy,9000031,1,1.0,northern_pioneer,0,Wait,0,Wait,0,215,215,0,,0,0,0.0,0.0,0.0
greedy,9000031,2,2.0,northern_pathfinder,0,Wait,0,Wait,0,215,215,0,,0,0,0.0,0.0,0.0
greedy,9000031,2,2.0,northern_phoenix,0,Wait,0,Wait,0,215,215,0,,0,0,0.0,0.0,0.0
greedy,9000031,2,2.0,northern_pioneer,0,Wait,0,Wait,0,215,215,0,,0,0,0.0,0.0,0.0
greedy,9000031,3,3.0,northern_pathfinder,0,Wait,0,Wait,0,215,215,0,,0,0,0.0,0.0,0.0
greedy,9000031,3,3.0,northern_phoenix,0,Wait,0,Wait,0,215,215,0,,0,0,0.0,0.0,0.0
greedy,9000031,3,3.0,northern_pioneer,0,Wait,0,Wait,0,215,215,0,,0,0,0.0,0.0,0.0
greedy,9000031,4,4.0,northern_pathfinder,0,Wait,0,Wait,0,215,215,0,,0,0,0.0,0.0,0.0
greedy,9000031,4,4.0,northern_phoenix,0,Wait,0,Wait,0,215,215,0,,0,0,0.0,0.0,0.0
