intervention_index,event_index,hour,day,changed_vessel_count,action_changes,max_emitter_fill_percent,brevik_fill_percent,celsio_fill_percent,yara_sluiskil_fill_percent,terminal_fill_percent,cumulative_vent_t_before,head_agreement,lower_confidence_advantage
1,99,108.0,4.5,1,Vessel 2: Wait -> Brevik,19.507974920660587,18.313127799637616,0.0,19.507974920660587,0.0,0.0,5,0.4536351263523102
2,149,186.0,7.75,2,Vessel 1: Wait -> Celsio; Vessel 2: Celsio -> Wait,44.02812303038085,22.788652363646687,44.02812303038085,0.0,53.49224896172994,0.0,5,0.6375756859779358
3,158,227.0,9.458333333333334,1,Vessel 2: Wait -> Brevik,43.242778793342644,43.242778793342644,0.0,26.44052231527239,5.6241734660778,0.0,5,0.5447241067886353
4,183,254.0,10.583333333333334,1,Vessel 1: Wait -> Brevik,42.20689659342546,21.969728191797465,0.0,42.20689659342546,3.1900793846004523,0.0,5,0.49287375807762146
5,256,354.0,14.75,2,Vessel 2: Wait -> Terminal; Vessel 3: Celsio -> Wait,57.95646883025596,30.94459010551634,57.95646883025596,0.0,95.65297310580424,0.0,4,0.7649487257003784
6,277,396.0,16.5,1,Vessel 3: Wait -> Brevik,39.79437135088736,26.403219960460355,0.0,39.79437135088736,0.0,0.0,5,0.41868504881858826
7,319,444.0,18.5,1,Vessel 3: Wait -> Celsio,87.50071916214249,0.0,25.88238526233506,87.50071916214249,37.05983161517817,0.0,5,0.6419708132743835
8,342,501.0,20.875,1,Vessel 3: Yara Sluiskil -> Brevik,42.25337512762173,42.25337512762173,35.07802945101247,28.087922774971045,53.026535354532534,0.0,5,0.537514328956604
9,353,540.0,22.5,1,Vessel 3: Wait -> Celsio,56.520189445888974,0.0,56.520189445888974,51.31848585538149,66.83748212684151,0.0,5,0.9812053442001343
10,373,594.0,24.75,2,Vessel 1: Wait -> Celsio; Vessel 3: Celsio -> Wait,50.92847051586459,24.594838308877105,50.92847051586459,22.782889725414897,57.72328744261177,0.0,5,0.5427547693252563
11,381,636.0,26.5,2,Vessel 2: Yara Sluiskil -> Wait; Vessel 3: Wait -> Brevik,49.318793284629294,46.37248240051418,10.5745608394465,49.318793284629294,54.944242173601616,0.0,5,0.6423918604850769
