controller,controller_display_name,horizon_hours,horizon_days,records,mean_total_cost_eur,mean_normalized_cost_eur_per_720h,normalized_cost_95pct_ci_low_eur_per_720h,normalized_cost_95pct_ci_high_eur_per_720h,mean_cost_reduction_vs_fixed_percent,cost_reduction_95pct_ci_low_percent,cost_reduction_95pct_ci_high_percent,mean_normalized_vented_t_per_720h,normalized_vented_95pct_ci_low_t_per_720h,normalized_vented_95pct_ci_high_t_per_720h,mean_storage_rate,mean_captured_t,mean_stored_t,mean_vented_t,mean_unit_cost_eur_per_captured_t,mean_episode_wall_time_s,mean_override_events
fixed_assignment,Fixed-Assignment,720,30.0,30,2683390.7636696342,2683390.7636696347,2539105.468283298,2829390.2099006707,0.0,0.0,0.0,13295.49558356082,11478.00932381633,15098.435611296893,0.7515009130588732,127574.347584642,95707.86518964636,13295.49558356082,20.96046592702606,0.9718030849471688,
greedy,Greedy,720,30.0,30,2217769.1541587515,2217769.1541587515,2120964.916238114,2319921.326520726,15.515993890313382,9.096598255929004,21.204979219120467,6622.621590689806,5195.715352977599,8100.798496172462,0.8217167483747965,127574.347584642,104818.34589324852,6622.621590689806,17.396126177044824,1.081581845646724,
iterative_q_direct,Iterative-Q (direct),720,30.0,90,1924571.8854540132,1924571.8854540137,1861213.2313202496,1992674.896351146,27.31206929280987,24.256884479546034,30.02104476503395,1540.4764371888946,878.5539361435413,2275.217353891745,0.8661553972636565,127574.34758464202,110443.92220770665,1540.4764371888946,15.077480890996066,3.902188255979369,10.9
iterative_q_receding,Iterative-Q (receding),720,30.0,90,1924571.8854540132,1924571.8854540137,1861213.2313202496,1992674.896351146,27.31206929280987,24.256884479546034,30.02104476503395,1540.4764371888946,878.5539361435413,2275.217353891745,0.8661553972636565,127574.34758464202,110443.92220770665,1540.4764371888946,15.077480890996066,3.7622178500621684,10.9
fixed_assignment,Fixed-Assignment,2160,90.0,30,9122089.15994397,3040696.3866479895,2980552.613264829,3100513.53752012,0.0,0.0,0.0,19805.970073311626,19031.012942887857,20577.058738163574,0.7972118831179417,389609.0285037134,310532.862785145,59417.91021993486,23.40475295863503,10.266597833065315,
greedy,Greedy,2160,90.0,30,7093740.612737375,2364580.204245792,2272716.648070834,2460945.975520121,22.106112794531338,18.945418549550695,25.14764847405908,9661.997132667357,8375.27723062148,10998.735052945602,0.8824816857455023,389609.0285037134,343729.613772372,28985.991398002065,18.197061095733886,11.937776799344768,
iterative_q_direct,Iterative-Q (direct),2160,90.0,90,6726812.29947556,2242270.766491853,2179616.6347923833,2309073.6994965803,26.117658729489392,23.816833626662046,28.29743522065199,7467.834430079181,6598.315846478435,8411.796386855667,0.8991666298779871,389609.0285037133,350296.06845678255,22403.503290237542,17.265295232938723,21.29962225500494,11.733333333333333
iterative_q_receding,Iterative-Q (receding),2160,90.0,90,5998074.49660901,1999358.1655363364,1944326.4828235277,2070003.6717892129,34.17283475754538,32.05183187613563,35.95095656674674,3472.6781357059185,2754.795509552486,4437.185047554338,0.9283325802884652,389609.0285037133,361642.70223509916,10418.034407117755,15.392744357148816,20.456686925013653,34.32222222222222
fixed_assignment,Fixed-Assignment,8760,365.0,30,37866088.785999805,3112281.2700821757,3079686.355043776,3145739.5724781216,0.0,0.0,0.0,21376.921891732858,20952.973439653084,21808.15675903849,0.8239470472911197,1589103.2474770145,1309266.5925050876,260085.88301608313,23.825964329357994,218.73766757158253,
greedy,Greedy,8760,365.0,30,29176067.451652523,2398032.9412317136,2349567.1217995198,2446058.794090296,22.932114779663102,21.485100132888928,24.343088142965097,10522.399304130844,9859.600466860895,11188.353293259685,0.9093009685006942,1589103.2474770145,1444860.6675925215,128022.52486692528,18.355486697481123,253.77947823749855,
iterative_q_direct,Iterative-Q (direct),8760,365.0,90,28914406.45160528,2376526.557666187,2332923.041544434,2421933.2078855145,23.60915329904974,22.270725873768935,25.06033315807364,10067.504850644922,9467.498548006095,10698.33918043103,0.9126740348999361,1589103.247477014,1450279.229197334,122487.97568284656,18.193372405871205,298.158226451464,11.911111111111111
iterative_q_receding,Iterative-Q (receding),8760,365.0,90,25518462.57116127,2097407.8825612,2028429.0348331304,2159231.789139145,32.5831714038127,30.62249336498287,34.84352646241926,5152.029435807574,4255.979627225656,5976.38841831157,0.9498578629425926,1589103.247477014,1509411.9908138998,62683.0248023255,16.058242776896833,308.4817892946303,139.92222222222222
