controller,controller_display_name,horizon_hours,horizon_days,records,mean_total_cost_eur,mean_normalized_cost_eur_per_720h,normalized_cost_95pct_ci_low_eur_per_720h,normalized_cost_95pct_ci_high_eur_per_720h,mean_cost_reduction_vs_fixed_percent,cost_reduction_95pct_ci_low_percent,cost_reduction_95pct_ci_high_percent,mean_normalized_vented_t_per_720h,normalized_vented_95pct_ci_low_t_per_720h,normalized_vented_95pct_ci_high_t_per_720h,mean_storage_rate,mean_captured_t,mean_stored_t,mean_vented_t,mean_unit_cost_eur_per_captured_t,mean_episode_wall_time_s,mean_override_events
fixed_assignment,Fixed-Assignment,720,30.0,30,2683390.7636696342,2683390.7636696347,2539105.468283298,2829390.2099006707,0.0,0.0,0.0,13295.49558356082,11478.00932381633,15098.435611296893,0.7515009130588732,127574.347584642,95707.86518964636,13295.49558356082,20.96046592702606,0.9718030849471688,
greedy,Greedy,720,30.0,30,2217769.1541587515,2217769.1541587515,2120964.916238114,2319921.326520726,15.515993890313382,9.096598255929004,21.204979219120467,6622.621590689806,5195.715352977599,8100.798496172462,0.8217167483747965,127574.347584642,104818.34589324852,6622.621590689806,17.396126177044824,1.081581845646724,
iterative_q_direct,Iterative-Q (direct-global),720,30.0,90,1924571.8854540132,1924571.8854540137,1861213.2313202496,1992674.896351146,27.31206929280987,24.256884479546034,30.02104476503395,1540.4764371888946,878.5539361435413,2275.217353891745,0.8661553972636565,127574.34758464202,110443.92220770665,1540.4764371888946,15.077480890996066,3.9287721707899537,10.9
iterative_q_receding,Iterative-Q (receding-cyclic),720,30.0,90,1924571.8854540132,1924571.8854540137,1861213.2313202496,1992674.896351146,27.31206929280987,24.256884479546034,30.02104476503395,1540.4764371888946,878.5539361435413,2275.217353891745,0.8661553972636565,127574.34758464202,110443.92220770665,1540.4764371888946,15.077480890996066,3.7622178500621684,10.9
fixed_assignment,Fixed-Assignment,2160,90.0,30,9122089.15994397,3040696.3866479895,2980552.613264829,3100513.53752012,0.0,0.0,0.0,19805.970073311626,19031.012942887857,20577.058738163574,0.7972118831179417,389609.0285037134,310532.862785145,59417.91021993486,23.40475295863503,10.266597833065315,
greedy,Greedy,2160,90.0,30,7093740.612737375,2364580.204245792,2272716.648070834,2460945.975520121,22.106112794531338,18.945418549550695,25.14764847405908,9661.997132667357,8375.27723062148,10998.735052945602,0.8824816857455023,389609.0285037134,343729.613772372,28985.991398002065,18.197061095733886,11.937776799344768,
iterative_q_direct,Iterative-Q (direct-global),2160,90.0,90,6035318.832135892,2011772.9440452973,1949640.8336809138,2073384.0590841859,33.80360899012947,32.17384378764076,35.598113472623616,3588.0631943029857,2789.5683166766585,4376.375643231121,0.9288344542239148,389609.0285037133,361836.2809761593,10764.189582908955,15.487076051563614,20.764175752048484,34.577777777777776
iterative_q_receding,Iterative-Q (receding-cyclic),2160,90.0,90,5998074.49660901,1999358.1655363364,1944326.4828235277,2070003.6717892129,34.17283475754538,32.05183187613563,35.95095656674674,3472.6781357059185,2754.795509552486,4437.185047554338,0.9283325802884652,389609.0285037133,361642.70223509916,10418.034407117755,15.392744357148816,20.456686925013653,34.32222222222222
fixed_assignment,Fixed-Assignment,4320,180.0,30,18449087.510434233,3074847.918405705,3034129.2061512154,3114499.982441563,0.0,0.0,0.0,20694.814007297442,20178.32266158594,21212.031785090254,0.8168997526672669,780979.3724413827,637943.6897774258,124168.88404378468,23.620927733151877,47.002366379353525,
greedy,Greedy,4320,180.0,30,14381960.731302332,2396993.4552170555,2324234.424727151,2470463.424640603,22.06392923305555,19.995679118049484,24.118835952143733,10393.544358409645,9412.398593089072,11401.607055318696,0.8975177472443547,780979.3724413827,700799.1765141123,62361.266150457865,18.40432783164942,54.81491729374975,
iterative_q_direct,Iterative-Q (direct-global),4320,180.0,90,12441389.601504218,2073564.933584036,2018603.7943399034,2130625.414889004,32.570883097557356,30.96920887770623,34.131674555330115,4707.15540123326,3999.768942044759,5461.398642487785,0.9437833432245953,780979.3724413824,737025.2496300712,28242.932407399552,15.92795747656729,74.27603119148148,69.36666666666666
iterative_q_receding,Iterative-Q (receding-cyclic),4320,180.0,90,12403951.781217298,2067325.2968695492,2013001.2639958225,2131078.663511861,32.798191736042114,31.184418431323067,34.265730142713956,4670.058115872278,3967.9259523575934,5541.133136607273,0.9441822854348282,780979.3724413824,737336.0273192581,28020.34869523366,15.878495627534017,75.22148599789685,69.14444444444445
fixed_assignment,Fixed-Assignment,8760,365.0,30,37866088.785999805,3112281.2700821757,3080257.8809793117,3145790.5358879743,0.0,0.0,0.0,21376.921891732858,20956.866707662386,21810.24361636991,0.8239470472911197,1589103.2474770145,1309266.5925050876,260085.88301608313,23.825964329357994,218.73766757158253,
greedy,Greedy,8760,365.0,30,29176067.451652523,2398032.9412317136,2349551.803434526,2444529.1936003533,22.932114779663102,21.490987105917633,24.36014902591553,10522.399304130844,9860.102023422372,11179.277895663286,0.9093009685006942,1589103.2474770145,1444860.6675925215,128022.52486692528,18.355486697481123,253.77947823749855,
iterative_q_direct,Iterative-Q (direct-global),8760,365.0,90,25542382.93085742,2099373.9395225276,2040019.0475369573,2156306.348515054,32.51427132746528,30.67872478745567,34.43364675842614,5159.329680083378,4347.4891781838205,5934.06646060684,0.9498333107205507,1589103.247477014,1509391.6383871168,62771.84444101444,16.073781685408814,307.3275931860838,140.2888888888889
iterative_q_receding,Iterative-Q (receding-cyclic),8760,365.0,90,25518462.57116127,2097407.8825612,2028189.0688795156,2159003.790892269,32.5831714038127,30.64890726814334,34.76501025141772,5152.029435807574,4224.27117722629,5980.228958946853,0.9498578629425926,1589103.247477014,1509411.9908138998,62683.0248023255,16.058242776896833,308.4817892946303,139.92222222222222
