"seed","greedy_total_cost","fixed_assignment_total_cost","fixed_minus_greedy_total_cost","cost_improvement_vs_greedy_percent","greedy_stored_t","fixed_assignment_stored_t","fixed_minus_greedy_stored_t","greedy_vented_t","fixed_assignment_vented_t","fixed_minus_greedy_vented_t"
"9000031","2293017.35099732","3088117.72331526","795100.372317936","-34.6748519792978","114469.711883641","100078.554663262","-14391.1572203791","6240.86148095242","18162.3933442866","11921.5318633342"
"9000032","1766211.25530522","2246922.08357271","480710.828267489","-27.2170628979724","100608.483239759","87700.2953997033","-12908.1878400557","1844.96350095528","8548.60130738855","6703.63780643327"
"9000033","2107598.69443547","2808943.34522278","701344.650787307","-33.2769541297882","105135.0145055","88990.1334767866","-16144.8810287139","4789.39386769788","15362.9531067798","10573.5592390819"
"9000034","1935952.98608991","2204230.0468813","268277.060791397","-13.8576227170291","104726.696141211","90594.6334478174","-14132.0626933935","3275.05849308974","7288.34610628017","4013.28761319043"
"9000035","1885009.43245284","1835118.65311918","-49890.7793336625","2.64671245006678","109085.569403299","102590.709654928","-6494.8597483706","3536.53427974461","2342.92010283049","-1193.61417691412"
"9000036","3533761.5295627","2856437.44522367","-677324.084339038","19.1672267263279","81137.2436578473","86488.3483093833","5351.10465153595","25697.9769645659","15882.0049785541","-9815.97198601175"
"9000037","2000485.91319468","2528976.51206137","528490.598866689","-26.418111488859","113556.805360037","100172.740848785","-13384.0645112518","4271.35881531803","11525.5132669895","7254.15445167151"
"9000038","1920295.97072644","2943299.01840223","1023003.0476758","-53.2731965942104","115107.194348147","94941.7020165052","-20165.4923316418","2408.90843842308","16564.9571279479","14156.0486895248"
"9000039","2437563.72805142","2643753.485066","206189.757014576","-8.45884579926052","89834.8633124104","95171.0479854535","5336.18467304308","9394.08788331157","12506.8164480807","3112.7285647691"
"9000040","2617199.4791889","2654718.87625716","37519.397068257","-1.43357040098008","97763.0350211824","94604.8313227038","-3158.20369847858","13665.1157662542","13638.3561646723","-26.759601581869"
"9000041","2085510.19917847","2951265.19913285","865754.999954382","-41.5128633892763","105778.508856484","90518.8346668017","-15259.6741896824","4000.75917817876","16757.06811822","12756.3089400413"
"9000042","2713194.12255326","2060234.86396054","-652959.258592718","24.0660722786119","84584.1035635529","94362.3411835602","9778.23762000728","15319.3264635273","5351.04330508063","-9968.28315844662"
"9000043","2311477.99591021","2612647.88130482","301169.885394601","-13.0293208902474","96818.5251011539","82658.0992959133","-14160.4258052407","8100.6624190006","12601.5952227834","4500.93280378277"
"9000044","1749991.69222909","2845721.51426426","1095729.82203517","-62.6134299323136","115731.283424536","100567.815132172","-15163.4682923635","0","15569.6997659949","15569.6997659949"
"9000045","2356429.90438643","2371019.10575172","14589.2013652897","-0.6191230784388","99542.0035538456","96049.151790837","-3492.85176300856","8535.05396591473","9630.04645083494","1094.9924849202"
"9000046","1951286.67985084","2639068.1340306","687781.454179754","-35.2475861841238","124463.619900298","108679.63681713","-15783.9830831678","2082.70158615966","11865.0380196596","9782.33643349994"
"9000047","1831302.29120733","2563481.44760333","732179.156395998","-39.9813378660325","116042.596738401","100255.065436081","-15787.5313023197","439.941293013425","11426.1280436672","10986.1867506538"
"9000048","2588329.13836814","3102200.03205283","513870.893684691","-19.8533828664723","101407.280820942","91460.0169320898","-9947.26388885207","11503.6266952174","18739.1610836448","7235.53438842739"
"9000049","1840479.77497948","2054674.3352626","214194.560283129","-11.6379741410371","102916.98012347","99413.6963083463","-3503.2838151232","2818.85211948366","6164.78369820736","3345.9315787237"
"9000050","2332346.05742961","2925726.43784387","593380.380414262","-25.4413524324175","107365.8367595","100537.846146965","-6827.99061253534","7256.60446450968","16226.1568065304","8969.55234202074"
"9000051","1932977.23407051","2771903.76112103","838926.52705052","-43.4007453509365","114284.415812416","103619.842883895","-10664.5729285217","1396.25092591943","13535.2819262564","12139.031000337"
"9000052","2247524.96462828","2555690.12889315","308165.164264865","-13.7113121818352","101775.706420114","101204.930164407","-570.776255707693","7573.8620977333","11703.4178124126","4129.55571467926"
"9000053","1896455.79818645","2004306.98448393","107851.186297476","-5.68698655674509","102249.042793585","97093.0188888719","-5156.02390471296","3460.74497399428","5277.37659805698","1816.6316240627"
"9000054","3352607.0985221","3099605.2004204","-253001.8981017","7.54642255017679","89317.4915533248","95093.9098267417","5776.4182734169","21960.6455131935","17975.1184888801","-3985.5270243134"
"9000055","2379682.16878726","3042067.94088545","662385.772098188","-27.835052125291","100570.558152125","92281.6248409791","-8288.93331114638","8271.02188645884","18127.6123412065","9856.59045474768"
"9000056","2271381.09381709","2918646.81022066","647265.716403574","-28.4965705739777","100265.382902051","86064.5873879912","-14200.79551406","6166.93993355622","16084.7713393973","9917.83140584112"
"9000057","2380858.36601643","2128115.44146871","-252742.924547723","10.6156220023539","100237.099815397","99675.3723590448","-561.727456352586","9915.63647148477","6130.5549084842","-3785.08156300057"
"9000058","2172908.6218546","2052759.87871026","-120148.743144337","5.52939695373792","101779.329483946","98524.152333236","-3255.17715071025","6512.71775660897","5196.14481632487","-1316.57294028411"
"9000059","2212831.209491","2368517.4439497","155686.234458702","-7.03561273860168","99249.1467481127","98735.0542920633","-514.092456049446","7028.30060331262","9054.65483759217","2026.35423427956"
"9000060","2521676.1576255","2730085.58919116","208409.431565654","-8.26471832774511","93721.7375662096","89233.4645375272","-4488.27302868235","11435.2888319008","14376.3480939342","2941.05926203337"
