seed,method,comparison_scope,greedy_total_cost,method_total_cost,method_minus_greedy_total_cost,cost_improvement_vs_greedy_percent,greedy_stored_t,method_stored_t,method_minus_greedy_stored_t,greedy_vented_t,method_vented_t,method_minus_greedy_vented_t
9000031,full_milp,descriptive offline perfect-information comparison only,2293017.35099732,2293017.35099732,0.0,0.0,114469.71188364139,114469.71188364139,0.0,6240.861480952415,6240.861480952415,0.0
9000032,full_milp,descriptive offline perfect-information comparison only,1766211.2553052178,1766211.2553052178,0.0,0.0,100608.4832397591,100608.4832397591,0.0,1844.963500955279,1844.963500955279,0.0
9000033,full_milp,descriptive offline perfect-information comparison only,2107598.694435474,2107598.694435474,0.0,0.0,105135.0145055005,105135.0145055005,0.0,4789.393867697877,4789.393867697877,0.0
9000034,full_milp,descriptive offline perfect-information comparison only,1935952.9860899067,1935952.9860899067,0.0,0.0,104726.69614121088,104726.69614121088,0.0,3275.0584930897367,3275.0584930897367,0.0
9000035,full_milp,descriptive offline perfect-information comparison only,1885009.4324528396,1885009.4324528396,0.0,0.0,109085.56940329901,109085.56940329901,0.0,3536.5342797446087,3536.5342797446087,0.0
9000036,full_milp,descriptive offline perfect-information comparison only,3533761.529562704,3533761.529562704,0.0,0.0,81137.24365784733,81137.24365784733,0.0,25697.976964565867,25697.976964565867,0.0
9000037,full_milp,descriptive offline perfect-information comparison only,2000485.9131946776,2000485.9131946776,0.0,0.0,113556.80536003655,113556.80536003655,0.0,4271.358815318033,4271.358815318033,0.0
9000038,full_milp,descriptive offline perfect-information comparison only,1920295.9707264367,1920295.9707264367,0.0,0.0,115107.19434814701,115107.19434814701,0.0,2408.9084384230837,2408.9084384230837,0.0
9000039,full_milp,descriptive offline perfect-information comparison only,2437563.728051424,2437563.728051424,0.0,0.0,89834.86331241042,89834.86331241042,0.0,9394.08788331157,9394.08788331157,0.0
9000040,full_milp,descriptive offline perfect-information comparison only,2617199.479188901,2617199.479188901,0.0,0.0,97763.03502118237,97763.03502118237,0.0,13665.115766254208,13665.115766254208,0.0
9000041,full_milp,descriptive offline perfect-information comparison only,2085510.1991784673,2085510.1991784673,0.0,0.0,105778.5088564841,105778.5088564841,0.0,4000.7591781787564,4000.7591781787564,0.0
9000042,full_milp,descriptive offline perfect-information comparison only,2713194.122553258,2713194.122553258,0.0,0.0,84584.10356355288,84584.10356355288,0.0,15319.326463527254,15319.326463527254,0.0
9000043,full_milp,descriptive offline perfect-information comparison only,2311477.9959102147,2311477.9959102147,0.0,0.0,96818.52510115394,96818.52510115394,0.0,8100.662419000601,8100.662419000601,0.0
9000044,full_milp,descriptive offline perfect-information comparison only,1749991.6922290896,1749991.6922290896,0.0,0.0,115731.28342453578,115731.28342453578,0.0,0.0,0.0,0.0
9000045,full_milp,descriptive offline perfect-information comparison only,2356429.90438643,2356429.90438643,0.0,0.0,99542.0035538456,99542.0035538456,0.0,8535.053965914734,8535.053965914734,0.0
9000046,full_milp,descriptive offline perfect-information comparison only,1951286.679850844,1951286.679850844,0.0,0.0,124463.61990029803,124463.61990029803,0.0,2082.7015861596574,2082.7015861596574,0.0
9000047,full_milp,descriptive offline perfect-information comparison only,1831302.291207332,1831302.291207332,0.0,0.0,116042.59673840055,116042.59673840055,0.0,439.94129301342485,439.94129301342485,0.0
9000048,full_milp,descriptive offline perfect-information comparison only,2588329.1383681437,2588329.1383681437,0.0,0.0,101407.28082094183,101407.28082094183,0.0,11503.626695217417,11503.626695217417,0.0
9000049,full_milp,descriptive offline perfect-information comparison only,1840479.7749794757,1840479.7749794757,0.0,0.0,102916.98012346955,102916.98012346955,0.0,2818.852119483664,2818.852119483664,0.0
9000050,full_milp,descriptive offline perfect-information comparison only,2332346.0574296084,2332346.0574296084,0.0,0.0,107365.83675950028,107365.83675950028,0.0,7256.604464509676,7256.604464509676,0.0
9000051,full_milp,descriptive offline perfect-information comparison only,1932977.2340705122,1932977.2340705122,0.0,0.0,114284.41581241634,114284.41581241634,0.0,1396.2509259194253,1396.2509259194253,0.0
9000052,full_milp,descriptive offline perfect-information comparison only,2247524.9646282806,2247524.9646282806,0.0,0.0,101775.7064201145,101775.7064201145,0.0,7573.8620977333,7573.8620977333,0.0
9000053,full_milp,descriptive offline perfect-information comparison only,1896455.7981864524,1896455.7981864524,0.0,0.0,102249.04279358484,102249.04279358484,0.0,3460.7449739942754,3460.7449739942754,0.0
9000054,full_milp,descriptive offline perfect-information comparison only,3352607.0985221015,3352607.0985221015,0.0,0.0,89317.49155332484,89317.49155332484,0.0,21960.645513193453,21960.645513193453,0.0
9000055,full_milp,descriptive offline perfect-information comparison only,2379682.1687872596,2379682.1687872596,0.0,0.0,100570.55815212545,100570.55815212545,0.0,8271.021886458835,8271.021886458835,0.0
9000056,full_milp,descriptive offline perfect-information comparison only,2271381.0938170906,2271381.0938170906,0.0,0.0,100265.38290205119,100265.38290205119,0.0,6166.939933556223,6166.939933556223,0.0
9000057,full_milp,descriptive offline perfect-information comparison only,2380858.3660164326,2380858.3660164326,0.0,0.0,100237.09981539742,100237.09981539742,0.0,9915.636471484773,9915.636471484773,0.0
9000058,full_milp,descriptive offline perfect-information comparison only,2172908.6218546,2172493.4818546,-415.1400000001304,0.0191052672820546,101779.32948394625,101779.32948394625,0.0,6512.717756608974,6512.717756608974,0.0
9000059,full_milp,descriptive offline perfect-information comparison only,2212831.2094909954,2212831.2094909954,0.0,0.0,99249.14674811273,99249.14674811273,0.0,7028.300603312616,7028.300603312616,0.0
9000060,full_milp,descriptive offline perfect-information comparison only,2521676.157625502,2521676.157625502,0.0,0.0,93721.73756620959,93721.73756620959,0.0,11435.288831900807,11435.288831900807,0.0
