seed,rolling_run_status,full_run_status,rolling_total_cost,full_replay_total_cost,full_minus_rolling_total_cost,rolling_stored_t,full_stored_t,rolling_vented_t,full_vented_t,comparison_scope
9000031,completed,completed,2293432.49099732,2293017.35099732,-415.1400000001304,114469.71188364139,114469.71188364139,6240.861480952419,6240.861480952415,descriptive only: Rolling is an online controller; Full MILP is a time-limited perfect-information offline reference
9000032,completed,completed,2119138.625970046,1766211.2553052178,-352927.3706648282,92181.08126023502,100608.4832397591,6193.493365992055,1844.963500955279,descriptive only: Rolling is an online controller; Full MILP is a time-limited perfect-information offline reference
9000033,completed,completed,2120052.8944348637,2107598.694435474,-12454.199999389704,105135.0145055005,105135.0145055005,4789.393867697877,4789.393867697877,descriptive only: Rolling is an online controller; Full MILP is a time-limited perfect-information offline reference
9000034,completed,completed,1935952.9860899067,1935952.9860899067,0.0,104726.69614121088,104726.69614121088,3275.0584930897367,3275.0584930897367,descriptive only: Rolling is an online controller; Full MILP is a time-limited perfect-information offline reference
9000035,completed,completed,2030261.0445873856,1885009.4324528396,-145251.61213454604,103642.9856378551,109085.56940329901,6117.872482783793,3536.5342797446087,descriptive only: Rolling is an online controller; Full MILP is a time-limited perfect-information offline reference
9000036,completed,completed,3533346.3895627037,3533761.529562704,415.1400000001304,81137.13133870196,81137.24365784733,25697.976964565867,25697.976964565867,descriptive only: Rolling is an online controller; Full MILP is a time-limited perfect-information offline reference
9000037,completed,completed,2000485.9131946776,2000485.9131946776,0.0,113556.80536003655,113556.80536003655,4271.358815318032,4271.358815318033,descriptive only: Rolling is an online controller; Full MILP is a time-limited perfect-information offline reference
9000038,completed,completed,1920295.9707264367,1920295.9707264367,0.0,115107.19434814701,115107.19434814701,2408.9084384230837,2408.9084384230837,descriptive only: Rolling is an online controller; Full MILP is a time-limited perfect-information offline reference
9000039,completed,completed,2437563.728051424,2437563.728051424,0.0,89834.39317069865,89834.86331241042,9394.087883311568,9394.08788331157,descriptive only: Rolling is an online controller; Full MILP is a time-limited perfect-information offline reference
9000040,completed,completed,2614708.639188408,2617199.479188901,2490.8400004929863,97016.1651903855,97763.03502118237,13665.115766254208,13665.115766254208,descriptive only: Rolling is an online controller; Full MILP is a time-limited perfect-information offline reference
9000041,completed,completed,2050671.2118801554,2085510.1991784673,34838.9872983119,105778.50885648398,105778.5088564841,3457.02806376707,4000.7591781787564,descriptive only: Rolling is an online controller; Full MILP is a time-limited perfect-information offline reference
9000042,completed,completed,1775894.364005296,2713194.122553258,937299.7585479622,104225.47584700742,84584.10356355288,922.702073528866,15319.326463527254,descriptive only: Rolling is an online controller; Full MILP is a time-limited perfect-information offline reference
9000043,completed,completed,2277521.7290637405,2311477.9959102147,33956.26684647426,95677.36939595955,96818.52510115394,7465.034832117044,8100.662419000601,descriptive only: Rolling is an online controller; Full MILP is a time-limited perfect-information offline reference
9000044,completed,completed,1749991.6922290896,1749991.6922290896,0.0,115731.28342453578,115731.28342453578,0.0,0.0,descriptive only: Rolling is an online controller; Full MILP is a time-limited perfect-information offline reference
9000045,completed,completed,2356014.76438643,2356429.90438643,415.1400000001304,99542.0035538456,99542.0035538456,8535.053965914734,8535.053965914734,descriptive only: Rolling is an online controller; Full MILP is a time-limited perfect-information offline reference
9000046,completed,completed,1951286.679850844,1951286.679850844,0.0,124463.61990029803,124463.61990029803,2082.7015861596574,2082.7015861596574,descriptive only: Rolling is an online controller; Full MILP is a time-limited perfect-information offline reference
9000047,completed,completed,2299316.696592754,1831302.291207332,-468014.4053854223,109244.79226332756,116042.59673840055,7528.0800174482165,439.94129301342485,descriptive only: Rolling is an online controller; Full MILP is a time-limited perfect-information offline reference
9000048,completed,completed,2588329.1383681437,2588329.1383681437,0.0,101407.28082094183,101407.28082094183,11503.626695217417,11503.626695217417,descriptive only: Rolling is an online controller; Full MILP is a time-limited perfect-information offline reference
9000049,completed,completed,1902404.682295682,1840479.7749794757,-61924.907316206256,102567.65771655962,102916.98012346955,4081.868344309106,2818.852119483664,descriptive only: Rolling is an online controller; Full MILP is a time-limited perfect-information offline reference
9000050,completed,completed,2309098.2174299285,2332346.0574296084,23247.83999967994,109876.14724879694,107365.83675950028,7256.604464509676,7256.604464509676,descriptive only: Rolling is an online controller; Full MILP is a time-limited perfect-information offline reference
9000051,completed,completed,1910789.0063711447,1932977.2340705122,22188.227699367562,115276.25855944015,114284.41581241634,785.7900602005031,1396.2509259194253,descriptive only: Rolling is an online controller; Full MILP is a time-limited perfect-information offline reference
9000052,completed,completed,2247940.10462828,2247524.9646282806,-415.13999999919906,101204.93016440666,101775.7064201145,7573.8620977333,7573.8620977333,descriptive only: Rolling is an online controller; Full MILP is a time-limited perfect-information offline reference
9000053,completed,completed,1901437.4781864525,1896455.7981864524,-4981.680000000168,102249.04279358484,102249.04279358484,3460.7449739942763,3460.7449739942754,descriptive only: Rolling is an online controller; Full MILP is a time-limited perfect-information offline reference
9000054,completed,completed,2743967.0885134107,3352607.0985221015,608640.0100086909,96219.07106492396,89317.49155332484,11377.298664477883,21960.645513193453,descriptive only: Rolling is an online controller; Full MILP is a time-limited perfect-information offline reference
9000055,completed,completed,2023126.2839932581,2379682.1687872596,356555.88479400147,102154.80222506462,100570.55815212545,2939.824528323365,8271.021886458835,descriptive only: Rolling is an online controller; Full MILP is a time-limited perfect-information offline reference
