seed,state_hour,planning_horizon_h,status,solver_is_valid,execution_replay_is_valid,execution_replay_mismatches,model_replay_is_exact,model_replay_mismatches,solve_wall_s,replan_wall_s,best_bound,relative_gap,termination_reason,requested_mip_gap_rel,solver_threads,warm_start_accepted,mip_start_audit,warm_start_source,cplex_root_algorithm,warm_start_score,mpc_warm_start_score,shifted_warm_start_score,terminal_cleanup_cost,terminal_cleanup_headroom_risk,augmented_objective_value
9000031,0.0,168,Integer Feasible,True,True,,True,,302.224634852726,305.9152616611682,510969.91788,0.10685254466591194,"Time limit exceeded, integer feasible",,4,True,"{""bound_violation_count"": 0, ""evaluated_constraints"": 42524, ""initialized_variables"": 24295, ""integrality_violation_count"": 0, ""max_constraint_violation"": 3.758638558792882e-05, ""missing_variable_count"": 8064, ""partial_constraint_count"": 14652, ""top_violations"": [{""constraint"": ""_C56972"", ""residual"": 3.758638558792882e-05, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_yara_sluiskil"", ""tail_topup_northern_pathfinder_yara_sluiskil"", ""tail_shipped_northern_phoenix_yara_sluiskil"", ""tail_topup_northern_phoenix_yara_sluiskil"", ""tail_shipped_northern_pioneer_yara_sluiskil"", ""tail_topup_northern_pioneer_yara_sluiskil"", ""source_stock_yara_sluiskil_168""], ""violation"": 3.758638558792882e-05}, {""constraint"": ""_C56970"", ""residual"": 1.831871941249119e-05, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_brevik"", ""tail_topup_northern_pathfinder_brevik"", ""tail_shipped_northern_phoenix_brevik"", ""tail_topup_northern_phoenix_brevik"", ""tail_shipped_northern_pioneer_brevik"", ""tail_topup_northern_pioneer_brevik"", ""source_stock_brevik_168""], ""violation"": 1.831871941249119e-05}], ""total_constraints"": 57176, ""total_variables"": 32359, ""violated_constraint_count"": 2}",greedy,barrier,"[574175.9896328958, 20728.732761284227]",,,233664.28309930384,0.0,572100.2896311989
9000031,24.0,168,Integer Feasible,True,True,,True,,301.7099484507926,305.3958140597679,468046.84578000003,0.0437862245283641,"Time limit exceeded, integer feasible",,4,True,"{""bound_violation_count"": 0, ""evaluated_constraints"": 42062, ""initialized_variables"": 23239, ""integrality_violation_count"": 0, ""max_constraint_violation"": 2.6760547370940913e-05, ""missing_variable_count"": 7008, ""partial_constraint_count"": 12738, ""top_violations"": [{""constraint"": ""_C54594"", ""residual"": 2.6760547370940913e-05, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_brevik"", ""tail_topup_northern_pathfinder_brevik"", ""tail_shipped_northern_phoenix_brevik"", ""tail_topup_northern_phoenix_brevik"", ""tail_shipped_northern_pioneer_brevik"", ""tail_topup_northern_pioneer_brevik"", ""source_stock_brevik_168""], ""violation"": 2.6760547370940913e-05}], ""total_constraints"": 54800, ""total_variables"": 30247, ""violated_constraint_count"": 1}",greedy,automatic,"[489479.29614375083, 24094.4292520789]",,,155842.93240652303,0.0,489479.2961428986
9000031,48.0,168,Integer Feasible,True,True,,True,,301.8112019454129,305.60130419488996,480723.82522,0.0756156034748516,"Time limit exceeded, integer feasible",,4,True,"{""bound_violation_count"": 0, ""evaluated_constraints"": 42386, ""initialized_variables"": 24007, ""integrality_violation_count"": 0, ""max_constraint_violation"": 2.4671797973496723e-06, ""missing_variable_count"": 7776, ""partial_constraint_count"": 14130, ""top_violations"": [{""constraint"": ""_C56311"", ""residual"": -2.4671797973496723e-06, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_celsio"", ""tail_topup_northern_pathfinder_celsio"", ""tail_shipped_northern_phoenix_celsio"", ""tail_topup_northern_phoenix_celsio"", ""tail_shipped_northern_pioneer_celsio"", ""tail_topup_northern_pioneer_celsio"", ""source_stock_celsio_168""], ""violation"": 2.4671797973496723e-06}], ""total_constraints"": 56516, ""total_variables"": 31783, ""violated_constraint_count"": 1}",greedy,automatic,"[520462.673284897, 28055.67869436769]",,,192997.20302112395,0.0,520047.53328494943
9000031,72.0,168,Optimal,True,True,,True,,50.24996139714494,54.48859974835068,529840.8404252634,0.0,Integer optimal solution,,4,True,"{""bound_violation_count"": 0, ""evaluated_constraints"": 42337, ""initialized_variables"": 23895, ""integrality_violation_count"": 0, ""max_constraint_violation"": 4.128571094952349e-05, ""missing_variable_count"": 7664, ""partial_constraint_count"": 13927, ""top_violations"": [{""constraint"": ""_C56059"", ""residual"": 4.128571094952349e-05, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_celsio"", ""tail_topup_northern_pathfinder_celsio"", ""tail_shipped_northern_phoenix_celsio"", ""tail_topup_northern_phoenix_celsio"", ""tail_shipped_northern_pioneer_celsio"", ""tail_topup_northern_pioneer_celsio"", ""source_stock_celsio_168""], ""violation"": 4.128571094952349e-05}, {""constraint"": ""_C56058"", ""residual"": 1.9273386897111777e-05, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_brevik"", ""tail_topup_northern_pathfinder_brevik"", ""tail_shipped_northern_phoenix_brevik"", ""tail_topup_northern_phoenix_brevik"", ""tail_shipped_northern_pioneer_brevik"", ""tail_topup_northern_pioneer_brevik"", ""source_stock_brevik_168""], ""violation"": 1.9273386897111777e-05}, {""constraint"": ""_C56060"", ""residual"": 3.5388803780733724e-06, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_yara_sluiskil"", ""tail_topup_northern_pathfinder_yara_sluiskil"", ""tail_shipped_northern_phoenix_yara_sluiskil"", ""tail_topup_northern_phoenix_yara_sluiskil"", ""tail_shipped_northern_pioneer_yara_sluiskil"", ""tail_topup_northern_pioneer_yara_sluiskil"", ""source_stock_yara_sluiskil_168""], ""violation"": 3.5388803780733724e-06}], ""total_constraints"": 56264, ""total_variables"": 31559, ""violated_constraint_count"": 3}",greedy,automatic,"[529840.8404272535, 28437.901708545498]",,,219941.39715513654,0.0,529840.8404252634
9000031,96.0,168,Integer Feasible,True,True,,True,,301.6862760768272,306.36384362587705,486788.51668,0.17497375655481895,"Time limit exceeded, integer feasible",,4,True,"{""bound_violation_count"": 0, ""evaluated_constraints"": 42190, ""initialized_variables"": 23559, ""integrality_violation_count"": 0, ""max_constraint_violation"": 3.7365994103311095e-05, ""missing_variable_count"": 7328, ""partial_constraint_count"": 13318, ""top_violations"": [{""constraint"": ""_C55303"", ""residual"": 3.7365994103311095e-05, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_celsio"", ""tail_topup_northern_pathfinder_celsio"", ""tail_shipped_northern_phoenix_celsio"", ""tail_topup_northern_phoenix_celsio"", ""tail_shipped_northern_pioneer_celsio"", ""tail_topup_northern_pioneer_celsio"", ""source_stock_celsio_168""], ""violation"": 3.7365994103311095e-05}], ""total_constraints"": 55508, ""total_variables"": 30887, ""violated_constraint_count"": 1}",greedy,automatic,"[592518.7579585067, 25222.9909630655]",,,244846.23990426876,0.0,590027.9179571876
9000031,120.0,168,Integer Feasible,True,True,,True,,301.801094265189,306.8402629997581,484115.18025000003,0.19081887059923855,"Time limit exceeded, integer feasible",,4,True,"{""bound_violation_count"": 0, ""evaluated_constraints"": 42491, ""initialized_variables"": 24247, ""integrality_violation_count"": 0, ""max_constraint_violation"": 2.014810797845712e-05, ""missing_variable_count"": 8016, ""partial_constraint_count"": 14565, ""top_violations"": [{""constraint"": ""_C56852"", ""residual"": -2.014810797845712e-05, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_yara_sluiskil"", ""tail_topup_northern_pathfinder_yara_sluiskil"", ""tail_shipped_northern_phoenix_yara_sluiskil"", ""tail_topup_northern_phoenix_yara_sluiskil"", ""tail_shipped_northern_pioneer_yara_sluiskil"", ""tail_topup_northern_pioneer_yara_sluiskil"", ""source_stock_yara_sluiskil_168""], ""violation"": 2.014810797845712e-05}, {""constraint"": ""_C56851"", ""residual"": 1.6105473150673788e-06, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_celsio"", ""tail_topup_northern_pathfinder_celsio"", ""tail_shipped_northern_phoenix_celsio"", ""tail_topup_northern_phoenix_celsio"", ""tail_shipped_northern_pioneer_celsio"", ""tail_topup_northern_pioneer_celsio"", ""source_stock_celsio_168""], ""violation"": 1.6105473150673788e-06}], ""total_constraints"": 57056, ""total_variables"": 32263, ""violated_constraint_count"": 2}",greedy,automatic,"[599938.4518834153, 23644.628297382467]",,,191232.6536295224,0.0,598277.8918837507
9000031,144.0,168,Optimal,True,True,,True,,4.9743133671581745,10.729834122117609,612517.0379116619,0.0,Integer optimal solution,,4,True,"{""bound_violation_count"": 0, ""evaluated_constraints"": 42064, ""initialized_variables"": 23271, ""integrality_violation_count"": 0, ""max_constraint_violation"": 4.6787421524641104e-05, ""missing_variable_count"": 7040, ""partial_constraint_count"": 12796, ""top_violations"": [{""constraint"": ""_C54655"", ""residual"": 4.6787421524641104e-05, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_celsio"", ""tail_topup_northern_pathfinder_celsio"", ""tail_shipped_northern_phoenix_celsio"", ""tail_topup_northern_phoenix_celsio"", ""tail_shipped_northern_pioneer_celsio"", ""tail_topup_northern_pioneer_celsio"", ""source_stock_celsio_168""], ""violation"": 4.6787421524641104e-05}, {""constraint"": ""_C54656"", ""residual"": 4.376481956569478e-05, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_yara_sluiskil"", ""tail_topup_northern_pathfinder_yara_sluiskil"", ""tail_shipped_northern_phoenix_yara_sluiskil"", ""tail_topup_northern_phoenix_yara_sluiskil"", ""tail_shipped_northern_pioneer_yara_sluiskil"", ""tail_topup_northern_pioneer_yara_sluiskil"", ""source_stock_yara_sluiskil_168""], ""violation"": 4.376481956569478e-05}], ""total_constraints"": 54860, ""total_variables"": 30311, ""violated_constraint_count"": 2}",greedy,automatic,"[612517.0379147977, 21872.25618329908]",,,199901.55909581415,0.0,612517.0379116619
9000031,168.0,168,Integer Feasible,True,True,,True,,301.80553525779396,307.91020012414083,527794.66108,0.18224037040877036,"Time limit exceeded, integer feasible",,4,True,"{""bound_violation_count"": 0, ""evaluated_constraints"": 42332, ""initialized_variables"": 24039, ""integrality_violation_count"": 0, ""max_constraint_violation"": 6.0556349126272835e-06, ""missing_variable_count"": 7808, ""partial_constraint_count"": 14188, ""top_violations"": [{""constraint"": ""_C56315"", ""residual"": 6.0556349126272835e-06, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_celsio"", ""tail_topup_northern_pathfinder_celsio"", ""tail_shipped_northern_phoenix_celsio"", ""tail_topup_northern_phoenix_celsio"", ""tail_shipped_northern_pioneer_celsio"", ""tail_topup_northern_pioneer_celsio"", ""source_stock_celsio_168""], ""violation"": 6.0556349126272835e-06}, {""constraint"": ""_C56316"", ""residual"": -4.046942194690928e-06, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_yara_sluiskil"", ""tail_topup_northern_pathfinder_yara_sluiskil"", ""tail_shipped_northern_phoenix_yara_sluiskil"", ""tail_topup_northern_phoenix_yara_sluiskil"", ""tail_shipped_northern_pioneer_yara_sluiskil"", ""tail_topup_northern_pioneer_yara_sluiskil"", ""source_stock_yara_sluiskil_168""], ""violation"": 4.046942194690928e-06}], ""total_constraints"": 56520, ""total_variables"": 31847, ""violated_constraint_count"": 2}",greedy,automatic,"[649151.6632328366, 23487.082823563338]",,,261588.22031465184,0.0,645415.4032326427
9000031,192.0,168,Integer Feasible,True,True,,True,,301.7284112046473,308.06340038916096,481539.27632,0.1492553848649917,"Time limit exceeded, integer feasible",,4,True,"{""bound_violation_count"": 0, ""evaluated_constraints"": 42206, ""initialized_variables"": 23751, ""integrality_violation_count"": 0, ""max_constraint_violation"": 1.0308646778867114e-05, ""missing_variable_count"": 7520, ""partial_constraint_count"": 13666, ""top_violations"": [{""constraint"": ""_C55667"", ""residual"": -1.0308646778867114e-05, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_celsio"", ""tail_topup_northern_pathfinder_celsio"", ""tail_shipped_northern_phoenix_celsio"", ""tail_topup_northern_phoenix_celsio"", ""tail_shipped_northern_pioneer_celsio"", ""tail_topup_northern_pioneer_celsio"", ""source_stock_celsio_168""], ""violation"": 1.0308646778867114e-05}, {""constraint"": ""_C55668"", ""residual"": -2.986798790516332e-06, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_yara_sluiskil"", ""tail_topup_northern_pathfinder_yara_sluiskil"", ""tail_shipped_northern_phoenix_yara_sluiskil"", ""tail_topup_northern_phoenix_yara_sluiskil"", ""tail_shipped_northern_pioneer_yara_sluiskil"", ""tail_topup_northern_pioneer_yara_sluiskil"", ""source_stock_yara_sluiskil_168""], ""violation"": 2.986798790516332e-06}], ""total_constraints"": 55872, ""total_variables"": 31271, ""violated_constraint_count"": 2}",greedy,automatic,"[580886.1441889976, 22225.67262629198]",,,201839.41064038046,0.0,566020.9512387951
9000031,216.0,168,Integer Feasible,True,True,,True,,301.70297805732116,308.3173717232421,564731.54246,0.022419096818430545,"Time limit exceeded, integer feasible",,4,True,"{""bound_violation_count"": 0, ""evaluated_constraints"": 42246, ""initialized_variables"": 23815, ""integrality_violation_count"": 0, ""max_constraint_violation"": 4.484918372327229e-05, ""missing_variable_count"": 7584, ""partial_constraint_count"": 13782, ""top_violations"": [{""constraint"": ""_C55823"", ""residual"": 4.484918372327229e-05, ""sense"": ""=="", ""variable_names"": [""tail_shipped_northern_pathfinder_celsio"", ""tail_topup_northern_pathfinder_celsio"", ""tail_shipped_northern_phoenix_celsio"", ""tail_topup_northern_phoenix_celsio"", ""tail_shipped_northern_pioneer_celsio"", ""tail_topup_northern_pioneer_celsio"", ""source_stock_celsio_168""], ""violation"": 4.484918372327229e-05}], ""total_constraints"": 56028, ""total_variables"": 31399, ""violated_constraint_count"": 1}",greedy,automatic,"[577682.666082787, 26947.369862134823]",,,163900.38740660468,0.0,577682.6660812036
