seed,method,comparison_scope,greedy_total_cost,method_total_cost,method_minus_greedy_total_cost,cost_improvement_vs_greedy_percent,greedy_stored_t,method_stored_t,method_minus_greedy_stored_t,greedy_vented_t,method_vented_t,method_minus_greedy_vented_t
9000031,rolling_milp,valid online paired comparison,2293017.35099732,2293432.49099732,415.1400000001304,-0.01810452938001408,114469.71188364139,114469.71188364139,0.0,6240.861480952415,6240.861480952419,3.637978807091713e-12
9000032,rolling_milp,valid online paired comparison,1766211.2553052178,2119138.625970046,352927.3706648282,-19.982171985640473,100608.4832397591,92181.08126023502,-8427.401979524075,1844.963500955279,6193.493365992055,4348.529865036777
9000033,rolling_milp,valid online paired comparison,2107598.694435474,2120052.8944348637,12454.199999389704,-0.5909189463948494,105135.0145055005,105135.0145055005,0.0,4789.393867697877,4789.393867697877,0.0
9000034,rolling_milp,valid online paired comparison,1935952.9860899067,1935952.9860899067,0.0,0.0,104726.69614121088,104726.69614121088,0.0,3275.0584930897367,3275.0584930897367,0.0
9000035,rolling_milp,valid online paired comparison,1885009.4324528396,2030261.0445873856,145251.61213454604,-7.705617257603832,109085.56940329901,103642.9856378551,-5442.583765443909,3536.5342797446087,6117.872482783793,2581.3382030391845
9000036,rolling_milp,valid online paired comparison,3533761.529562704,3533346.3895627037,-415.1400000001304,0.011747821592576542,81137.24365784733,81137.13133870196,-0.11231914536620025,25697.976964565867,25697.976964565867,0.0
9000037,rolling_milp,valid online paired comparison,2000485.9131946776,2000485.9131946776,0.0,0.0,113556.80536003655,113556.80536003655,0.0,4271.358815318033,4271.358815318032,-9.094947017729282e-13
9000038,rolling_milp,valid online paired comparison,1920295.9707264367,1920295.9707264367,0.0,0.0,115107.19434814701,115107.19434814701,0.0,2408.9084384230837,2408.9084384230837,0.0
9000039,rolling_milp,valid online paired comparison,2437563.728051424,2437563.728051424,0.0,0.0,89834.86331241042,89834.39317069865,-0.47014171177579556,9394.08788331157,9394.087883311568,-1.8189894035458565e-12
9000040,rolling_milp,valid online paired comparison,2617199.479188901,2614708.639188408,-2490.8400004929863,0.09517195843493463,97763.03502118237,97016.1651903855,-746.8698307968734,13665.115766254208,13665.115766254208,0.0
9000041,rolling_milp,valid online paired comparison,2085510.1991784673,2050671.2118801554,-34838.9872983119,1.6705258651832926,105778.5088564841,105778.50885648398,-1.1641532182693481e-10,4000.7591781787564,3457.02806376707,-543.7311144116866
9000042,rolling_milp,valid online paired comparison,2713194.122553258,1775894.364005296,-937299.7585479622,34.545989568410015,84584.10356355288,104225.47584700742,19641.372283454533,15319.326463527254,922.702073528866,-14396.624389998387
9000043,rolling_milp,valid online paired comparison,2311477.9959102147,2277521.7290637405,-33956.26684647426,1.4690283405922255,96818.52510115394,95677.36939595955,-1141.1557051943819,8100.662419000601,7465.034832117044,-635.6275868835573
9000044,rolling_milp,valid online paired comparison,1749991.6922290896,1749991.6922290896,0.0,0.0,115731.28342453578,115731.28342453578,0.0,0.0,0.0,0.0
9000045,rolling_milp,valid online paired comparison,2356429.90438643,2356014.76438643,-415.1400000001304,0.017617328621885107,99542.0035538456,99542.0035538456,0.0,8535.053965914734,8535.053965914734,0.0
9000046,rolling_milp,valid online paired comparison,1951286.679850844,1951286.679850844,0.0,0.0,124463.61990029803,124463.61990029803,0.0,2082.7015861596574,2082.7015861596574,0.0
9000047,rolling_milp,valid online paired comparison,1831302.291207332,2299316.696592754,468014.4053854223,-25.55637087511489,116042.59673840055,109244.79226332756,-6797.80447507299,439.94129301342485,7528.0800174482165,7088.138724434792
9000048,rolling_milp,valid online paired comparison,2588329.1383681437,2588329.1383681437,0.0,0.0,101407.28082094183,101407.28082094183,0.0,11503.626695217417,11503.626695217417,0.0
9000049,rolling_milp,valid online paired comparison,1840479.7749794757,1902404.682295682,61924.907316206256,-3.364606781234356,102916.98012346955,102567.65771655962,-349.3224069099233,2818.852119483664,4081.868344309106,1263.016224825442
9000050,rolling_milp,valid online paired comparison,2332346.0574296084,2309098.2174299285,-23247.83999967994,0.9967577463740744,107365.83675950028,109876.14724879694,2510.3104892966658,7256.604464509676,7256.604464509676,0.0
9000051,rolling_milp,valid online paired comparison,1932977.2340705122,1910789.0063711447,-22188.227699367562,1.1478783768520147,114284.41581241634,115276.25855944015,991.8427470238094,1396.2509259194253,785.7900602005031,-610.4608657189222
9000052,rolling_milp,valid online paired comparison,2247524.9646282806,2247940.10462828,415.13999999919906,-0.018470985040553677,101775.7064201145,101204.93016440666,-570.7762557078386,7573.8620977333,7573.8620977333,0.0
9000053,rolling_milp,valid online paired comparison,1896455.7981864524,1901437.4781864525,4981.680000000168,-0.26268368631444305,102249.04279358484,102249.04279358484,0.0,3460.7449739942754,3460.7449739942763,9.094947017729282e-13
9000054,rolling_milp,valid online paired comparison,3352607.0985221015,2743967.0885134107,-608640.0100086909,18.15423018930527,89317.49155332484,96219.07106492396,6901.57951159912,21960.645513193453,11377.298664477883,-10583.34684871557
9000055,rolling_milp,valid online paired comparison,2379682.1687872596,2023126.2839932581,-356555.88479400147,14.983340610385397,100570.55815212545,102154.80222506462,1584.2440729391674,8271.021886458835,2939.824528323365,-5331.1973581354705
9000056,rolling_milp,valid online paired comparison,2271381.0938170906,1975688.2597215276,-295692.83409556304,13.01819562117807,100265.38290205119,104553.75741669988,4288.374514648691,6166.939933556223,1586.0766787792047,-4580.8632547770185
9000057,rolling_milp,valid online paired comparison,2380858.3660164326,2380858.3660164326,0.0,0.0,100237.09981539742,100237.09981539742,0.0,9915.636471484773,9915.636471484773,0.0
9000058,rolling_milp,valid online paired comparison,2172908.6218546,2172908.6218562485,1.648440957069397e-06,-7.586333546149932e-11,101779.32948394625,101779.32948394625,0.0,6512.717756608974,6512.717756608974,0.0
9000059,rolling_milp,valid online paired comparison,2212831.2094909954,1834132.930825844,-378698.27866515145,17.11374446640515,99249.14674811273,115085.79645024004,15836.64970212731,7028.300603312616,1012.0214824219643,-6016.279120890651
9000060,rolling_milp,valid online paired comparison,2521676.157625502,2962547.5357452077,440871.3781197057,-17.483267103371652,93721.73756620959,86221.73756620957,-7500.000000000015,11435.288831900807,17114.427044379878,5679.138212479071
