"JobID","ArrayJobID","ArrayTaskID","JobName","State","ExitCode","ElapsedRaw","Elapsed","MaxRSS","AllocCPUS","ReqMem","QOS","Start","End"
"33519_0","33519","0","rolling_milp_formal","COMPLETED","0:0","5964","01:39:24","841404K","4","24G","intermediate","2026-07-29T02:13:49","2026-07-29T03:53:13"
"33519_1","33519","1","rolling_milp_formal","COMPLETED","0:0","7478","02:04:38","906564K","4","24G","intermediate","2026-07-29T02:13:50","2026-07-29T04:18:28"
"33519_2","33519","2","rolling_milp_formal","COMPLETED","0:0","6562","01:49:22","801292K","4","24G","intermediate","2026-07-29T02:13:50","2026-07-29T04:03:12"
"33519_3","33519","3","rolling_milp_formal","COMPLETED","0:0","6415","01:46:55","782640K","4","24G","intermediate","2026-07-29T02:13:50","2026-07-29T04:00:45"
"33519_4","33519","4","rolling_milp_formal","COMPLETED","0:0","6710","01:51:50","807280K","4","24G","intermediate","2026-07-29T02:13:50","2026-07-29T04:05:40"
"33519_5","33519","5","rolling_milp_formal","COMPLETED","0:0","6690","01:51:30","796968K","4","24G","intermediate","2026-07-29T02:13:50","2026-07-29T04:05:20"
"33519_6","33519","6","rolling_milp_formal","COMPLETED","0:0","8233","02:17:13","805344K","4","24G","intermediate","2026-07-29T02:13:50","2026-07-29T04:31:03"
"33519_7","33519","7","rolling_milp_formal","COMPLETED","0:0","6410","01:46:50","829972K","4","24G","intermediate","2026-07-29T02:13:50","2026-07-29T04:00:40"
"33519_8","33519","8","rolling_milp_formal","COMPLETED","0:0","6076","01:41:16","783016K","4","24G","intermediate","2026-07-29T02:13:50","2026-07-29T03:55:06"
"33519_9","33519","9","rolling_milp_formal","COMPLETED","0:0","6947","01:55:47","826932K","4","24G","intermediate","2026-07-29T02:13:50","2026-07-29T04:09:37"
"33519_10","33519","10","rolling_milp_formal","COMPLETED","0:0","5598","01:33:18","855328K","4","24G","intermediate","2026-07-29T03:53:14","2026-07-29T05:26:32"
"33519_11","33519","11","rolling_milp_formal","COMPLETED","0:0","7470","02:04:30","817652K","4","24G","intermediate","2026-07-29T03:55:06","2026-07-29T05:59:36"
"33519_12","33519","12","rolling_milp_formal","COMPLETED","0:0","7175","01:59:35","847548K","4","24G","intermediate","2026-07-29T04:00:40","2026-07-29T06:00:15"
"33519_13","33519","13","rolling_milp_formal","COMPLETED","0:0","6287","01:44:47","790332K","4","24G","intermediate","2026-07-29T04:00:45","2026-07-29T05:45:32"
"33519_14","33519","14","rolling_milp_formal","COMPLETED","0:0","6867","01:54:27","771920K","4","24G","intermediate","2026-07-29T04:03:12","2026-07-29T05:57:39"
"33519_15","33519","15","rolling_milp_formal","COMPLETED","0:0","7700","02:08:20","765424K","4","24G","intermediate","2026-07-29T04:05:20","2026-07-29T06:13:40"
"33519_16","33519","16","rolling_milp_formal","COMPLETED","0:0","7064","01:57:44","792860K","4","24G","intermediate","2026-07-29T04:05:40","2026-07-29T06:03:24"
"33519_17","33519","17","rolling_milp_formal","COMPLETED","0:0","6613","01:50:13","811824K","4","24G","intermediate","2026-07-29T04:09:37","2026-07-29T05:59:50"
"33519_18","33519","18","rolling_milp_formal","COMPLETED","0:0","6876","01:54:36","919240K","4","24G","intermediate","2026-07-29T04:18:28","2026-07-29T06:13:04"
"33519_19","33519","19","rolling_milp_formal","COMPLETED","0:0","6480","01:48:00","758500K","4","24G","intermediate","2026-07-29T04:31:03","2026-07-29T06:19:03"
"33519_20","33519","20","rolling_milp_formal","COMPLETED","0:0","4966","01:22:46","888124K","4","24G","intermediate","2026-07-29T05:26:32","2026-07-29T06:49:18"
"33519_21","33519","21","rolling_milp_formal","COMPLETED","0:0","7880","02:11:20","786152K","4","24G","intermediate","2026-07-29T05:45:32","2026-07-29T07:56:52"
"33519_22","33519","22","rolling_milp_formal","COMPLETED","0:0","6728","01:52:08","812132K","4","24G","intermediate","2026-07-29T05:57:39","2026-07-29T07:49:47"
"33519_23","33519","23","rolling_milp_formal","COMPLETED","0:0","5236","01:27:16","826652K","4","24G","intermediate","2026-07-29T05:59:36","2026-07-29T07:26:52"
"33519_24","33519","24","rolling_milp_formal","COMPLETED","0:0","3824","01:03:44","770704K","4","24G","intermediate","2026-07-29T05:59:50","2026-07-29T07:03:34"
"33519_25","33519","25","rolling_milp_formal","COMPLETED","0:0","6489","01:48:09","859664K","4","24G","intermediate","2026-07-29T06:00:15","2026-07-29T07:48:24"
"33519_26","33519","26","rolling_milp_formal","COMPLETED","0:0","6907","01:55:07","831668K","4","24G","intermediate","2026-07-29T06:03:25","2026-07-29T07:58:32"
"33519_27","33519","27","rolling_milp_formal","COMPLETED","0:0","6654","01:50:54","861076K","4","24G","intermediate","2026-07-29T06:13:04","2026-07-29T08:03:58"
"33519_28","33519","28","rolling_milp_formal","COMPLETED","0:0","6197","01:43:17","829352K","4","24G","intermediate","2026-07-29T06:13:40","2026-07-29T07:56:57"
"33519_29","33519","29","rolling_milp_formal","COMPLETED","0:0","6575","01:49:35","849860K","4","24G","intermediate","2026-07-29T06:19:03","2026-07-29T08:08:38"
"33520_0","33520","0","full_milp_formal","COMPLETED","0:0","7321","02:02:01","4101488K","4","64G","intermediate","2026-07-29T02:13:50","2026-07-29T04:15:51"
