Running 1 fixed-horizon episode rollouts: scenario=northern_lights_phase1, cap=720 h, seeds=[1], controllers=['rolling_milp']
[1/1] seed=1 controller=rolling_milp ...
  rolling_milp replan at t=0 h; lookahead=48 h; terminal=0.0 t; source_buffer=0.0 t
  rolling_milp plan ready in 4.2s; planned_departures=3; vented=0.0 t; shortfall=6,363.4 t
  rolling_milp replan at t=24 h; lookahead=48 h; terminal=0.0 t; source_buffer=261.1 t
  rolling_milp plan ready in 1.1s; planned_departures=3; vented=0.0 t; shortfall=5,005.3 t
  rolling_milp replan at t=48 h; lookahead=48 h; terminal=405.8 t; source_buffer=1,215.0 t
  rolling_milp plan ready in 0.2s; planned_departures=2; vented=0.0 t; shortfall=4,951.1 t
  rolling_milp replan at t=72 h; lookahead=48 h; terminal=890.4 t; source_buffer=3,126.5 t
  rolling_milp plan ready in 0.4s; planned_departures=0; vented=0.0 t; shortfall=4,926.4 t
  rolling_milp replan at t=96 h; lookahead=48 h; terminal=2,247.0 t; source_buffer=2,837.7 t
  rolling_milp plan ready in 3.4s; planned_departures=2; vented=0.0 t; shortfall=3,899.4 t
  rolling_milp replan at t=120 h; lookahead=48 h; terminal=0.0 t; source_buffer=3,854.2 t
  rolling_milp plan ready in 1.0s; planned_departures=3; vented=0.0 t; shortfall=6,365.2 t
  rolling_milp replan at t=144 h; lookahead=48 h; terminal=32.8 t; source_buffer=4,520.9 t
  rolling_milp plan ready in 0.9s; planned_departures=3; vented=0.0 t; shortfall=7,207.9 t
  rolling_milp replan at t=168 h; lookahead=48 h; terminal=1,126.1 t; source_buffer=7,019.8 t
  rolling_milp plan ready in 1.1s; planned_departures=3; vented=0.0 t; shortfall=9,369.8 t
  rolling_milp replan at t=192 h; lookahead=48 h; terminal=801.5 t; source_buffer=9,518.8 t
  rolling_milp plan ready in 0.7s; planned_departures=2; vented=0.0 t; shortfall=11,305.8 t
  rolling_milp replan at t=216 h; lookahead=48 h; terminal=573.3 t; source_buffer=11,380.1 t
  rolling_milp plan ready in 1.0s; planned_departures=2; vented=0.0 t; shortfall=12,981.8 t
  rolling_milp replan at t=240 h; lookahead=48 h; terminal=868.6 t; source_buffer=14,546.6 t
  rolling_milp plan ready in 0.7s; planned_departures=3; vented=0.0 t; shortfall=16,173.8 t
  rolling_milp replan at t=264 h; lookahead=48 h; terminal=743.6 t; source_buffer=17,045.4 t
  rolling_milp plan ready in 0.7s; planned_departures=3; vented=1,561.4 t; shortfall=18,378.7 t
