Running 1 fixed-horizon episode rollouts: cap=720 h, seeds=[1], controllers=['rolling_milp']
[1/1] seed=1 controller=rolling_milp ...
  rolling_milp replan at t=0 h; lookahead=48 h; terminal=0.0 t; source_buffer=0.0 t
  rolling_milp plan ready in 1.6s; planned_departures=2; vented=0.0 t; shortfall=4,688.0 t
  rolling_milp replan at t=24 h; lookahead=48 h; terminal=0.0 t; source_buffer=2,000.0 t
  rolling_milp plan ready in 0.1s; planned_departures=0; vented=0.0 t; shortfall=6,488.0 t
  rolling_milp replan at t=48 h; lookahead=48 h; terminal=333.3 t; source_buffer=5,360.0 t
  rolling_milp plan ready in 0.3s; planned_departures=0; vented=0.0 t; shortfall=10,538.7 t
  rolling_milp replan at t=72 h; lookahead=48 h; terminal=0.0 t; source_buffer=8,720.0 t
  rolling_milp plan ready in 0.2s; planned_departures=0; vented=0.0 t; shortfall=13,896.0 t
  rolling_milp replan at t=96 h; lookahead=48 h; terminal=0.0 t; source_buffer=12,080.0 t
  rolling_milp plan ready in 0.2s; planned_departures=0; vented=0.0 t; shortfall=16,920.0 t
  rolling_milp replan at t=120 h; lookahead=48 h; terminal=0.0 t; source_buffer=15,440.0 t
  rolling_milp plan ready in 0.2s; planned_departures=0; vented=0.0 t; shortfall=19,944.0 t
  rolling_milp replan at t=144 h; lookahead=48 h; terminal=0.0 t; source_buffer=18,800.0 t
  rolling_milp plan ready in 0.2s; planned_departures=0; vented=0.0 t; shortfall=22,968.0 t
  rolling_milp replan at t=168 h; lookahead=48 h; terminal=0.0 t; source_buffer=22,160.0 t
  rolling_milp plan ready in 0.2s; planned_departures=1; vented=40.0 t; shortfall=25,992.0 t
  rolling_milp replan at t=192 h; lookahead=48 h; terminal=0.0 t; source_buffer=25,520.0 t
  rolling_milp plan ready in 0.3s; planned_departures=2; vented=40.0 t; shortfall=27,418.9 t
  rolling_milp replan at t=216 h; lookahead=48 h; terminal=0.0 t; source_buffer=26,360.0 t
  rolling_milp plan ready in 0.2s; planned_departures=1; vented=360.0 t; shortfall=26,459.4 t
  rolling_milp replan at t=240 h; lookahead=48 h; terminal=974.0 t; source_buffer=26,520.0 t
  rolling_milp plan ready in 0.1s; planned_departures=2; vented=1,460.0 t; shortfall=25,742.0 t
  rolling_milp replan at t=264 h; lookahead=48 h; terminal=2,458.5 t; source_buffer=29,520.0 t
  rolling_milp plan ready in 0.7s; planned_departures=3; vented=2,600.0 t; shortfall=28,560.4 t
  rolling_milp replan at t=288 h; lookahead=48 h; terminal=0.0 t; source_buffer=28,880.0 t
  rolling_milp plan ready in 0.3s; planned_departures=2; vented=1,080.0 t; shortfall=29,640.0 t
  rolling_milp replan at t=312 h; lookahead=48 h; terminal=974.0 t; source_buffer=24,700.0 t
  rolling_milp plan ready in 0.5s; planned_departures=2; vented=1,680.0 t; shortfall=24,794.3 t
  rolling_milp replan at t=336 h; lookahead=48 h; terminal=0.0 t; source_buffer=26,940.0 t
  rolling_milp plan ready in 0.2s; planned_departures=1; vented=640.0 t; shortfall=22,525.1 t
  rolling_milp replan at t=360 h; lookahead=48 h; terminal=3,890.3 t; source_buffer=26,460.0 t
  rolling_milp plan ready in 0.2s; planned_departures=2; vented=1,540.0 t; shortfall=22,771.7 t
  rolling_milp replan at t=384 h; lookahead=48 h; terminal=2,002.2 t; source_buffer=29,820.0 t
  rolling_milp plan ready in 0.7s; planned_departures=3; vented=1,540.0 t; shortfall=30,883.8 t
  rolling_milp replan at t=408 h; lookahead=48 h; terminal=633.3 t; source_buffer=28,300.0 t
  rolling_milp plan ready in 0.9s; planned_departures=3; vented=1,160.0 t; shortfall=28,831.3 t
